Course	Room	Teacher	Time	Students
005119	PK300	0031560	1	0032258 
002469	PK200	0697660	1	0032765 0914290 0914299 
001444	PK349	0031403	1	0780528 0834343 0909091 0913880 0917702 0950504 1005149 1007196 
005724	EHII	0031392	1	0145931 0752553 0825990 0904918 0913115 0915648 0950811 0973811 0987276 0989520 0991672 1002248 1016996 1057004 
001248	EHLEC	0031388	1	0768235 0770471 0780619 0788562 0809224 0818599 0827928 0828596 0829796 0833695 0915579 
003001	RCCON	0375562	1	0899419 0915543 
003003	TAYG	0031406	1	0419327 0828705 0854724 0881793 0890945 0913466 0918277 0959092 0967988 0971315 0976318 0976421 0986262 1002729 
005727	CAN311	0984701	1	
001749	CARP17	1064203	1	0959337 1013197 1050781 
007375	GOB	0031631	1	0556027 0742886 0772032 0787159 0813147 0826670 0858114 0887586 0906362 0915226 
008500	TAYSEM	0031619	1	0559777 0776956 0825478 
003556	TH104	0599596	1	0603589 0670870 0671451 0746084 0772504 0810196 0833941 0850382 0852994 0899440 
002951	PK259	0088906	1	0855155 
004065	GIL101	0854975	1	0790880 0831703 0852409 0867494 
006023	PK338	0301909	1	0634162 0699614 0711336 0770198 0771438 0772218 0781976 0787430 0789284 0812628 0814822 0818384 0826099 0827786 0852192 0904003 0904347 0904516 0906618 0906896 0907155 0911775 0915589 0948568 0976244 0987600 0988631 0988990 0991213 0992186 0992189 0992796 0993268 0993790 0995269 0998885 1000122 1001806 1001894 1003100 1003539 1003644 1004997 1005082 1006744 1013071 1017444 1017832 1017840 1018301 1018817 1018857 1019940 1020478 1021867 1023494 1024283 1025845 1027597 1028249 1029566 1030683 1032432 1032769 1032929 1036027 1036225 1037338 1038303 1040045 1045379 1049050 1053105 1054176 1055078 1055290 1055441 1055640 1056203 1056217 1056270 1056600 1056722 1056963 1056980 1057592 1058048 1058242 1058421 1064148 1064270 1064780 1065142 1065271 1065654 1065781 1066335 1066778 1066924 1067460 1067502 1067748 1067933 1068052 1068109 1073544 1076009 1076274 1076299 1076922 1077294 1077416 
001162	EHIII	1063511	1	1001905 1078819 
007076	CARP13	0031568	1	0860204 0887130 
007127	CARP21	0031573	1	0634284 0739031 0748627 0769686 0781527 0818349 0830141 0830791 0830911 0831435 0836471 0849243 
002935	TAYB	1167899	1	0742089 0801247 0828021 0832718 0834495 0834603 0865894 0952443 0991756 0998815 1046086 
003433	PK25	0031477	1	0656863 0742734 0751788 0756739 0769943 0781139 0786698 0788425 0806520 0806886 0812300 0813159 0813277 0823997 0824299 0825559 0825743 0826363 0829872 0830700 0834472 0836898 0849022 0852358 0854138 0854235 0859319 0859564 0861816 0867801 0873190 0879882 0887398 0889384 0901868 0903064 0903338 0904719 0909837 0911218 0911598 0918195 0919776 0920248 0947693 0954240 0958897 0965925 0965927 0967411 0986094 0989395 0989590 0990668 0993506 0998323 1005720 1007348 1007779 1007842 1035148 1037291 1065238 1081006 1170860 
005248	DAL112	1167853	1	0752318 0783208 0852945 0858181 0865618 
007053	ROSTUD	0088906	1	0901946 0992223 
008496	THTL	0031619	1	0820055 0830197 0847932 0907248 
008779	CARP25	0576472	1	0657857 0787509 0794297 0902118 0967042 0987243 1007458 1047318 
001893	RCSEM	0898918	1	0773772 0804193 0814828 0833031 0850564 
007006	TAYC	0031568	1	0661924 0909693 1004968 1007882 1015256 
001767	DAL318	0995161	1	0768507 0896979 0980544 1019025 
007124	PK227	1075274	1	0914509 0985094 
007364	TH110	0162977	1	0671926 0741632 0769851 0833266 0853988 0859409 0867125 0876307 0888222 0900240 0901570 0903449 0906447 0908461 0910403 0911361 0913946 0914076 0915006 0918519 0919158 0920237 0920251 0944831 0945264 0949279 0963413 0966125 0966414 0981989 0985440 0988245 0988544 0989401 0991120 0991229 0999712 0999833 1002036 1002047 1003128 1004324 1005427 1006444 1007799 1009104 1015275 1017339 1018174 1018271 1019006 1019212 1020695 1021017 1025533 1030369 1041140 1041981 1056910 1058058 1064385 1067297 1067377 1068371 1076783 1076854 1076923 1077413 1079268 1079366 1079993 1080792 1083080 1085061 1085324 
008765	PK180	0431786	1	0748713 0779081 0786093 0807767 0809463 0825616 0831413 0861690 0871681 0896036 0904680 0909240 0910884 0950942 0956475 0959189 0963528 0972633 0980693 0988100 0991769 1000990 1001039 1002364 1009559 1009729 1018252 1019674 1020520 1036442 1039679 1044561 
005206	PK241	1051497	1	
005286	PEMSTD	1020104	1	0672478 0770814 0789995 
002562	PK243	1167856	1	0677533 0751495 0772005 0825024 0848750 0849713 0851302 0871309 0896287 0897034 0897310 0897931 0986688 0986807 0999689 1000355 1000750 1000895 1005199 1006105 1017412 1020083 1025623 1039943 1044157 1067251 1079771 1081917 
007068	ARNST	0316015	1	0777510 
005227	PK182	0088906	1	
007043	PK229	1167889	1	0680495 0751242 0773276 0785917 0833188 0846811 0850607 0850690 0855859 0859231 0903229 0903436 0905351 0905954 0907665 0918074 0982172 0984724 
001852	PK10	0409956	1	0861391 0993929 
