Course	Room	Teacher	Time	Students
011834	BYC127	0470839	1	0033322 3337463 3404196 3414238 3421700 3429832 3431155 3431158 3431449 3437589 3439511 3450490 3453218 3454476 3456016 3459980 3460371 3480401 3482018 3483327 3486617 3486740 3524066 3530220 3551641 3559591 3559963 3560373 3560649 3576463 3576535 3576586 3581081 3668917 
001249	PK336	0031388	1	0310347 3322886 3331180 3339315 3340287 3340324 3359596 3405619 3413283 3415849 3422289 3424520 3425356 3430944 3431158 3431535 3431740 3434428 3434468 3435161 3438472 3439820 
011208	DAL6	3577231	1	0310347 
002562	PK25	1168490	1	1057610 3431740 3433849 3433961 3439917 3441004 3441838 3443421 3460586 3461962 3462298 3463011 3471190 3471447 3476418 3479838 3479945 3480867 3481391 3482194 3483278 3485028 3485931 3486382 3486501 3486777 3486838 3508682 3518231 3540124 3540190 3540705 3552259 3559815 3560373 3570123 3574967 3575309 3575916 3576231 
003406	TAYF	1167851	1	1057610 3441900 3461498 3475933 3475950 3476864 3478356 3479311 3480734 3485548 3503382 3510665 3514095 3516634 3537536 3538202 3558739 3558800 3559534 3559537 3559657 3560487 3560770 3574543 3575916 3575969 3576126 3576763 3577109 3577187 3577590 3577806 3578707 3578804 3579414 
006024	DAL300	3470402	1	1057610 3375323 3439475 3443421 3451557 3459032 3459613 3460235 3462565 3466014 3468070 3469520 3471450 3474620 3475573 3475950 3477425 3478356 3480217 3480714 3480732 3480999 3481532 3481894 3482264 3482288 3483511 3483560 3485290 3486569 3486852 3503382 3503587 3505157 3514095 3514964 3516634 3521265 3538400 3538688 3555932 3556970 3557478 3558739 3559534 3560199 3561074 3574639 3575898 3575916 3575928 3576555 3578804 3578910 3579181 3579723 3579949 3580251 3581038 3581081 3581135 3581192 3581232 3581455 3581605 3581996 3650578 3650596 
008770	PK338	0428728	1	1086489 3196460 3337463 3438471 3439387 3441004 3448314 3455625 3458136 3458957 3460338 3460737 3462416 3464638 3465036 3465050 3466014 3466962 3469615 3471450 3476899 3478964 3479054 3479085 3479350 3479718 3479885 3480069 3480810 3481557 3481943 3481967 3482101 3483546 3484243 3485228 3485537 3486311 3486389 3486777 3487640 3505157 3514964 3524963 3537536 3538688 3558739 3558838 3559645 3559804 3560199 3560308 3574866 3575971 3578910 3579414 3580248 3581149 3581171 3581952 3581962 3650578 3668835 3668874 
014124	PK127	3555100	1	1086489 3461197 3482739 3576357 
002368	PK100	0697660	1	1088365 3416286 3433962 3460359 3463524 3468281 3468749 3476908 3477580 3479534 3480166 3483925 3484750 3484763 3485170 3486141 3486182 3486844 3487087 3487093 3487623 3505185 3510971 3512896 3540190 3546417 3555932 3560193 3568636 3576352 3576429 3576494 3576528 3576558 3576763 3576792 3577741 3579949 3580584 3580796 
002470	PK336	0697660	2	1088365 3420940 3424594 3433539 3438084 3454497 3462882 3463729 3475298 3479085 3482445 3576325 3576429 
011313	CARP21	3647219	1	1088365 3415870 3418441 3420037 3421753 3425401 3429566 3429834 3436227 3437589 3438232 3440687 3444811 3454497 3459584 3461556 3462298 3463851 3464848 3465036 3467040 3479945 3481221 3486623 3487040 3510971 3513947 3540662 3561704 3576011 3578036 3580139 3581469 
014228	PK274	3648007	1	1088365 3470393 3540428 3558543 3564528 3574563 3577806 3580139 3581247 3669016 
001165	DAL25	3646621	1	1160238 3359596 3405451 3411059 3416232 3431448 3431672 3451331 3454182 3455058 3463071 3483557 3557478 3561098 3574563 
001176	PK126	0031388	2	1160238 3374194 3455419 3462417 3463560 3466011 3468504 3484898 3485028 3485361 3486632 3557478 
012293	TH121	3098022	1	1160238 3466014 3485028 3487090 3581981 
006026	PK243	3470402	2	3196460 3217247 3432357 3435070 3435384 3436227 3437365 3454476 3475941 3479350 3480868 3481532 3483306 3483996 3485774 3520100 3525604 3530220 3538928 3560858 3560860 3561772 3574137 3574873 3575908 3576334 3576358 3576368 3576435 3668854 3668870 3668874 3668938 3668941 
014206	BYC106	1079401	1	3196460 3420884 3430131 3432238 3441894 3442335 3443731 3446645 3452874 3453467 3454210 3454476 3454494 3460569 3463879 
003278	DAL212E	1061861	1	3198263 3437252 
011844	PK10	0031471	1	3213028 3359596 3418907 3426213 3432223 3457917 3484763 3487310 3576306 3576387 
007888	TH251	0470839	2	3217247 3452445 3480401 3576463 3576471 
007040	TH111	0162976	1	3219927 3432243 3433945 3439917 3440024 3463708 3464638 3471745 3478691 3481607 3482194 3482263 3482264 3483085 3487261 3576335 3576515 3581995 
013146	DAL10	3332662	1	3219927 3430706 3432796 3432798 3433961 3435722 3437089 3460134 
001157	PK230	0697660	3	3226303 3439437 3486838 3578963 3692917 
002397	TH224	0493725	1	3226303 3433829 3452529 3464398 3465588 3469119 3475298 3476908 3477580 3478050 3479355 3480166 3482445 3483925 3484750 3485054 3485816 3486182 3487093 3487276 3487640 3559804 3576336 3576494 3650956 
004010	PK180	3442425	1	3226303 3374194 3412549 3426858 3432357 3440687 3456660 3457777 3460718 3465591 3473086 3479534 3480217 3480728 3480868 3481102 3482194 3485812 3503865 3506324 3508682 3521265 3529298 3531305 3549272 3559857 3559872 3561402 3575769 3575898 3575908 3576126 3576763 3577167 3577590 3578963 
014384	RCSEM	0492451	1	3226303 3416424 3431260 3576631 
004888	EHIII	0031473	1	3227297 3417166 3425219 3426666 3426735 3429566 3433251 3436227 3436514 3437589 3439701 3440508 
011187	PK227	3194193	1	3227297 3431750 3435397 3436514 3437589 3437591 3438119 3456016 3457393 3457777 3459508 3464263 3475445 
014207	SW8	3554810	1	3227297 3426666 3429706 3458441 
013193	DAL212A	0898918	1	3250131 3375120 3375544 3414273 3417108 3419470 3431294 3433760 3434130 3435384 3436119 3438374 3445081 3448679 3455631 3456228 3456677 3458295 3458451 3460867 3463526 3463675 
013627	DAL2	3459335	1	3250131 3421700 3428608 3431672 3432223 3434130 3435384 3437534 3443421 3446832 3453445 3457988 3458295 3458972 3459505 3460867 3462514 3463071 3464379 3487041 3692269 
013921	RCCON	3483424	1	3250131 3331180 3405604 3415849 3426735 3428608 3432384 3437534 3452561 3453445 3456228 3458972 3463526 3481702 
001843	PK229	0056992	1	3250227 3378849 3416536 3417172 3425095 3430401 3431672 3435384 3437574 3445081 3448679 3451168 3451663 3455915 3458451 3460488 3461197 3462416 3463526 3464327 3471190 3474463 3475573 3476797 3478691 3480217 3487261 3569865 3574137 3576411 3580714 3581038 3582040 3692269 
003472	CARP15	0058557	1	3250227 3429524 3429732 3452988 3454494 3464666 3465591 3480867 3487621 
013167	EHLEC	0058557	2	3250227 3429732 3438471 3460820 3470797 3480999 3483546 3485628 3487316 3518231 3544945 3555254 3576230 3579116 3581846 3581920 
002163	PK337	1037239	1	3250683 3453352 3459522 3462270 3463675 3463745 3464027 
002182	TAYC	0428815	1	3250683 3381050 3416536 3417172 3430152 3431294 3431449 3435039 3435313 3439328 3453352 3459505 
011827	TAYC	1037239	2	3250683 3381050 3430152 3453352 3459522 3462270 3463675 3463745 3464027 
014116	ROSTUD	3555417	1	3254734 3436206 3463524 3468504 3476082 3540662 
001837	PK20	3452118	1	3264539 3430196 3430196 3430401 3430401 3441310 3441310 3451168 3451168 3457873 3457873 3459523 3459523 3460569 3460569 3461063 3461063 3462817 3462817 3463589 3463589 3463776 3463776 3470393 3470393 3470846 3470846 3474140 3474140 3475198 3475198 3479311 3479311 3479976 3479976 3480571 3480571 3480999 3480999 3481203 3481203 3481532 3481532 3481805 3481805 3481813 3481813 3481943 3481943 3482101 3482101 3483511 3483511 3485170 3485170 3485912 3485912 3486379 3486379 3486782 3486782 3487087 3487087 3503382 3503382 3514964 3514964 3521265 3521265 3529298 3529298 3538202 3538202 3543742 3543742 3544945 3544945 3549272 3549272 3559149 3559149 3559870 3559870 3560167 3560167 3560199 3560199 3560373 3560373 3561074 3561074 3569865 3569865 3574137 3574137 3574543 3574543 3574558 3574558 3574639 3574639 3575483 3575483 3575916 3575916 3575928 3575928 3576260 3576260 3576411 3578747 3578747 3578861 3578861 3579143 3579143 3580269 3580269 3580714 3580714 3580912 3580912 3581038 3581038 3581077 3581077 3581081 3581081 3581085 3581085 3581171 3581171 3581207 3581207 3581220 3581220 3581232 3581232 3581375 3581375 3581456 3581456 3581605 3581605 3581967 3581967 3581999 3581999 3650578 3650578 3650596 3650596 3668933 
002153	PK278	0168378	1	3264539 3264539 3429532 3429532 3433686 3433686 3451724 3451724 3457231 3457231 3457988 3457988 3459972 3459972 3461197 3461197 3463776 3463776 3465036 3465036 3467093 3467093 3468070 3468070 3469520 3469520 3471447 3471447 3471450 3471450 3475573 3475573 3475933 3475933 3477425 3477425 3480714 3480714 3481690 3481690 3481702 3481702 3481813 3481813 3482144 3482144 3483298 3483298 3483587 3483587 3483638 3483638 3483929 3483929 3485548 3485548 3485550 3485550 3486852 3486852 3487055 3487055 3487266 3487266 3513947 3513947 3514095 3514095 3521265 3521265 3521461 3521461 3529298 3529298 3543742 3543742 3546891 3546891 3556594 3556594 3556970 3556970 3557244 3557244 3559149 3559149 3559302 3559302 3559857 3559857 3559963 3559963 3574558 3574558 3575483 3575483 3576013 3576013 3577187 3577187 
006847	PK243	3427120	1	3264539 3264539 3417108 3417108 3420437 3420437 3421500 3421500 3427674 3427674 3428608 3428608 3437534 3437534 3438232 3438232 3446832 3446832 3455625 3455625 3455915 3455915 3456677 3456677 3456722 3456722 3457873 3457873 3457988 3457988 3458295 3458295 3462297 3462297 3462639 3462639 3462647 3462647 3463526 3463526 3463589 3463589 3480375 3480375 3480732 3480732 3481419 3481419 3482739 3482739 3483467 3483467 3485548 3485548 
002464	TAYG	0910179	1	3322585 3375323 3375629 3381050 3405427 3405619 3415407 3416286 3416374 3420837 3421770 3429602 3429834 3431226 3432796 3438020 3438100 3438102 3439280 3456290 3456820 3458452 3463729 3463879 3481520 3481798 
012832	TAYSEM	3689002	1	3322585 3405427 3415769 3416286 3429602 3458452 3482445 3487035 3576390 3576558 
010935	CARP13	0031756	1	3322886 3431445 3432243 3451496 3458176 3462240 3465591 3486250 3558838 3568636 3575483 3580159 3580912 3581786 3668765 3668895 
013649	BYC239	0676083	1	3322886 3431155 
008470	TH223	0695890	1	3331179 3449400 3460737 
014213	PK259	3646854	1	3331179 3340287 3433788 3455981 3467452 3474463 3475941 3481798 3483003 3546417 3576037 3578036 3581469 
014218	TH121	0031471	2	3331179 3439387 3483155 3561772 
001840	PK241	0168763	1	3331180 3418120 3421500 3432384 3437146 3439670 3455291 3457039 3462292 3462293 3462817 3471447 3474620 3476797 3478691 3480668 3480732 3481690 3482739 3483298 3485169 3486379 3486617 3486782 3486852 3487055 3487316 3510971 3521461 3560308 3576504 3580261 
003432	TAYE	3688153	1	3331180 3406406 3434539 3438033 3438465 3454476 3456820 3460371 3467384 3476418 3480734 3486050 3487621 3502893 3520100 3580389 3581228 
003004	PK126	3473854	1	3337463 3404279 3411158 3413774 3431629 3459897 3459980 3464100 3475950 3480571 3480836 3482263 3487429 3576329 3576490 3577022 3577485 3581918 3581980 3668875 3668968 
003453	TH102	3688153	2	3337463 3432238 3433539 3451663 3455719 3456820 3462019 3462116 3483155 3484619 3487040 
001242	PK127	0910179	2	3339315 3463776 3469119 3485054 
001247	SW7	1165566	1	3339315 3420940 
007377	GOB	0031522	1	3339814 3425347 3443731 3454210 3462292 3464306 3483298 3485549 3486389 3503587 3544945 3552259 3556617 3559537 3576332 3576417 3576448 3576457 3576513 3576627 3578443 3581085 3581228 3581250 3581786 3581830 
007403	DAL119	0031611	1	3339814 3425347 3435070 3435313 3437240 3441900 3447681 3455915 3456722 3457459 3461962 3462292 3463589 3463602 3464379 3467093 3474216 3474395 3479976 3576386 3576394 3576433 3576439 3576491 3576517 
008429	TAYD	3405054	1	3339814 3377851 3429524 3431260 3431303 3431448 3435628 3436588 3438652 3439588 3455341 3455808 3459111 3459647 3461517 3462414 3462458 3465245 3476864 3480423 3481967 3483467 3503630 3581999 
014135	PK349	0493855	1	3339814 3340287 3366307 3369702 3375629 3420940 3425114 3429706 3431828 3436514 3438119 3441016 3442991 3456053 3459508 3459823 3465050 3465244 3467384 3475327 3478309 3481221 3484816 3485537 3487505 3574967 3576417 
012303	DAL315	0576472	1	3340003 3406406 3416598 3435161 3438550 3442641 3447478 3454182 3462872 3474216 3480375 3483567 3484990 3540428 3579592 
014212	EHLEC	0402773	1	3340003 3375120 3418606 3430953 3432027 3432782 3435734 3435771 3437574 3437978 3438471 3439387 3439636 3441004 3446353 3452874 3453352 3462292 3462606 3464306 3467093 3472140 3477580 3482198 3483155 3484272 3486623 3549052 3560487 
006509	CARP25	3554648	1	3340324 3413356 3430697 3431060 3438287 3439409 3445738 3453352 3454115 3462990 3480810 3483084 3486133 3486844 3520100 3576306 3576362 3576387 3576485 3576527 3581228 3650636 3668812 
013147	PK274	3332662	2	3359026 3418499 3430298 3431078 3456066 3474598 3487034 
014230	CARP17	0031478	1	3359596 3425364 3431651 3457692 3463011 3482198 3576396 3576548 
004017	PEMSTD	0031578	1	3366307 3416891 3426556 3438068 3442237 3442432 3448687 3461937 3462290 3465442 3480939 3558800 3576248 3576576 3578075 3580095 
005247	EHI	0029475	1	3366307 3421770 3425219 3426658 3429810 3431828 3435734 3437978 3439564 3444811 3456053 3457873 3465050 3478309 3559218 3576344 
014134	TH251	3461286	1	3366307 3426658 3431449 3443522 3455719 3463939 3486609 3579099 
003520	PK264	3393009	1	3374040 3374569 3418264 3422414 3425114 3444537 3455808 3457393 3457932 3458121 3463879 3464848 
004276	PK20	1165566	2	3374040 3374040 3426735 3426735 3454059 3454059 3456089 3456089 3461882 3461882 3461937 3461937 3463022 3463022 3466011 3466011 3467040 3467040 3474140 3474140 3477014 3477014 3477576 3477576 3481798 3481798 3483950 3483950 3485537 3485537 3485756 3485756 3486858 3486858 3505185 3505185 3533264 3533264 3557244 3557244 3559218 3559218 3559970 3559970 3568636 3568636 3574483 3574483 3574967 3574967 3575769 3575769 3576013 3576013 3576126 3576126 3576455 3576455 3576629 3576629 3579028 3579028 3579181 3579181 3580389 3580389 3581903 3581903 3581995 3581995 3668826 3668924 3668924 3668963 3668963 3668989 3669039 3669039 3692917 3692917 
001474	CARP15	3098022	2	3374194 3425095 3429532 3432398 3436206 3436216 
