Course	Room	Teacher	Time	Students
007887	1 / 3	DVR	0470839	1	0171491 
008479	23 / 23	TAYF	0031619	1	0700408 3249725 3331179 3340797 3341634 3350812 3352040 3362442 3378849 3389674 3390102 3395942 3397334 3404732 3415407 3416750 3417791 3418117 3420837 3429733 3435922 3439564 3456994 
003275	4 / 7	TAYSEM	0695890	2	0750570 3437511 3440023 3457808 
003416	11 / 15	PK25	3443571	2	0825970 3404179 3418264 3436212 3437962 3442991 3451551 3458121 3462606 3479054 3485642 
003572	39 / 39	PK100	0897399	3	0825970 3218706 3223454 3250498 3312777 3314570 3316620 3329409 3337037 3339567 3340683 3340716 3342814 3352054 3353145 3354609 3358228 3358378 3396036 3396206 3397856 3402583 3404204 3404341 3404364 3404976 3412261 3412755 3413146 3414395 3414467 3414657 3416073 3417042 3417273 3417284 3417338 3449263 3459109 
013632	14 / 14	PK278	3443571	4	0825970 3314570 3319863 3404364 3412381 3412755 3425219 3426658 3430131 3435397 3438471 3441838 3442335 3457932 
008763	52 / 54	PK278	0428728	3	1086489 3375323 3429810 3430706 3431939 3441004 3448314 3450546 3451168 3455227 3455625 3458136 3458957 3460338 3461197 3462416 3462639 3464279 3465036 3465050 3466962 3468749 3469615 3471745 3475745 3475941 3476899 3478050 3479054 3479085 3479350 3479718 3479885 3480069 3480810 3481557 3481875 3481967 3483003 3483467 3483546 3484243 3485228 3485288 3485537 3485800 3485812 3486311 3486389 3486777 3487276 3487640 
004359	10 / 10	PK100	0847593	4	1089147 3412866 3418058 3435922 3441306 3452964 3461936 3465181 3484334 3486050 
003560	6 / 6	PK100	0031359	5	3093424 3375685 3402583 3416073 3418441 3463879 
007380	26 / 26	PK338	0987494	7	3093424 3094516 3337781 3340879 3343615 3357367 3388485 3396377 3405393 3415619 3417819 3429894 3432027 3432077 3434539 3440116 3442335 3449400 3453262 3454115 3455294 3460820 3461469 3464279 3474216 3483560 
009342	8 / 14	PK338	0031522	6	3093424 3221877 3339567 3389574 3405393 3416997 3432077 3434539 
012895	9 / 13	PK278	0428011	8	3250244 3328955 3344151 3357367 3395299 3398117 3411254 3411258 3440116 
008485	8 / 8	PK338	0031553	5	3094516 3331179 3381424 3390102 3396206 3396837 3397012 3404732 
008488	3 / 8	PK278	0031553	6	3094516 3381424 3397012 
013712	3 / 5	PK278	3474098	9	3094516 3343615 3381824 
007125	16 / 16	PK278	0162976	7	3099420 3227014 3339061 3351895 3374479 3402910 3404473 3406073 3414201 3416658 3417273 3425578 3426654 3437089 3438473 3438589 
007127	26 / 26	PK338	0162976	8	3099420 3198918 3250803 3255727 3330264 3330355 3339061 3341253 3342984 3350670 3351895 3352660 3363977 3396208 3402910 3404473 3405604 3405695 3406073 3411136 3413441 3414201 3415175 3415489 3419570 3425578 
009304	20 / 21	PK338	1137952	9	3103190 3251781 3252368 3342762 3342814 3344218 3350298 3350812 3355412 3362442 3367107 3395624 3397992 3402266 3411005 3412381 3413574 3417314 3437701 3462936 
013625	11 / 11	PK338	0029475	10	3103190 3223454 3329409 3352904 3353511 3355412 3362442 3389022 3404386 3412381 3437701 
013633	9 / 9	PK278	3555173	11	3103190 3255727 3411159 3414068 3415044 3426719 3464985 3481562 3486844 
013646	18 / 21	PK278	3481299	12	3198918 3227014 3250803 3331179 3377851 3397807 3405604 3411136 3414124 3417000 3422964 3431828 3435628 3454210 3458949 3460073 3463143 3463919 
002464	5 / 5	PK278	3208421	10	3146209 3338762 3414016 3415217 3431226 
002472	19 / 19	PK338	3208421	11	3146209 3248623 3261815 3330298 3337390 3338762 3358960 3366138 3396492 3398070 3405829 3411546 3412835 3414016 3414124 3415144 3417075 3418094 3458122 
003441	16 / 23	PK338	0897706	12	3364639 3412881 3413582 3417512 3422414 3423839 3432243 3434130 3437781 3443092 3451551 3451557 3453218 3453467 3459647 3483925 
004283	13 / 13	PK278	1165566	13	3198918 3236337 3340716 3344218 3397565 3406196 3416374 3421044 3423676 3452529 3454433 3456645 3576558 
006038	18 / 18	PK338	0031454	13	3212483 3281059 3331071 3359026 3404179 3405422 3418908 3429199 3432798 3437591 3440175 3440409 3443453 3451553 3457195 3460867 3462356 3464027 
006042	27 / 27	PK338	0554585	15	3212483 3281059 3331071 3341634 3404179 3405422 3412100 3412644 3413193 3413923 3414201 3417717 3420437 3425755 3426719 3430152 3430383 3430978 3433829 3433849 3436260 3436311 3437778 3439670 3441004 3461469 3463587 
009283	16 / 16	PK278	0854975	14	3212483 3331186 3337246 3339029 3396461 3397442 3401311 3404179 3406042 3406295 3418216 3441406 3442432 3457932 3458469 3461936 
010851	17 / 17	PK338	3470402	16	3212483 3281059 3366745 3375120 3412100 3413193 3413598 3417055 3418079 3431629 3436311 3437141 3437778 3438287 3457932 3461936 3462639 
003464	20 / 20	PK338	0599596	14	3218706 3250498 3328955 3331071 3352040 3356374 3381424 3399606 3417002 3426858 3432238 3435628 3437252 3439564 3441894 3456820 3457808 3457935 3459109 3464027 
011321	10 / 10	PK278	0028980	15	3218706 3330264 3340683 3344264 3352040 3377851 3390220 3417512 3426717 3437591 
011531	4 / 4	PK278	3475527	16	3221756 3404386 3404642 3481813 
012731	14 / 14	PK278	0032827	17	3221756 3404243 3405744 3413022 3417166 3425219 3426666 3426735 3429566 3433251 3433539 3436227 3439701 3440508 
013781	12 / 12	PK278	3557107	18	3221756 3319863 3355412 3402556 3432243 3432796 3446670 3455151 3460737 3462297 3462851 3480150 
001546	16 / 16	PK338	0031756	17	3221877 3330906 3339061 3397856 3402910 3405151 3431445 3438472 3441310 3463022 3463071 3464272 3469560 3479712 3483557 3485228 
007076	13 / 13	PK338	0031568	18	3221877 3330264 3339061 3350670 3402910 3405695 3412997 3413441 3416896 3426654 3438442 3439624 3463353 
001764	9 / 9	PK338	1061058	19	3223454 3409210 3413146 3413771 3416073 3443516 3460586 3462246 3466014 
012730	11 / 11	PK278	3554810	20	3223454 3227669 3329409 3396036 3397012 3404341 3404364 3404386 3422414 3434210 3436514 
006059	8 / 8	PK278	0554585	19	3224158 3236337 3358756 3359188 3366745 3413598 3414467 3418079 
007877	13 / 13	PK338	0031386	20	3224158 3438455 3441406 3450069 3452445 3463199 3464954 3476085 3480166 3480401 3481102 3481202 3486838 
008810	8 / 8	PK338	3571449	21	3226945 3416998 3417088 3426666 3431133 3433251 3437341 3438455 
008824	10 / 10	PK338	0031572	22	3226945 3331186 3339029 3358756 3404204 3411254 3412874 3416998 3417088 3417273 
013643	4 / 6	PK278	3470325	21	3227669 3416375 3438287 3463453 
006565	6 / 8	PK278	0031399	22	3231046 3418094 3422146 3438287 3439409 3450069 
006587	8 / 8	PK278	0031478	23	3231046 3340533 3352904 3372100 3384120 3406295 3417359 3418094 
002562	37 / 37	PK338	1168490	24	3236337 3274299 3360165 3372100 3412725 3423676 3424594 3429761 3430978 3431303 3432344 3434210 3437511 3439402 3439528 3444811 3452445 3453467 3455220 3455808 3458037 3462417 3462606 3463439 3464954 3465442 3479382 3480166 3480401 3483084 3483587 3484202 3484894 3485305 3485361 3486852 3576542 
006041	13 / 13	PK338	0213446	23	3236337 3281059 3359188 3375120 3411646 3425150 3426719 3431629 3436260 3441900 3455046 3460399 3482019 
002413	15 / 15	PK338	1051497	25	3248623 3338762 3405427 3405829 3424594 3429602 3437962 3438100 3438878 3442432 3454497 3460369 3460770 3462262 3462882 
012338	3 / 3	PK278	3448653	24	3248623 3396492 3414124 
001767	12 / 12	PK278	3474008	25	3249123 3342984 3358768 3382662 3426717 3431133 3431828 3439206 3453467 3456210 3481967 3487261 
009335	2 / 3	PK278	0031522	26	3250803 3255727 
001213	19 / 19	PK338	0031471	26	3249454 3322886 3339315 3340287 3340838 3341874 3358345 3380465 3396460 3396892 3397066 3398117 3405619 3413283 3417355 3424520 3430944 3431535 3431740 
001248	22 / 22	PK278	0031471	27	3249454 3340838 3341874 3351574 3351809 3354445 3358345 3364639 3380465 3393147 3396313 3396422 3396892 3397066 3405153 3412523 3413255 3414811 3415217 3417073 3417355 3440606 
008420	30 / 30	PK338	0125630	27	3249725 3339315 3347767 3389674 3415407 3417002 3417791 3421604 3431448 3431939 3432782 3433929 3435187 3435628 3435922 3438441 3439588 3441166 3447306 3456290 3462240 3465245 3480423 3481798 3484752 3485812 3486050 3486475 3487041 3487261 
008500	23 / 23	PK338	0132890	28	3249725 3340797 3341634 3347767 3350812 3352040 3352660 3389674 3390102 3390220 3395937 3395942 3396837 3397807 3404732 3405144 3412755 3414298 3416750 3417002 3417791 3435922 3437781 
011045	7 / 7	PK278	3213249	29	3249725 3381424 3417000 3438232 3439820 3455291 3485327 
001453	2 / 2	PK278	3555417	28	3250074 3250395 
001473	10 / 10	PK338	3555417	29	3250074 3250084 3250395 3251757 3255465 3344941 3358339 3366745 3397586 3417553 
002872	4 / 4	PK278	1084458	30	3250074 3254734 3458037 3462512 
001433	6 / 6	PK338	0031632	30	3250084 3340449 3416375 3438254 3441177 3455625 
001442	10 / 10	PK278	3098022	31	3250084 3344941 3358339 3397586 3413283 3429532 3432398 3436216 3454433 3459980 
010872	3 / 5	PK278	3098022	32	3250084 3251757 3255465 
001847	11 / 11	PK338	3483424	31	3250227 3319602 3375120 3380697 3396312 3413728 3415849 3421500 3433760 3434130 3439558 
006519	5 / 5	PK338	0031478	32	3250227 3250803 3418145 3425239 3435931 
010871	8 / 8	PK338	0168763	33	3250227 3343615 3352269 3405604 3411186 3438374 3458451 3462292 
002951	7 / 7	PK278	3421211	33	3250244 3330906 3342969 3380697 3415858 3417001 3459730 
005734	4 / 5	PK278	3556752	34	3250395 3422146 3429732 3442991 
011986	6 / 7	PK338	0004955	35	3417370 3425239 3455148 3461020 3481075 3483965 
003533	13 / 15	PK338	0897706	34	3250498 3312777 3316620 3337037 3342814 3358228 3363977 3417284 3424318 3424363 3426654 3429832 3435380 
011035	30 / 30	PK338	3452853	36	3250498 3316620 3343615 3417908 3428042 3429733 3430944 3434210 3438113 3438206 3441273 3442188 3445680 3455908 3456313 3457039 3458972 3460073 3461020 3461975 3462606 3474620 3475298 3476418 3478506 3482018 3483557 3483965 3559218 3576398 
003277	4 / 4	PK278	0675005	35	3251781 3329449 3342762 3449263 
005156	28 / 28	PK278	0493855	36	3251781 3347767 3352660 3414811 3417073 3418145 3424318 3428820 3429524 3429810 3437365 3441413 3442237 3443092 3443207 3454439 3456053 3456210 3459508 3459584 3460766 3462116 3462414 3462956 3483155 3483385 3486609 3486777 
005290	3 / 6	PK338	3555100	37	3339814 3389574 3454625 
004383	3 / 4	PK278	0989327	37	3375685 3414298 3453663 
005216	10 / 10	PK278	0493856	38	3252368 3366307 3415870 3429810 3435734 3440024 3453218 3455046 3463939 3486782 
011862	2 / 2	PK278	3555097	39	3252368 3415801 
002175	10 / 10	PK338	0168378	38	3253100 3363924 3382205 3396292 3411154 3411531 3413582 3415852 3433663 3440036 
006026	24 / 39	PK338	0431634	39	3254408 3330300 3354445 3364124 3375410 3389676 3395581 3405451 3411154 3411531 3423970 3439409 3441406 3446832 3456053 3459508 3466364 3476927 3478506 3483385 3486050 3576299 3576352 3576509 
013644	1 / 1	PK278	3470325	40	3254734 
004288	3 / 4	PK338	0031577	40	3255465 3340716 3436158 
002428	9 / 9	PK338	3452082	41	3261815 3367107 3396892 3415870 3417075 3420940 3424594 3438100 3463525 
001890	5 / 5	PK278	3312777	41	3274299 3340292 3396461 3405145 3413451 
001897	2 / 2	PK278	3448653	42	3274299 3405145 
006044	24 / 24	PK338	0431634	43	3281059 3358756 3359188 3405422 3411108 3412644 3413923 3415827 3418908 3420437 3425364 3425755 3429761 3431629 3433829 3433849 3436311 3437379 3440175 3441004 3441900 3455046 3459897 3460701 
001547	5 / 9	PK338	1054236	42	3311775 3351809 3440454 3487090 3576536 
002702	1 / 1	PK278	0031578	43	3311775 
005157	14 / 21	PK338	3555100	44	3366307 3395624 3397992 3404642 3429524 3435734 3437589 3438471 3442237 3448679 3460488 3461826 3485053 3486632 
005179	11 / 11	PK278	3461286	45	3314570 3340683 3344218 3355412 3365419 3366307 3411005 3414298 3429706 3433760 3435734 
001769	5 / 10	PK278	3099830	44	3315530 3375685 3431257 3433663 3487243 
002568	10 / 11	PK338	1168490	45	3319602 3364991 3379786 3397334 3416398 3417055 3432301 3435931 3436260 3459888 
006846	46 / 48	PK338	1167884	46	3331180 3375120 3375389 3375544 3382662 3389676 3397565 3404693 3411059 3416536 3419470 3421700 3430152 3430383 3430401 3431294 3431445 3431672 3432223 3432238 3434130 3435039 3435070 3435771 3436311 3437534 3438113 3439670 3441004 3441900 3443421 3455625 3458451 3458972 3460371 3461826 3461936 3462246 3462290 3462514 3463226 3463602 3463675 3463745 3463768 3487087 
004394	4 / 5	PK278	0989327	46	3319863 3417001 3425679 3455562 
004807	12 / 19	PK338	3092667	47	3319863 3340838 3412866 3433760 3438842 3439147 3455151 3457327 3464848 3484334 3484361 3576393 
002382	1 / 1	PK278	3555173	47	3322585 
004036	11 / 12	PK278	3442425	48	3322585 3417359 3423723 3437962 3442237 3453467 3454439 3460399 3463353 3463593 3483560 
012884	6 / 6	PK278	1167922	49	3322585 3406073 3411005 3442432 3448687 3483929 
001151	48 / 49	PK338	0031388	48	3322886 3405619 3417172 3418606 3429761 3430131 3431672 3435187 3439588 3439912 3441016 3447478 3451331 3451496 3451663 3452964 3454182 3456103 3457195 3459505 3459645 3460073 3462297 3462514 3462647 3463453 3463776 3464306 3466011 3476908 3478343 3480264 3480668 3480734 3481520 3481798 3483965 3483996 3484216 3484243 3484272 3484324 3484845 3484898 3485912 3486777 3487090 3487321 
001158	14 / 14	PK338	1020104	49	3322886 3337246 3341079 3351809 3363735 3405153 3413255 3415849 3417003 3430944 3431740 3439588 3461498 3467040 
013648	3 / 4	PK278	0605187	50	3322886 3338762 3405829 
008470	5 / 5	PK338	0695890	50	3329409 3440175 3455341 3461057 3483155 
002469	5 / 6	PK278	1051497	51	3330298 3337390 3358960 3412835 3431226 
002675	3 / 6	PK338	0468281	51	3330300 3354609 3423839 
004292	2 / 2	PK278	3092832	52	3330300 3416598 
004299	4 / 4	PK278	1165566	53	3330300 3369591 3416232 3416598 
010968	2 / 2	PK338	3555097	52	3330906 3342969 
001190	6 / 6	PK338	3556528	53	3331180 3393147 3422414 3455294 3462262 3464263 
