Course	Room	Teacher	Time	Students
002394	TH111	0020988	1	3460770 3580095 3561098 3668800 3668849 
002428	PK354	3452082	1	3475298 3458339 3442432 3477580 3461556 
012731	DAL25	0032827	1	1088365 3458441 3465036 3468749 3481221 3463587 3484361 3484272 3464848 3484816 3576465 
013157	DAL10	3648007	1	3574563 3574475 3669016 
004292	CARP17	3092832	1	3375323 3458176 3455690 
011865	DAL20	1165566	1	
003572	PK25	0897399	1	3375410 3451551 3453467 3455519 3457393 3457808 3458121 3462293 3462606 3412881 3430131 3455808 3457932 3463879 3442335 3454476 3443092 3460073 3427633 3454210 3431257 3444537 3459584 3450069 3426858 
011528	CARP13	0431946	1	3440958 3485628 3446645 3581274 3486834 
001769	DAL212A	3099830	1	3412725 3462955 3559900 3479838 3462019 3471745 3669045 
001845	PK349	0123161	1	3454100 3544945 3471447 3481690 3581085 3457988 3482101 3463768 3454625 3576326 3576570 
001847	DAL2	3483424	1	3417108 3460867 3483298 3455915 3692269 3481943 3483587 3650277 3437534 3463993 3470393 3462514 3481862 
003277	BYC239	1061861	1	3476930 3374040 3459109 
004082	EHIII	0031578	1	3417908 3461936 3416891 3448687 3441406 
001248	TH224	0031388	1	3418606 3432223 3435187 3439912 3462297 3462417 3462849 3452964 3455291 3463776 3459645 3462964 3443283 3461498 3475198 3461933 3455058 3459980 3462647 3463126 3451663 3451496 
001898	RCCON	0168763	1	3463071 3462292 
012288	TH104	0409956	1	3421500 3448679 3456677 3458295 3458972 3459523 3487041 3475573 3445081 
002874	PK282	0031582	1	3423839 3463453 3436710 3458037 3559872 
012895	PK336	3792641	1	3447681 3441894 3417819 3454115 3480264 3463589 3463882 3576383 
014231	PK227	1168214	1	3485970 3437341 3576474 
014534	PK278	0031631	1	3425347 3427674 3438113 3449400 3450068 3456722 3459032 3463602 3463936 3481520 3453262 3464985 3485636 3440419 3487621 
001764	CARP15	1061058	1	3439636 3602435 3638594 3694828 3668900 
006050	PK10	0031526	1	3460488 3462228 
006023	PK20	0213446	1	3425679 3476797 3538202 3557244 3559870 3575735 3576260 3580139 3580217 3581918 3579592 3575971 3581913 3560858 3561229 3577187 3537536 3540705 3580248 3581080 3544262 3483640 3485774 3489089 3492423 3493764 3498974 3559464 3574519 3578240 3579361 3579864 3580211 3591211 3595071 3595163 3595641 3596713 3597215 3597302 3599536 3602816 3608097 3608602 3620520 3629951 3629970 3631042 3631215 3632103 3632720 3632881 3649880 3650256 3650736 3651033 3651365 3651487 3651573 3651605 3652473 3656490 3667381 3667608 3667674 3668130 3669280 3689402 3690361 3690733 3690800 3690806 3691575 3691748 3692316 3692514 3693092 3693219 3693230 3693280 3693286 3693813 3693840 3693902 3694236 3694289 3694415 3694417 3694738 3694791 3695024 3695027 3695345 3695542 3695643 3577806 3655393 3574546 3668985 3669024 3669033 3669036 
012845	TAYF	3195964	1	3428608 3437962 3478691 3451168 3561402 3452988 3481031 3510878 3556594 3577795 3465327 3560308 3669051 3692917 
001894	ROSTUD	3483424	2	3428608 3460235 3405451 
002568	RCSEM	0564741	1	3429199 3456313 3484894 3463439 3453663 
008769	PK243	0428728	1	3430697 3462639 3483511 3559225 3559476 3560167 3581846 3581999 3457459 3555254 3570123 3483954 3467781 3455227 3575969 3581980 3486050 3476864 3574483 3580407 3483059 3496439 3559319 3559903 3575259 3601391 3606293 3606350 3630915 3652273 3668386 3690204 3692766 3461197 3561660 3580397 
011321	PK126	0028980	1	3481562 3482264 3465591 3478951 3559645 
014545	TAYC	0168763	2	3432223 3462293 3450069 3458744 
