Course	Room	Teacher	Time	Students
004083	DAL100A	0376136	1	0145661 0795445 0903449 0915740 0945809 0965927 0982172 1000122 1000939 
006024	PK338	0301909	1	0254082 0897931 0948568 0954240 1001894 1006105 1017492 1017832 1067251 1077413 1080654 1080808 1088785 1090564 1092187 1094134 1094929 1099178 1104151 1141167 1146215 1163278 1163391 1166163 1169962 3070438 3070881 3071136 3074711 3074965 3080612 3081669 3087352 3087449 3088117 3088521 3088978 3089081 3089566 3090519 3092431 3092999 3093190 3093221 3093369 3093697 3094719 3094809 3094908 3095105 3095335 3095719 3095842 3096149 3096547 3096592 3097133 3097158 3097636 3098330 3098883 3099448 3099774 3099986 3100110 3100835 3102057 3102380 3102599 3103038 3104770 3105511 3105818 3105862 3106561 3106835 3107254 3107966 
006026	PK349	0213446	1	0911802 1026650 1080303 1093549 1094520 1100383 1112377 1136830 1145146 1170033 1170370 1172030 3069337 3074289 3074551 3074634 3075188 3078465 3079675 3089009 3094033 3095630 3099729 3103445 3103807 3104899 3106769 3107323 
008764	TH110	0899465	1	0999689 1037291 1056024 1086710 1087116 1161960 1165961 1169331 1170709 3068353 3079862 3080198 3085728 3087493 3088124 3090785 3095625 3099704 3100678 3102153 3102915 3104541 3105046 3105821 3106074 3107589 3195980 
003003	PK180	3214464	1	0480377 0906447 0945264 0966414 1001394 1056963 1067862 1078836 1079363 1079564 1102530 1131602 1157047 1170703 3065039 3067556 3072477 3073169 3073384 3074570 3077336 3077472 3077809 3080473 3085513 3092972 3095649 3099757 3100989 3104731 3105612 3105854 3107993 
010965	TAYD	0897706	1	0649837 0956475 0980544 0993506 1005315 1015256 1053370 1088192 1170470 3080937 
004815	CAN314	3092667	1	1001351 1100625 1122905 3092985 3103177 
006504	TAYE	3198623	1	0672478 0906963 0918549 0984724 1013197 1025623 1055590 1076299 1088214 1088690 1143228 1144234 3064977 3071015 3071734 3087407 3092880 3093174 3098292 3104386 3104658 3106068 
011230	PK200	1167856	1	0700408 1017339 1171297 
006555	CARP13	0127086	1	0731629 0960497 1088636 
006043	EHLEC	0409737	1	0744449 0896929 0909240 0952008 0964596 0967988 0970193 0987600 0999715 1000355 1002405 1005082 1006438 1007394 1009729 1016434 1018936 1020520 1024283 1040818 1049929 1064780 1067334 1068052 1076989 1081917 3077471 
006060	PK154	0031384	1	
008446	TH111	0893542	1	0751788 0897034 0906085 0949279 0971073 0988620 1000750 1005346 1007134 1007882 1029737 1056012 1056738 1058048 1082799 1098099 1150758 3076576 
008501	THTL	0125630	1	0907596 0945635 0967042 0972633 0976318 1006405 
010966	ROSTUD	0775640	1	0966094 1105086 1128560 
001840	DAL204	0168763	1	0757321 0786916 0859231 0908998 0946010 0988271 1000990 1004733 1009559 1013071 1017444 1020150 1039868 1056970 1067933 1077482 1078921 1079771 1080757 1081250 1082907 1092116 1096113 1141729 1142309 1149270 1169109 1170860 1171461 3070440 3073357 3098948 3106953 
001891	PK264	0031557	1	0920095 
011209	PK231	3208554	1	0987613 1143290 
001474	GIL210	0020093	1	0900240 0912439 0999195 1005149 1007196 
011204	PK243	0309967	1	0779081 0871681 0887586 0904516 0909091 0913880 0915622 0945449 0951991 0952211 0954830 0959200 0986807 0988245 0988263 0988544 0988625 0989590 0991668 0992796 0993517 0993818 0999733 1002248 1002606 1002706 1004206 1005112 1005720 1006899 1007554 1008967 1010643 1018817 1025508 1025569 1030683 1036442 1037745 1038420 1058223 1059654 1063875 1064605 1077417 1077874 1078198 1080792 1082708 1087081 1088180 1088882 1092999 1095157 1101350 1101406 1111549 1117264 1134015 1143265 1143717 1161132 1161482 1170071 1170303 3064940 3070344 3070648 3073138 3074167 3076618 3077033 3077762 3078408 3082398 3085986 3088988 3089611 3090266 3090362 3091295 3092360 3094906 3095009 3098754 3100408 3102316 
011205	TAYB	0406445	1	0950504 1055078 3086015 3098796 3106131 
001837	PK25	0409956	1	0781523 0870197 0948390 0972660 1005102 1008925 1036225 1040045 1040874 1064752 1065148 1065732 1080648 1081101 1082315 1082842 1084057 1085106 1088558 1102030 1115477 1116854 1139478 1143639 1143723 1150699 1150965 1159063 1160158 1160614 1162008 1163326 1163860 1170823 1171905 3068712 3069991 3072208 3073507 3076456 3077623 3082682 3095387 3104489 3105166 3112067 
002161	PK229	1083806	1	1025460 1029566 1041559 1045379 1059572 1066309 1099059 1119989 1133174 1134358 1158007 3078073 3080595 3093770 3099165 
006847	TH224	0824244	1	1021867 1029787 1055290 1067460 1068371 1076009 1079366 3070406 
001871	EHSEM	0027651	1	
001546	GOB	0031756	1	0828394 0913989 0918009 0993532 1057610 1065142 1087782 3070374 3099420 3100897 3105820 
001552	CAN311	0129398	1	
011203	CAN311	0129398	2	0828394 0959919 0966125 
001179	GIL101	0856193	1	0828596 1017412 1078819 1084017 3073666 3087433 3088812 
001249	CARP25	0031471	1	0918064 0966077 0966299 0991763 0992189 0992616 0993551 1007842 
003441	TAYF	0897706	2	0832653 0877028 1020478 1038303 1088882 1121871 1122905 1169331 1170860 3077163 3107963 3107966 
004036	TAYSEM	0163316	1	0832653 1006799 1065646 1095717 1104669 
003278	GOCOM	0675005	1	0833266 0952594 0987243 1001039 
003026	EHII	0222805	1	0877028 0907063 0911775 0971315 0993268 1002241 1005059 1008387 1021751 1025522 1034405 1065654 1068383 
003036	PK328	3195619	1	
004276	TAYF	1165566	1	0847790 0903917 0909216 0992801 1030693 1050781 1057261 1087490 1087960 1088120 1088173 1102354 1164206 3071094 3073568 3076489 3078500 3081368 3085909 3088652 3089824 3091573 3091695 3095111 3099468 3102884 
007007	TAYG	1075274	1	0959092 1039679 1059677 1073544 1085324 1131189 1149344 1163417 1171414 3072890 3074792 3074891 3075371 3085810 3088651 3095928 3099359 
004075	PK278	0854975	1	0867125 1065271 
004889	EHI	0031373	1	0849713 0912699 0913946 0919776 0920251 0966303 0970262 0988355 0989401 0991229 1001887 1007348 
009273	PK232	1084371	1	0968216 0998885 1007779 1065196 3095924 
009233	CARP17	0029475	1	0852608 0998351 1058058 
003040	PK10	0492580	1	0986262 
003433	DAL105	0031477	1	0853174 0861816 0916427 0992186 0993566 1005451 1019212 1021017 1039943 1042335 1056217 1056857 1066335 1066982 1067241 1077161 1079444 1085061 1100338 1126639 1157506 3072447 3072484 3074936 3086536 3087696 3088421 
011224	DAL318	3196642	1	0856128 0917165 0998972 1032432 
006850	TAYC	0031335	1	0859409 1066683 1077380 1137955 1172355 3072397 3085403 
010845	TH104	3092941	1	0959919 0965861 0988826 1010175 1020478 1040868 1086802 
011193	PK336	0431946	1	0918519 0920248 0986367 1040618 1041140 1056320 1067483 1084321 1146370 3080794 3087983 3092969 3094722 3107658 
005191	PK259	3197633	1	
005310	PK337	0056990	1	0865582 0915648 0963528 0986688 0999833 
009303	CARP25	0029475	2	0865582 0896929 0984724 0986688 1054176 1076085 
011202	PK227	0499501	1	1076923 1158362 
001851	PK229	0409956	2	0868541 0904516 0959304 1009559 1017832 1021867 1029566 1045379 1078921 1116854 3080595 
001896	PK11	0056992	1	0992744 1003020 
007403	EHIII	3220572	1	0868541 1025533 1150720 3098918 
003033	PK328	0492580	2	1004997 1080792 
007041	CARP21	0162976	1	0920237 1004968 1030369 1065183 1068109 1141220 1149565 3073143 3075745 3085504 
007398	RCCON	0851717	1	0919158 1003100 1004324 1055441 
002653	TH102	0138190	1	0896476 0998799 1020370 1078646 3079370 3097903 
002688	RCSEM	0031353	1	
007081	TH251	3221335	1	1016996 1067748 1082150 3076896 
001842	PK25	0031557	2	0897911 0913115 0919283 0945584 0946010 0958984 0966299 0988271 0993268 0993551 1000750 1000990 1001394 1013071 1034405 1036442 1038420 1055290 1056980 1058421 1065196 1066309 1066778 1068371 1082150 1082907 1084363 1088636 1093549 1095157 1095349 1139478 1143723 1171002 1172397 3068353 3072910 3073143 3074001 
003270	TAYG	0675005	2	1060299 1067382 1086447 1090564 3074711 3087720 3088988 3089009 3089636 3096547 3102868 
002432	PEMSTD	0024663	1	
004734	CARP15	1084458	1	1017840 1037338 1082919 1099662 3094573 3099822 
003518	EHI	0915760	2	0903917 0912699 0917732 0965925 0965927 0980544 0990668 1084334 
005272	PK264	3197633	2	1005412 
001857	CAN314	0123161	2	0972861 
007396	CARP15	0851717	2	0909942 0914076 0992744 1124785 
004279	PK232	0017611	2	0904680 0966268 1005548 1076299 1086867 1117320 
004281	PK10	3092832	2	1056096 
004285	TAYG	3092832	3	0904680 0947693 0988625 1020478 1025569 1038671 1076854 1078413 1082150 3070648 3076618 3102974 
004303	RCCON	0031577	2	0909091 
007370	TAYE	0826964	2	0904918 0993517 1002047 1008282 1056024 1077413 1146782 3064977 3073702 3074734 3079370 3080473 3087394 
010958	TH224	1084371	2	0954831 0965861 1082799 1090933 1101031 1142212 1164190 3072447 3076930 3089276 3096011 
008766	PK338	1168489	2	0906085 0918775 0999826 1020150 1025623 1059572 1065271 1066982 1067460 1079268 1087490 1087938 1088365 1093044 1100536 1100537 1101336 1102354 1122784 1129708 1167438 1169382 3070440 3071313 3073692 3075829 3076190 3076456 3076576 3077336 3077623 3081669 3085509 3085513 3087449 3088812 3094908 3095630 3095928 3096149 3096592 3098883 3099590 3100989 3103445 3105820 3107993 
003004	DAL105	1083868	2	0906447 0986262 1077257 1079363 1095814 1104669 1150720 1158208 3072594 3073066 3073384 3073666 3077064 3095105 3095649 3096962 3099774 
008437	CARP21	0031619	2	0906618 1053105 1086489 1145578 1150758 3070017 3078073 3087347 3087444 
008799	TAYB	0031572	2	0945034 0960037 1015256 1080653 1086802 1087081 1102530 3078408 
008821	TAYE	0031572	3	0906896 0918074 0945635 0954831 0976421 1004733 1005971 1015256 1025845 1146215 1149565 3071734 3075745 3085504 3085521 
004275	TH111	0031577	3	0906963 0920400 1081917 1117264 1117320 1140609 3088421 3090785 3099957 3100678 3100927 3102153 
004835	TAYSEM	0032827	2	0906963 1007952 1067726 1076531 1078648 1095717 1096822 1100625 1104151 1116377 3086512 
002433	PK227	0697660	2	0949279 
002465	THTL	0493725	2	0950942 1005102 1005315 1034578 1039943 1058242 
003274	PK336	3094764	2	0907150 1004324 1032769 1053370 1067502 1096470 1146215 1170370 
002469	DAL318	0031489	2	0907217 1019025 
004670	TH111	0468281	2	0908461 0915648 0917165 0945264 0952783 0986367 0995269 1057004 1078646 3085909 3093697 3099468 3099822 3108036 
002668	EHSEM	0576472	2	0908998 
001465	PK200	0024218	2	0913880 1005149 1025845 1169968 
001152	PK243	0406445	2	0909216 0999733 1001887 1007779 1013197 1079756 1080272 1103391 1105842 1129814 1131918 1140609 1141167 1143717 1160614 1162008 1162293 1167996 1169402 3069991 3071015 3072063 3072293 3073138 3073146 3075163 3075371 3081368 3082830 3086747 3088090 3088352 3090537 3090785 3091295 3092072 3092236 3092972 3092985 3095050 3095588 3096693 3097462 3097903 3098754 3098796 3099448 3100628 3100824 3100927 3102884 3103177 3105802 3107323 3107589 
001767	TAYC	0995161	2	1077380 1084321 1126492 1149616 1170470 3071151 3076618 
010942	DAL204	0207327	2	0909240 0945449 0945959 0958879 0964596 0967988 0987600 0987613 1000355 1002248 1005059 1005082 1005112 1006438 1016434 1018936 1049929 1055348 1056722 1058223 1064780 1065183 1067251 1067334 1068052 1077161 1077482 1081917 1086916 1088384 1117142 1139392 3072477 3077472 3079376 3085649 3105854 
003001	PK349	1083868	3	0909560 0966414 1000355 1005059 1007799 1008967 1018936 1032929 1056722 1067334 1068383 1081249 3065039 3073004 3073169 3073384 3074570 3077064 3077472 3079272 3079376 3104731 3107980 
004874	TH104	0531931	2	0909560 0947693 0973811 0991668 0991672 0999896 1004206 1058058 3080592 
006034	PK229	0207327	3	0909942 1030369 1055348 1059469 1080653 1082842 1088365 1096470 1100536 1104216 1139392 1157047 3069264 3072208 3072594 3073666 3075188 
006502	PK259	0031621	2	3213032 
008496	THTL	0031619	3	0972633 0991120 1084017 3067556 
003445	EHLEC	0031359	2	0910403 1019212 1056857 1058180 1059654 1064752 1077683 1105086 1165573 1170757 3080937 3094695 
004810	GOCOM	3207943	2	3069337 3092599 
011237	GIL210	3198619	2	0911775 0960068 0981989 1007134 1076238 1077416 
010959	CARP13	3208608	2	0911802 0967411 0988544 1003100 1010750 1037291 
010944	DAL100A	0777265	2	0911936 0920261 0958897 1004968 1005346 1006105 1007882 1083431 1083812 3085403 
009299	CARP17	3092667	2	1141729 
004882	PK227	0031489	3	0913946 0920251 1058421 
011206	CARP13	0129398	3	0913989 1007348 1032769 
007393	PK11	0987494	2	
010977	PK278	0492451	2	0967042 0972633 1003128 1015275 
002464	PK337	3208421	2	0914290 0914299 0980693 0992189 1016996 1050781 
