Course	Room	Teacher	Time	Students
007888	2 / 2	DVR	0470839	1	0171491 3462246 
005271	7 / 9	CARP13	1137952	1	0496921 3350298 3389574 3458451 3458469 3463126 3482588 
003406	22 / 33	PK20	3320456	2	0750570 3334029 3416998 3430527 3441310 3457988 3463022 3464638 3476930 3477576 3479718 3483546 3483567 3484750 3484752 3485416 3485727 3485800 3486182 3486311 3486569 3487316 
011298	19 / 19	TH110	0058557	2	0825970 3396312 3414205 3419470 3429732 3431672 3433686 3442641 3446645 3460820 3461826 3462293 3463526 3463589 3466014 3482198 3484243 3486844 3487621 
008764	47 / 47	PK278	0428728	3	1086489 3337463 3429810 3441004 3448314 3450546 3451168 3455227 3455625 3458136 3458957 3460338 3460737 3461197 3462416 3462639 3464638 3465036 3465050 3466962 3469615 3475745 3475941 3478050 3478964 3479054 3479085 3479350 3479718 3479885 3480069 3480810 3481557 3481875 3481967 3483003 3483467 3483546 3484243 3485228 3485288 3485537 3486311 3486389 3486777 3487276 3487640 
007397	15 / 15	TH110	3474098	3	3093424 3342969 3352269 3363735 3396377 3405248 3411158 3411254 3420434 3429894 3433788 3433881 3438443 3439283 3439564 
008423	12 / 12	PK278	0132890	4	3093424 3344151 3372100 3377851 3419002 3426638 3439588 3455294 3457979 3459647 3478309 3481557 
012107	10 / 10	DAL300	0031619	5	3093424 3337246 3411186 3420837 3434210 3439588 3456290 3461057 3462115 3462414 
013999	4 / 4	PK338	3461401	4	3094516 3340797 3398070 3411018 
005217	12 / 12	PK278	0493856	5	3103190 3219927 3340287 3404534 3415217 3437365 3439511 3440024 3460073 3463919 3477580 3482989 
005310	21 / 21	PK278	1020104	6	3103190 3251781 3252368 3330264 3342762 3342814 3344218 3350298 3350812 3355412 3362442 3367107 3395624 3397992 3402266 3411005 3412381 3413574 3417314 3437701 3462936 
007028	10 / 15	PK278	0316015	7	3103190 3236337 3453472 3454476 3456645 3460235 3461937 3480166 3480734 3487093 
006872	5 / 5	DAL300	0031347	6	3198918 3411108 3425755 3430978 3432344 
004048	11 / 12	DAL300	0031578	7	3212483 3331186 3337246 3339029 3343167 3397442 3406042 3406073 3417359 3431672 3436683 
006043	12 / 13	DAL300	0409737	8	3331071 3364991 3404179 3413193 3431080 3436260 3436311 3437778 3439437 3439670 3441004 3463587 
006060	7 / 8	DAL300	0431634	9	3281059 3331071 3334029 3369591 3412100 3415827 3416354 
007043	21 / 22	PK278	3481299	8	3217041 3227014 3248623 3331179 3374470 3396208 3414298 3417000 3419002 3426244 3432027 3447306 3453218 3453467 3454115 3460369 3462872 3465591 3479945 3484334 3485931 
005247	9 / 9	PK278	3555101	9	3219927 3249725 3393147 3414811 3416424 3417001 3421604 3459109 3462936 
009304	19 / 19	PK278	0493856	10	3219927 3366307 3415801 3416286 3416424 3421770 3426556 3426658 3429524 3429706 3429810 3432759 3435734 3437365 3438471 3439511 3440024 3460766 3462554 
013642	16 / 32	PK278	3195964	11	3219927 3343387 3352040 3405604 3413441 3417097 3417338 3422964 3437978 3455294 3459584 3462262 3474207 3480423 3484334 3486050 
004888	16 / 16	DAL300	0031373	10	3221756 3319863 3340316 3344264 3352904 3364124 3401311 3402556 3404243 3404642 3405744 3406042 3413022 3415627 3417097 3418058 
012286	3 / 5	DAL300	1165592	11	3223454 3250498 3372272 
004306	3 / 3	DAL300	3447501	12	3223467 3330300 3369591 
012304	12 / 12	PK278	0031572	12	3226945 3343167 3396312 3404204 3411254 3416998 3417003 3417088 3438455 3438550 3440958 3486609 
012726	3 / 6	DAL300	0416447	13	3226945 3451664 3481518 
013920	7 / 7	DAL300	0897399	14	3226945 3416750 3458441 3458934 3459032 3481520 3576571 
001195	17 / 19	PK278	0031471	13	3227014 3338762 3358960 3398117 3413283 3414811 3415615 3417000 3417073 3418907 3420837 3432223 3455058 3455291 3457917 3457979 3461933 
002874	10 / 10	PK278	0031582	14	3227014 3416375 3420884 3426858 3438287 3454439 3455148 3468281 3485361 3576509 
001455	2 / 2	DAL300	0020093	15	3227669 3442188 
013638	15 / 16	DAL300	1168489	16	3227669 3241275 3314570 3340838 3381424 3396036 3406406 3417273 3418117 3421604 3430196 3438465 3455220 3458932 3483567 
001165	14 / 16	PK278	3557246	15	3231046 3337246 3340287 3340324 3404828 3430383 3453445 3459645 3460488 3462417 3463993 3475198 3483965 3485912 
006504	28 / 28	PK278	3554648	16	3231046 3375120 3377851 3411108 3412874 3417336 3418094 3421153 3430697 3433945 3439636 3443731 3445738 3459508 3462116 3463745 3480810 3481419 3482198 3485053 3485290 3486133 3486623 3486844 3576306 3576342 3576425 3576569 
006518	10 / 17	DAL300	0031399	17	3231046 3352904 3417338 3418094 3425239 3430953 3433501 3435628 3439409 3454115 
006588	7 / 8	DAL300	0031478	18	3231046 3340533 3372100 3384120 3406295 3417359 3418094 
006049	13 / 18	PK278	0031454	17	3236337 3341634 3359188 3404179 3413598 3413923 3414201 3414467 3416354 3430383 3436260 3439437 3439670 
013919	15 / 16	PK278	0897399	18	3236337 3337037 3397598 3429732 3443207 3450546 3451557 3455043 3459109 3475327 3475445 3478713 3480150 3484202 3484845 
001768	14 / 14	PK278	3474420	19	3241275 3342984 3352040 3374569 3381424 3414467 3437701 3437781 3438443 3439364 3457979 3459584 3475445 3481354 
008770	31 / 44	PK278	3554385	20	3241275 3402721 3417108 3429199 3440606 3447681 3451553 3451663 3452529 3455093 3456290 3457777 3458049 3458176 3462270 3462554 3463602 3467427 3467983 3474620 3475933 3478691 3480710 3480732 3481203 3481221 3481354 3483385 3483925 3485169 3487621 
002395	13 / 13	DAL300	1051497	19	3248623 3375629 3405427 3412549 3412835 3417075 3420380 3436683 3438878 3455227 3458452 3463883 3576500 
001166	22 / 22	PK278	0135660	21	3249454 3331686 3337246 3337334 3340287 3358345 3380697 3397066 3405144 3405153 3416536 3419470 3430944 3431294 3432040 3438472 3443283 3448687 3455058 3461933 3462416 3462849 
001187	6 / 9	DAL300	0031388	20	3249454 3255465 3418606 3429532 3431740 3457231 
001249	13 / 22	PK278	0031471	22	3249454 3340838 3341874 3351574 3364639 3393147 3396422 3396892 3405153 3412523 3413255 3414811 3417355 
001170	14 / 15	DAL300	3556528	21	3249725 3319386 3414068 3415217 3416073 3422414 3431535 3439588 3439912 3458533 3462240 3464100 3484361 3487261 
001763	8 / 12	DAL300	3573269	22	3249725 3431740 3438999 3463327 3471745 3479838 3483996 3576565 
013921	3 / 7	DAL300	3483424	23	3250227 3375120 3433760 
001474	9 / 10	PK278	0853792	23	3250074 3250084 3250395 3251757 3255465 3358339 3366745 3397586 3417553 
010933	5 / 5	DAL300	0031632	24	3250084 3358339 3374194 3425095 3425356 
001840	29 / 29	PK278	0168763	24	3250227 3319602 3329409 3339567 3404976 3411159 3414843 3415849 3434130 3435384 3435771 3438113 3438442 3443421 3455915 3458295 3460820 3460867 3462297 3462514 3463602 3463776 3463993 3464379 3471745 3479976 3484216 3485548 3576404 
001857	4 / 4	DAL300	0123161	25	3250227 3360165 3397265 3436119 
011299	15 / 17	PK278	0058557	26	3340316 3412523 3421770 3429810 3431445 3432595 3435161 3435384 3435922 3455915 3463776 3475941 3480935 3481690 3481813 
007370	17 / 18	PK278	0826964	25	3250244 3250803 3337781 3339814 3343615 3362442 3395299 3398117 3416997 3417003 3418106 3418120 3418907 3426020 3426638 3430142 3437756 
011987	6 / 6	DAL300	0004955	26	3250395 3425239 3455148 3461020 3481075 3483965 
013201	3 / 3	DAL300	0020093	27	3250395 3374194 3462955 
003439	23 / 23	PK278	1165592	28	3250498 3352040 3369702 3374040 3413283 3414205 3416374 3417284 3418264 3423839 3425114 3432759 3440687 3442335 3450069 3455519 3458049 3459584 3477004 3477014 3481702 3483567 3484887 
003489	5 / 10	PK278	3318436	27	3358378 3427633 3447306 3449263 3451551 
005743	5 / 5	DAL300	3392421	28	3250803 3402721 3413774 3420037 3432595 
013640	7 / 8	DAL300	0893542	29	3390220 3411136 3418117 3435628 3438442 3438550 3441166 
