Course	Room	Teacher	Time	Students
004355	BYC127	0847593	1	3572330 3582182 3759024 3693241 3914814 3695282 3903861 3227350 3671929 3822201 3893220 3915099 3928826 4062047 
015865	CARP25	3476032	1	3417643 3693224 3693253 3695784 3817682 3931929 3901669 3818762 3830308 3631101 3606350 3693565 3797877 3910500 3910525 3910707 4086222 3558739 3574483 
005847	PK100	0031582	1	3816992 3758075 3824908 3635012 3904389 3931451 4000862 4003534 4037591 3559872 
007010	TAYF	0162976	1	3464954 3814239 3821687 3852520 3902759 3910179 3913210 3908117 3912597 3846234 3930083 3817427 3930967 3834370 3905885 3913862 3930026 4086457 3768620 3821273 3915043 3930025 4086499 
013613	TAYD	0492580	1	3819177 3820588 3914813 3930034 3851913 3930168 3823271 3797767 3910561 3910588 3910740 4086332 
007380	DAL212E	0987494	1	3576460 4175290 
014534	DAL300	0031631	1	3480592 3629467 3818746 3797429 3645720 3821088 3928966 3559464 3595163 3663306 3689328 3851846 3797681 3910464 3910474 3910506 3910583 3910680 4086307 4086355 4002075 3619216 4086272 
001844	TAYC	3926311	1	3481664 3768625 3858042 3788897 3913863 3930070 3913164 3930841 4086305 4086471 
001894	GOB	3483424	1	
013918	DAL1	3392421	1	3694415 3651033 3669016 3797653 3910617 3910646 3690789 4175491 3819542 
001753	DAL6	3896859	1	3483042 3930763 4000980 
001767	CARP15	3474008	1	3819304 3796974 3910544 3910589 3995827 4095047 3797598 
008770	PK229	3194197	1	3579867 3690806 3799593 3817261 3589576 3930831 4086314 3901936 3914552 3969012 4014851 3903833 
015246	PK179	0820103	1	3483059 3559319 3667453 3695027 3722992 3788743 3902905 3904411 3823405 3796148 3931959 3693813 3819613 3839352 3901004 3691983 3692761 3930469 3807883 3911048 3788616 3905868 3914371 3929235 3930891 3591844 3694780 3814296 3904620 3910848 3903986 3797719 4086474 4090844 3467384 3929894 
002472	DAL119	0493725	1	3483977 3580798 3591436 3595071 3606293 3668623 3694481 3575071 3226303 3693280 3689919 3598090 3498974 3653119 3690346 3691514 3692380 3666161 3668826 3668831 3797645 3797692 3797744 3797829 3797849 3797856 3797819 3668849 
014969	TH118	0493725	2	3483977 3821006 3931474 3598090 3797752 
015501	PK259	1168592	1	3929241 3931474 3820756 3716057 3596713 3797745 4086301 
002160	PK20	1083806	1	3489089 3491953 3521001 3608097 3610120 3638301 3693084 3694712 3695145 3716140 3717137 3789529 3821231 3843290 3852791 3901691 3914344 3914515 3929812 3929815 3930547 3930608 3693712 3764208 3818025 3930678 3995730 3694428 3799474 3817969 3818024 3722764 3808480 3833378 3852207 3929679 3789283 3915029 3930544 3458065 3773692 3796247 3929704 3797164 3902440 3903994 3914251 3929849 3774808 3801768 3817487 3818807 3819393 3820768 3861195 3929586 3929954 3930302 3910582 4086300 3994876 4097018 3691794 3790244 3789175 
008427	TH116	4177943	1	3915044 3819353 3929644 3823262 3930614 3902404 3695022 3817419 3814107 4096358 
008500	TAYE	0031619	1	3575259 3581497 3652396 3668366 3692786 3559903 3488858 3689329 3597215 3691140 3666207 3797676 3797784 
001473	TAYSEM	3555417	1	3650256 3666175 3668386 3608602 3650736 3639603 
011865	DAL25	3646542	1	3651365 3651439 3675467 3631042 3693557 3579645 3822912 3694810 3816993 3820885 3694039 3910595 3454433 
005310	BYC239	1020104	1	3493764 3667381 3667677 3690516 3693092 3695542 3581247 3581981 
004279	PK200	3818521	1	3496673 3823391 3910870 3823094 3789439 3929864 4086216 4086249 
001899	DAL20	0409956	1	3560256 3817668 3652276 3689375 
015830	TH102	3646540	1	3497993 3652273 3668420 3705083 3725997 3631215 3768515 3796237 3907037 3930817 3768356 3905715 3816466 
001839	PK234	0898918	1	3606536 3611135 3666570 3680751 3785953 3820732 3854723 3821254 3493748 3818064 3419024 
006846	PK278	4171980	1	3580211 3652353 3710991 3715444 3789806 3816483 3821166 3846717 3860357 3906818 3666801 3692440 3821097 3915088 3930674 3930864 3854016 3845742 3913671 3722926 3591211 3930220 3930865 
008778	RCSEM	3996107	1	3823130 3910343 3823438 4086229 3910634 4092894 
003469	EHI	3092941	1	3699561 3929635 3818675 3910687 4043326 4090975 
003474	CARP13	3318436	1	3789507 3581274 3797749 
003572	DAL315	0897399	1	3544262 3557742 3629970 3652473 3667404 3690020 3692519 3692766 3694980 3821729 3592325 3581389 3690733 3634695 3768555 3560234 3694813 3600785 3693612 3694798 3630915 3694101 3616872 3652373 3689402 3695292 3602435 3619323 3650874 3455037 3797640 3851907 
002878	BYC100	3470325	1	3650997 3667311 3606418 3669280 3797586 3797755 3797794 3652177 
014125	DAL20	3555417	2	3557742 3667311 3797737 3797755 3929739 3973360 
001248	TH223	0135660	1	3558796 3651293 3692756 3693473 3599090 
014785	DAL10	3814283	1	3694791 3668763 
015837	PK337	3577228	1	3929165 3820397 
015840	ROSTUD	3577228	2	3558796 3931971 3797711 
008824	CAN205	0031572	1	3559225 3691962 
008812	DAL2	0576472	1	3561430 3790792 3690204 3820961 3652350 3797616 3797684 4086478 3797665 3692018 3797642 
013192	PK354	0428815	1	3581967 
006573	TH129	0031399	1	3692285 3694433 3819676 3930485 
006042	PK338	3818520	1	3574519 3602816 3629951 3632881 3649880 3651487 3651499 3667273 3691748 3691981 3692098 3692862 3694432 3695368 3817637 3821044 3821077 3821179 3824188 3915267 3929979 3574349 3576002 3651243 3693789 3820965 3581375 3774021 3821047 3821439 3710476 3796906 3492361 3821643 3928890 3492423 3651605 3667464 3691783 3693902 3769368 3578392 3768303 3956133 4086346 4170471 3797830 3820963 
011310	PK243	0207327	1	3690799 3694236 3695543 3475959 3629518 3691575 3715155 3695285 3639772 3462565 3628726 3578252 3797727 3797740 3691416 3694006 3797872 3695373 
008479	TAYF	0031619	2	3575259 3579092 3668366 3690020 3709927 3821048 3929167 3930721 3689329 3816463 3597215 3691140 3666207 3818771 3668845 3797676 3797720 
003275	PK328	1061861	1	3902439 3931323 3692294 3929810 3903092 3910769 4086484 3576431 3580586 
006044	TH224	0554585	1	3578240 3788990 3818480 3903896 3930303 3579864 3616918 3694289 3668378 3820038 3797628 3797649 3797871 3929468 
006059	TAYB	0031526	1	3581282 3694417 3595641 3695554 3789055 
010844	TAYG	0409737	1	3901254 3632720 3660063 3910639 3910759 
007377	CARP21	0031522	1	3579092 3728679 3819598 3915036 4091039 3929419 3678350 3797192 3630501 3695539 3724014 3816970 3908300 3914354 3693185 3559172 3816181 3929102 3797826 3910630 4086253 4086326 4086398 4086480 3759127 3816174 3953825 3992528 3789573 3821766 3823278 3910502 4086312 
008420	PK336	0125630	1	3709927 3781152 3929167 3818122 3823387 3913606 3823755 3790492 3915203 3502364 3668845 3910462 3910470 3910483 3902196 3931666 3960504 3987067 3994726 4001999 4090730 4093370 4094796 4095472 4095965 3857764 3652339 
001847	PK336	3483424	2	3580211 3651487 3666570 3680751 3715444 3817668 3823130 3906818 3821097 3930864 3596713 3818064 3910738 4096913 4174206 
005845	TH251	3212821	1	3580671 3930047 3863747 3931388 3973168 3976786 4002204 4092771 4093970 4095301 3891249 
013164	DAL10	3470325	2	3580671 3910550 3910745 4044087 
013635	TH118	3555097	1	3580796 3668538 3913786 3930102 3797667 3910463 3930216 
002367	PK338	0493725	4	3580798 3905822 3929800 3910185 3792406 3821632 3839910 3904251 3914750 3822886 3910514 3910691 4086333 4086365 4086374 4086450 3878563 3881459 3901936 3913138 3929739 3969305 3975519 3988063 4000812 4002166 4002914 4003130 4026411 4044003 4091899 4092144 4092675 4093324 4093423 4093806 4094012 4094175 4094815 4095083 4176079 3768339 
