71.48649
Course	Room	Teacher	Time	Students
007125	3 / 29 / 18	TAYF	0162976	1	3067313 3073034 3094479 
007127	34 / 43 / 36	EHLEC	0028980	1	0362014 1012362 1019072 1049392 1052099 1057570 1058853 1059804 1068660 1070812 1071318 1073428 1074737 1081112 1093453 1094952 1097508 1104323 1123611 1136139 1137568 1141766 1141987 1163270 1163883 3059978 3062862 3065426 3065806 3068612 3069318 3071694 3073483 3077926 
011321	10 / 20 / 11	TAYD	0028980	2	0362014 1104323 1137568 1163883 3071694 3078066 3081073 3095290 3096229 3097933 
011838	7 / 26 / 16	PK229	0031619	1	3066114 3067056 3077931 3081988 3211727 3218034 3223468 
002571	4 / 10 / 6	CARP13	0564741	1	0692830 3068633 3086709 3097468 
006863	4 / 8 / 5	ROSTUD	0402773	1	0889130 1092551 1153307 3074091 
008427	16 / 29 / 18	EHI	0125630	1	0892947 1149928 3078602 3081698 3091176 3150738 3178019 3190134 3204830 3213402 3219719 3316819 3330334 3330820 3332425 3332580 
010954	2 / 6 / 4	PK354	3401548	1	3101907 3257376 
001248	21 / 38 / 23	GOB	0031388	1	0898104 0903788 1058203 1070296 1070620 1072725 1073523 1080204 1084538 1085421 1087579 1095813 1107899 1122236 1126437 1130377 1153036 1162493 3064715 3077943 3100011 
005263	9 / 19 / 11	RCCON	0493855	1	1089244 1118914 1133642 1136656 1162792 3069040 3079829 3081431 3121199 
006044	12 / 39 / 25	PK180	0207327	1	0901284 0950914 1080806 1096920 1143387 3062828 3064630 3078822 3088390 3088433 3089763 3204893 
001213	6 / 31 / 19	CARP25	0031471	1	1081304 3064485 3082033 3094738 3099745 3160008 
001845	6 / 17 / 11	TH104	0123161	1	0908849 1143121 3080546 3086240 3219428 3323692 
002712	2 / 10 / 6	TH223	0468281	1	1058068 1071068 
001166	18 / 36 / 21	TAYG	0135660	1	0910971 1057174 1060971 1071507 1162384 1163245 3065929 3069758 3070184 3083207 3093246 3095867 3122857 3126602 3135241 3188793 3209232 3217778 
001862	7 / 23 / 13	BYC127	0031557	1	1160418 1161679 3065779 3075104 3087533 3089580 3097588 
006559	0 / 5 / 3	EHSEM	0031478	1	
001183	7 / 22 / 13	PK328	0406445	1	1138637 3065568 3091218 3093100 3094700 3096808 3212787 
001473	4 / 10 / 7	TH251	0031632	1	1090632 1133031 1162390 1164777 
004869	1 / 10 / 6	GOCOM	0053518	1	3209936 
