74.060005
Course	Room	Teacher	Time	Students
004014	CAN315	3996718	1	3432357 3712913 3793612 3653200 3774943 3667453 3762625 3769494 3931001 3816466 3583596 
012354	TH111	0492321	1	3432357 3581786 3771823 3799593 3481532 3797855 3910508 3910761 
012355	DAL212E	3817289	1	3432357 3771823 3668765 3668895 3910741 
015450	SW8	1083671	1	3432357 3676165 
004082	DAL10	1167978	1	3460718 3580095 3559657 3559857 3558800 3576248 3561098 3599497 3668775 3668816 3668920 
007127	PK100	3198619	1	3460718 3516442 3559624 3559645 3568950 3577795 3581038 3570123 3690445 3581207 3487623 3518231 3560199 3561402 3581995 3483954 3581249 3510878 3796230 3542887 3692609 3463919 3581192 
007381	PK243	0031611	1	3462240 3575309 3705083 3725997 3789573 3816336 3796237 3767997 3521461 3525604 3797206 3592680 3788983 3819645 3711406 3821231 3610681 3595163 3661465 3677885 3816104 3818762 3822613 3581786 3690652 3693286 3768356 3581149 3679221 3695784 3578673 3668777 3668868 3774124 3797605 3797708 3910510 3910539 3910614 3910622 
015243	TH116	0031631	1	3462240 3552259 3577806 3581085 3596492 3694434 3574866 3694433 3556617 3574137 3558838 3693219 3668969 3797650 3797806 
002174	BYC106	3926209	1	3471450 3505157 3580269 3521265 3561074 3581996 3559302 3580251 3574543 3650578 
001765	GOB	3927849	1	3474374 3547282 3693565 3699593 3819309 3462019 3581389 3823228 3668801 3797777 3797780 3910677 
003572	PK234	0024092	1	3474374 3483036 3484746 3502893 3524341 3544254 3547282 3559900 3560687 3575769 3581171 3581870 3699536 3818686 3560511 3540714 3561001 3462019 3551641 3480734 3549052 3561318 3581846 3471190 3578177 3581596 3473086 3576230 3580407 3483546 3578488 
005197	PK259	1020104	1	3480728 3581247 3591591 3668538 3559903 3560649 3492423 3577054 3579579 3691228 3857764 3914822 3819542 3581981 3668986 3669019 3797808 3797817 
009362	TAYD	0031619	1	3480728 3560858 3581827 3476927 3816463 3691140 3818676 3818746 3579181 3789136 3816970 3823113 3475959 3816993 3797826 3910470 3910583 3910599 3910628 
014551	DAL2	0492451	1	3480728 3580796 3667821 3693253 3693565 3816463 3487623 3693224 3694039 3817682 3822535 3695784 3558963 3668858 3797808 3910656 
002568	PK328	1168490	1	3480867 3576013 3581171 3581952 3650277 3560373 3470393 3695024 3651499 3821393 3503382 3581227 3693902 3559591 3645471 3668914 3669044 
011963	TH118	0409956	1	3480867 3497993 3529298 3581085 3652276 3581609 3651816 3481894 3574137 3560487 3669028 
013712	PK126	0851717	1	3480867 3524963 3559657 3531305 3581228 3525604 3503587 3574137 3822613 3479311 
006026	PK278	0213446	1	3481391 3493748 3512896 3529298 3544254 3561430 3574967 3580671 3581038 3581870 3582182 3652569 3668195 3712888 3818675 3581274 3516634 3797206 3578714 3560167 3560199 3577187 3610671 3816549 3668130 3816104 3576230 3630915 3904965 3839352 3845742 3902905 3814107 3826470 3851735 3930296 3930967 3561511 3668775 3668790 3668833 3668846 3668882 3668923 3668952 3669029 3797587 3910584 3910630 
004877	GOCOM	0031373	1	3481944 3508682 3575908 3580671 3581907 3576753 3579949 3482101 3619255 3691694 3575969 
004888	PK127	0032827	1	3481944 3581080 3581469 3581907 3579949 3692294 
001770	DAL212A	3688148	1	3483036 3484746 3568950 3581870 3615055 3557742 3561074 3665045 3549052 3796974 3472140 3668974 
001185	TH110	0123161	1	3483511 3502893 3789070 3817177 3695434 3771747 3619323 3651605 3820774 3577485 3796007 3576354 3668886 
001248	BYC127	0135660	1	3483511 3559843 3559963 3560858 3576126 3580991 3581830 3557478 3561772 3574866 3521272 3537536 3485756 3540124 3574483 3538400 3575735 3580714 3574563 3580259 
013921	TH102	3483424	1	3483511 3559963 3650277 3426943 3480868 3521461 3575928 3580326 3575483 3560487 3576522 3668912 
002394	RCSEM	0020988	1	3483977 3580798 3821006 3821116 3598090 3546417 3579361 3591436 3910503 3910702 3910741 
002409	PK336	3448653	1	3483977 3559645 3581827 3821048 3821116 3561772 3606293 3487623 3668623 3470797 3653119 3226303 3463919 3821632 3666161 3797819 3910563 3910763 
002413	TH224	1051497	1	3483977 3768025 3797331 3820756 3821006 3821116 3820963 3820010 3689919 3821571 3576763 3498974 3929800 3931474 3653119 3463919 3576512 3666161 3910503 3910527 3910529 3910563 3910673 3910702 
002472	TH104	3208421	1	3485170 3512896 3576231 3576792 3577741 3580095 3479534 3476864 3533093 3540190 3559970 3470797 3546417 3580389 3505185 3540705 3568636 3576763 3397840 3483003 3561098 3668827 3668923 3668972 3669008 
005310	PEMSTD	0493856	1	3485628 3560193 3581827 3819232 3538688 3560649 3561516 3578707 3556617 3577054 3579579 3559462 
005728	CARP25	3648007	1	3485628 3485628 3650874 3650874 3817048 3817048 3691694 3691694 3650256 3650256 3693286 3693286 3694415 3694415 3668766 3668766 
007026	DAL1	3198619	1	3485628 3493931 3606350 3667654 3694980 3581249 3585962 3687862 3792443 3692609 3796254 3668763 3668880 3797626 3910561 3910635 
004383	DAL25	3451416	1	3481944 3486834 3559624 3574519 3575908 3789070 3599536 3575483 3559462 3579361 3655749 3578488 3584685 3668916 3668982 3910515 3910634 
012665	TH251	3332662	1	3486834 3579028 3577022 3581980 3560770 
002162	CARP17	0168378	1	3493748 3496439 3610287 3648550 3690043 3693813 3496673 3650239 3690806 3460343 3591844 3689500 3578747 3668766 3668843 3668871 3668886 3669027 
002164	TAYF	0180723	1	3493748 3496439 3581918 3610287 3648550 3667503 3690043 3693813 3496673 3690806 3656490 3460343 3549272 3591844 3694903 3689500 3820380 3578747 3669000 3797863 
011826	TH129	0180723	1	3493748 3496439 3610287 3648550 3667503 3690043 3693813 3496673 3650239 3690806 3460343 3591844 3694903 3689500 3578747 
006557	TAYSEM	0031573	1	3493931 3592208 3692514 3576011 
004355	DAL6	0847593	1	3497948 3611048 3796732 3574542 3690204 3789315 3650256 3930303 3764613 3929237 3910179 3929241 3851913 3901790 3904334 3915042 3929167 3676089 
007899	PK200	0821481	1	3497948 3651243 3821088 3612203 3797631 3797710 3797764 3797833 
012284	SW221	0031386	1	3497948 3651243 3574542 3668752 
