81.94075
Zero Conflict:39284
Nonzero Conflict:3455
More students interested than room limit: 1
Course	Room	Teacher	Time	Students
004014	11 / 22 / 11	CARP25	3996718	1	3432357 3712913 3793612 3653200 3774943 3667453 3762625 3769494 3931001 3816466 3583596 
012354	8 / 28 / 8	TAYF	0492321	2	3432357 3581786 3771823 3799593 3481532 3797855 3910508 3910761 
012355	5 / 50 / 5	PK234	3817289	3	3432357 3771823 3668765 3668895 3910741 
015450	3 / 50 / 3	DAL315	1083671	4	3432357 3676165 3560199 
004082	9 / 22 / 11	DAL2	1167978	1	3580095 3559657 3559857 3558800 3576248 3599497 3668775 3668816 3668920 
007127	23 / 72 / 23	DAL119	3198619	2	3460718 3516442 3559624 3559645 3568950 3577795 3581038 3570123 3690445 3581207 3487623 3518231 3560199 3561402 3581995 3483954 3581249 3510878 3796230 3542887 3692609 3463919 3581192 
007381	40 / 192 / 40	PK20	0031611	3	3462240 3575309 3705083 3725997 3789573 3816336 3796237 3767997 3521461 3525604 3797206 3592680 3788983 3819645 3711406 3821231 3610681 3595163 3661465 3677885 3816104 3818762 3822613 3581786 3690652 3693286 3768356 3581149 3679221 3695784 3578673 3668777 3668868 3774124 3797605 3797708 3910510 3910539 3910614 3910622 
015243	15 / 70 / 15	PK278	0031631	4	3462240 3552259 3577806 3581085 3596492 3694434 3574866 3694433 3556617 3574137 3558838 3693219 3668969 3797650 3797806 
002174	10 / 75 / 10	PK349	3926209	5	3471450 3505157 3580269 3521265 3561074 3581996 3559302 3580251 3574543 3650578 
001765	12 / 192 / 12	PK20	3927849	5	3474374 3547282 3693565 3699593 3819309 3462019 3581389 3823228 3668801 3797777 3797780 3910677 
003572	31 / 192 / 31	PK20	0024092	6	3474374 3483036 3484746 3502893 3524341 3544254 3547282 3559900 3560687 3575769 3581171 3581870 3699536 3818686 3560511 3540714 3561001 3462019 3551641 3480734 3549052 3561318 3581846 3471190 3578177 3581596 3473086 3576230 3580407 3483546 3578488 
005197	18 / 75 / 18	PK349	1020104	6	3480728 3581247 3591591 3668538 3559903 3560649 3492423 3577054 3579579 3691228 3857764 3914822 3819542 3581981 3668986 3669019 3797808 3797817 
009362	19 / 192 / 19	PK20	0031619	7	3480728 3560858 3581827 3476927 3816463 3691140 3818676 3818746 3579181 3789136 3816970 3823113 3475959 3816993 3797826 3910470 3910583 3910599 3910628 
014551	16 / 192 / 16	PK20	0492451	8	3480728 3580796 3667821 3693253 3693565 3816463 3487623 3693224 3694039 3817682 3822535 3695784 3558963 3668858 3797808 3910656 
002568	17 / 75 / 17	PK349	1168490	7	3480867 3576013 3581171 3581952 3650277 3560373 3470393 3695024 3651499 3821393 3503382 3581227 3693902 3559591 3645471 3668914 3669044 
011963	11 / 75 / 11	PK349	0409956	8	3480867 3497993 3529298 3581085 3652276 3581609 3651816 3481894 3574137 3560487 3669028 
013712	10 / 75 / 10	PK349	0851717	9	3480867 3524963 3559657 3531305 3581228 3525604 3503587 3574137 3822613 3479311 
006026	49 / 192 / 49	PK20	0213446	9	3481391 3493748 3512896 3529298 3544254 3561430 3574967 3580671 3581038 3581870 3582182 3652569 3668195 3712888 3818675 3581274 3516634 3797206 3578714 3560167 3560199 3577187 3610671 3816549 3668130 3816104 3576230 3630915 3904965 3839352 3845742 3902905 3814107 3826470 3851735 3930296 3930967 3561511 3668775 3668790 3668833 3668846 3668882 3668923 3668952 3669029 3797587 3910584 3910630 
004877	11 / 75 / 11	PK349	0031373	10	3481944 3508682 3575908 3580671 3581907 3576753 3579949 3482101 3619255 3691694 3575969 
004888	5 / 75 / 6	PK349	0032827	11	3481944 3581080 3581469 3579949 3692294 
001770	12 / 192 / 12	PK20	3688148	10	3483036 3484746 3568950 3581870 3615055 3557742 3561074 3665045 3549052 3796974 3472140 3668974 
001185	10 / 192 / 13	PK20	0123161	11	3483511 3502893 3817177 3771747 3651605 3820774 3577485 3796007 3576354 3668886 
001248	20 / 192 / 20	PK20	0135660	12	3483511 3559843 3559963 3560858 3576126 3580991 3581830 3557478 3561772 3574866 3521272 3537536 3485756 3540124 3574483 3538400 3575735 3580714 3574563 3580259 
013921	12 / 75 / 12	PK349	3483424	13	3483511 3559963 3650277 3426943 3480868 3521461 3575928 3580326 3575483 3560487 3576522 3668912 
002394	11 / 75 / 11	PK349	0020988	12	3483977 3580798 3821006 3821116 3598090 3546417 3579361 3591436 3910503 3910702 3910741 
002409	18 / 192 / 18	PK20	3448653	13	3483977 3559645 3581827 3821048 3821116 3561772 3606293 3487623 3668623 3470797 3653119 3226303 3463919 3821632 3666161 3797819 3910563 3910763 
002413	19 / 192 / 24	PK20	1051497	14	3768025 3797331 3820756 3820963 3820010 3689919 3821571 3576763 3498974 3929800 3931474 3653119 3463919 3576512 3666161 3910527 3910529 3910563 3910673 
002472	25 / 192 / 25	PK20	3208421	15	3485170 3512896 3576231 3576792 3577741 3580095 3479534 3476864 3533093 3540190 3559970 3470797 3546417 3580389 3505185 3540705 3568636 3576763 3397840 3483003 3561098 3668827 3668923 3668972 3669008 
005310	12 / 75 / 12	PK349	0493856	14	3485628 3560193 3581827 3819232 3538688 3560649 3561516 3578707 3556617 3577054 3579579 3559462 
005728	8 / 75 / 16	PK349	3648007	15	3485628 3650874 3817048 3691694 3650256 3693286 3694415 3668766 
007026	15 / 75 / 16	PK349	3198619	16	3493931 3606350 3667654 3694980 3581249 3585962 3687862 3792443 3692609 3796254 3668763 3668880 3797626 3910561 3910635 
004383	15 / 192 / 17	PK20	3451416	16	3481944 3486834 3559624 3574519 3575908 3789070 3599536 3575483 3655749 3578488 3584685 3668916 3668982 3910515 3910634 
012665	5 / 75 / 5	PK349	3332662	17	3486834 3579028 3577022 3581980 3560770 
002162	18 / 192 / 18	PK20	0168378	17	3493748 3496439 3610287 3648550 3690043 3693813 3496673 3650239 3690806 3460343 3591844 3689500 3578747 3668766 3668843 3668871 3668886 3669027 
002164	20 / 192 / 20	PK20	0180723	18	3493748 3496439 3581918 3610287 3648550 3667503 3690043 3693813 3496673 3690806 3656490 3460343 3549272 3591844 3694903 3689500 3820380 3578747 3669000 3797863 
011826	15 / 75 / 15	PK349	0180723	19	3493748 3496439 3610287 3648550 3667503 3690043 3693813 3496673 3650239 3690806 3460343 3591844 3694903 3689500 3578747 
006557	4 / 75 / 4	PK349	0031573	18	3493931 3592208 3692514 3576011 
004355	18 / 192 / 18	PK20	0847593	19	3497948 3611048 3796732 3574542 3690204 3789315 3650256 3930303 3764613 3929237 3910179 3929241 3851913 3901790 3904334 3915042 3929167 3676089 
007899	8 / 75 / 8	PK349	0821481	20	3497948 3651243 3821088 3612203 3797631 3797710 3797764 3797833 
