82.55047
Zero Conflict:47579
Nonzero Conflict:3420
Course	Room	Teacher	Time	Students
004355	20 / 48 / 20	DAL300	0847593	1	3417643 3572330 3582182 3759024 3914344 3929815 3817969 3693241 3914814 3695282 3816832 3903861 3227350 4096251 3671929 3822201 3893220 3915099 3928826 4062047 
015865	23 / 58 / 23	PK243	3476032	2	3417643 3581265 3693224 3693253 3695784 3817682 3818746 3931929 3901669 3774021 3818762 3830308 3631101 3606350 3693565 3956133 3797877 3910500 3910525 3910707 4086222 3558739 3574483 
005847	13 / 31 / 15	EHII	0031582	1	3464954 3816992 3581315 3758075 3824908 3635012 3905460 3904389 3931451 4000862 4002909 4090730 3559872 
007010	17 / 61 / 23	DAL315	0162976	2	3464954 3852520 3902759 3910179 3913210 3908117 3912597 3846234 3930083 3817427 3905885 3913862 4086457 3768620 3821273 3930025 4086499 
013613	18 / 111 / 18	PK349	0492580	3	3464954 3819177 3820588 3914813 3915267 3930034 3851913 3928890 3930168 3914724 3823271 3823402 3666161 3797767 3910561 3910588 3910740 4086332 
007380	9 / 71 / 9	PK338	0987494	3	3480592 3904320 3797429 3823755 3576460 3910463 3789573 3821766 4175290 
014534	28 / 184 / 28	PK20	0031631	4	3480592 3629467 3818746 3774116 3797429 3645720 3816970 3821088 3693185 3928966 3559464 3595163 3663306 3689328 3851846 3930302 3797681 3910464 3910474 3910506 3910583 3910680 4086307 4086355 4002075 3619216 3821766 4086272 
001844	13 / 111 / 13	PK349	3926311	4	3481664 3759024 3768625 3858042 3788897 3913863 3930070 3913164 3930841 3813457 3910595 4086305 4086471 
001894	7 / 111 / 7	PK349	3483424	5	3481664 3580211 3651487 3953805 3668420 3596713 3581967 
013918	11 / 111 / 11	PK349	3392421	6	3481664 3694415 3651033 3650874 3669016 3797653 3910617 3910646 3690789 4175491 3819542 
001753	8 / 184 / 8	PK20	3896859	5	3483042 3557742 3903896 3929704 3930763 4000980 3857764 3851907 
001767	11 / 184 / 11	PK20	3474008	6	3483059 3694741 3930034 3819304 3796974 3904620 3910544 3910589 3995827 4095047 3797598 
008770	22 / 184 / 22	PK20	3194197	8	3483059 3900952 3930608 3823405 3914875 3226303 3579867 3690806 3458065 3799593 3914724 3817261 3589576 3930831 4086314 3901936 3914552 3969012 4014851 4091163 3917445 3903833 
015246	43 / 184 / 43	PK20	0820103	7	3483059 3559319 3667453 3695027 3717137 3722992 3788743 3860357 3902905 3904411 3929812 3930547 3823405 3796148 3931959 3693813 3819613 3839352 3901004 3691983 3692761 3930469 3807883 3911048 3788616 3905868 3914371 3929235 3930891 3591844 3694780 3814296 3818807 3823151 3904620 3910848 3930220 3903986 3797719 4086474 4090844 3467384 3929894 
002472	29 / 111 / 29	PK349	0493725	7	3483977 3580798 3591436 3595071 3606293 3668623 3694481 3575071 3226303 3693280 3689919 3639772 3598090 3498974 3653119 3690346 3691514 3692380 3666161 3668826 3668831 3797645 3797692 3797744 3797829 3797849 3797856 3797819 3668849 
014969	9 / 111 / 9	PK349	0493725	8	3483977 3821006 3931474 3598090 3797645 3797752 3797849 3910563 3671929 
015501	12 / 111 / 12	PK349	1168592	9	3483977 3595071 3929241 3931474 3820756 3716057 3596713 3694039 3797692 3797745 3797829 4086301 
