66.347046
Course	Room	Teacher	Time	Students
002414	CARP17	0697660	1	0032765 0852945 
002871	TAYF	0031416	1	0145931 0772218 0780735 0781191 0783208 0786993 0802127 0818349 0820055 0825743 0826099 0829397 0849022 0851112 0851310 0858752 0859409 0871255 0899419 0901732 0919158 0948568 0989401 1001394 1005412 1005427 1009104 1018817 1019212 1025035 1041559 1041981 1053370 1056281 1057261 1057592 1064385 1065196 1065271 1067334 1078508 1081939 1081952 1083627 1084321 
005725	PK349	0031543	1	0805926 0904918 0913115 0915648 0967411 0973811 0986262 0987276 0991668 0991672 1002248 1065238 
001249	TAYD	0706398	1	0419327 0768235 0769943 0770471 0771438 0780619 0788562 0813277 0818599 0828596 0829796 0833695 0915579 
003009	GIL210	0031406	1	0853174 0900240 0904301 0918074 0967988 0971315 0993268 
005743	CARP13	0031392	1	0859310 0874063 
001190	TH111	1063511	1	0534728 0833511 0860532 0905954 0976244 1079614 
008799	EHI	0031572	1	0576611 0657857 0739031 0748627 0751242 0830886 0836904 0897034 0902118 0908375 0911849 0986688 0999896 1000895 1001196 1005971 
003554	PK300	0599596	1	0603589 
002929	PK100	0695662	1	
002952	CAN311	0088906	1	0769020 0801247 0854032 0855155 
004083	TAYB	0031578	1	0634162 0751823 0777510 0782929 0784558 0790880 0829788 0830791 0830911 0849243 0852409 
001766	PK278	1165592	1	0779276 0832653 0907150 0988544 0988631 1056738 
005210	PK232	1020104	1	0823997 1056096 
005263	DAL100A	1167853	1	0656863 0672478 0680495 0741707 0747562 0752318 0754424 0770814 0782876 0799414 0807993 0809224 0817768 0819263 0828464 0828604 0831435 0831800 0836471 0849713 0858181 0860298 0861504 0871309 0882728 0888735 0890945 0918277 0957333 0999833 
008501	EHIII	0125630	1	0776956 0786698 0803579 0825478 
007032	EHLEC	0031573	1	0808392 0860497 0984724 1000750 1019940 1076299 1076923 1077294 
007365	PK180	0162977	1	0852608 0853988 0867125 0903449 0906447 0910403 0914076 0952443 0963413 0988245 0991120 1002036 1003128 1004324 1018271 1019006 1025533 1030369 1067297 1067377 1079268 1079366 1079993 1083080 1085061 
008766	DAL204	0431786	1	0671926 0709543 0748713 0779081 0786093 0807767 0809463 0825616 0831413 0831548 0850690 0861690 0871681 0896036 0904680 0944831 0956475 0959189 0963528 0972633 0980693 0988100 0991769 0998323 1000990 1001039 1002364 1003100 1009559 1009729 1015275 1017339 1018252 1019674 1020520 1025845 1036442 1039679 1041140 1044561 1055640 1056270 1056910 1057004 1057779 1064270 1065781 1068383 1076246 1076783 1077413 1080792 1081006 1084462 
004817	TH102	1074848	1	0773772 0781147 0807750 0813366 0912699 0966303 1005633 1085324 
