80.68988
Zero Conflict:25650
Nonzero Conflict:2286
More students interested than room limit: 1
Course	Room	Teacher	Time	Students
005725	11 / 28 / 12	EHI	0031543	1	0138353 1075852 1087771 1155700 1156612 3066711 3078258 3087757 3091890 3204243 3211360 
011306	9 / 18 / 9	EHII	3319825	1	0362014 1045792 1052076 1068656 1070835 1076785 1095813 3098496 3152571 
001837	51 / 60 / 60	PK25	0123161	2	0385511 0746108 0794549 0858172 1073230 1096638 1125596 1155110 1155700 1160418 3067214 3077505 3078071 3082852 3084494 3085021 3087231 3087330 3087533 3088047 3088141 3089555 3090752 3090776 3091218 3092091 3092333 3093208 3093257 3094802 3095337 3095867 3096963 3097075 3098380 3098983 3099257 3119048 3119909 3135241 3145520 3160933 3173096 3177873 3190685 3194428 3204830 3209232 3210876 3211081 3211473 
002161	36 / 51 / 36	PK349	0301910	3	0385511 0794549 1032467 1057174 1060971 1073230 1081207 1151485 1154430 1155748 1156282 1160418 1161679 1163245 3065779 3068878 3075104 3076209 3078822 3084494 3085643 3087231 3087330 3087527 3087533 3089580 3091221 3091870 3092333 3092408 3094802 3095021 3098983 3104489 3183942 3193776 
006847	26 / 77 / 26	PK338	0031335	4	0385511 0794549 0858172 1022159 1058731 1075329 1125596 1136061 1143387 1156282 3062766 3075104 3076209 3078822 3080539 3085421 3085643 3086192 3088969 3092244 3092532 3099257 3100402 3104489 3181938 3205337 
003034	10 / 34 / 11	TH104	0222805	2	0472799 0992777 0994316 0994663 1014173 1026827 1057202 1058076 1060805 1074339 
006031	51 / 77 / 51	PK338	0431634	5	0472799 0950914 1001389 1059337 1071241 1086556 1155813 1160418 3070495 3072895 3074091 3079774 3079866 3079871 3081503 3081951 3085421 3085643 3087527 3087948 3088264 3089555 3090058 3090752 3091305 3092408 3092532 3092830 3094802 3095021 3095908 3097592 3097709 3108691 3108886 3109227 3110627 3125856 3126433 3145694 3155346 3169335 3177873 3190685 3194888 3204306 3205337 3210876 3215784 3217371 3217543 
011224	10 / 35 / 10	CARP21	3196642	3	0493741 0997621 1012505 1048518 1059101 3065565 3078958 3098034 3155348 3190685 
011536	8 / 51 / 8	PK349	3213249	4	0493741 0997849 1060948 1156277 3062898 3082246 3087328 3179026 
003278	3 / 60 / 3	PK25	0675005	5	0661374 1034757 1057660 
001849	4 / 60 / 4	PK25	0123161	7	0663344 0996066 1033981 3065929 
010842	5 / 60 / 7	PK25	0564741	6	0692830 1009761 1134649 1163719 3068633 
002153	21 / 77 / 57	PK338	1167863	6	0998860 1073211 1075264 1091600 1164327 3065929 3080539 3081400 3084117 3087948 3092411 3097592 3099676 3103166 3126433 3126930 3204248 3204644 3205337 3214704 3227175 
008439	19 / 77 / 19	PK338	0132890	7	0820385 0899040 0994663 1045527 1047863 1050843 1072036 3065568 3065947 3082688 3083717 3088010 3092532 3098243 3145695 3173096 3211128 3212293 3217408 
008469	4 / 77 / 9	PK338	0125630	8	0820385 0892947 1078911 3093349 
008501	16 / 77 / 16	PK338	0031553	10	0820385 0899040 0902364 0980359 0983542 0993172 1001526 1025351 1043203 1045527 1056692 1065966 1069425 1072036 1075221 1076439 
011322	2 / 60 / 2	PK25	0028980	9	0820385 0980359 
011198	4 / 60 / 7	PK25	3198088	8	0825075 3100080 3211643 3216420 
002456	14 / 77 / 14	PK338	0493725	9	0890353 0993172 0994663 1012249 1015916 1032365 1048062 1058076 1085421 1090070 1090632 3061194 3065722 3069318 
002877	3 / 60 / 3	PK25	0031582	10	0890353 1036579 1161791 
005157	10 / 60 / 10	PK25	3334598	11	0893684 1058730 1155813 1157995 3079005 3082314 3087431 3089884 3095599 3190633 
005293	16 / 77 / 16	PK338	1020104	12	0893684 0984608 1011239 1020671 1032101 1048703 1050014 1068696 1071806 1072571 1073316 1133642 1162792 3069040 3084716 3190633 
005310	11 / 60 / 11	PK25	0493855	13	0893684 0984608 0995811 0997834 1003172 1032101 1046598 1050014 1058730 1068696 1069205 
001842	37 / 77 / 37	PK338	0031557	11	0897102 1001981 1012505 1012900 1023115 1027570 1049110 1056570 1057174 1059101 1069835 1070296 1071258 1073214 1079289 1093828 1109276 1109686 1135712 1143387 1150448 1151485 1162493 1163125 3062766 3063070 3064869 3065779 3065929 3080539 3084117 3087144 3091176 3093298 3094738 3095337 3098947 
004297	5 / 60 / 5	PK25	3318666	12	0897102 1048518 1079289 1109686 1109742 
006539	14 / 77 / 14	PK338	0777265	13	0898104 0912822 1017801 1049160 1056692 1071866 1073428 1075221 1095145 1129252 3064819 3079829 3092151 3098490 
003482	22 / 77 / 23	PK338	3320456	14	0898869 0904197 1012792 1030725 1036983 1048742 1050602 1075329 1085466 1098264 1150448 3065806 3065947 3066711 3067585 3069455 3080539 3080843 3082688 3084658 3090375 3099676 
010965	12 / 60 / 16	PK25	0897706	15	0898869 0912194 0940990 0995811 1010605 1012792 1013117 1029963 1049279 1072178 1076785 3081410 
001182	2 / 60 / 3	PK25	0493725	14	3065568 3095867 
011313	24 / 77 / 26	PK338	0672202	15	0899040 0981248 1021988 1048434 1048639 1050480 1050843 1056297 1058367 1080204 1086904 1096573 1115327 1163424 3065947 3067056 3068911 3078934 3088433 3091221 3100388 3170878 3204153 3205491 
001890	8 / 60 / 8	PK25	3312777	17	0899385 0999166 1001981 1033981 1037801 1049110 1058731 1074572 
003017	8 / 60 / 14	PK25	0492580	16	0899385 0999166 1060971 1114293 3065488 3065806 3085394 3204243 
001164	23 / 77 / 30	PK338	0601586	16	0900586 1009914 1033981 1069839 1071343 1092958 1098264 1153036 1156282 1163179 3057362 3061134 3075104 3079915 3082033 3088390 3089115 3089580 3090325 3096911 3097192 3166656 3188879 
007106	12 / 77 / 12	PK338	3337003	17	0904197 1060284 1071070 1073428 1134634 1136139 3065806 3065990 3067387 3071694 3077926 3100385 
008812	8 / 60 / 8	PK25	0576472	18	0908849 1018066 1069276 3061194 3068167 3070830 3077926 3077943 
011317	10 / 77 / 10	PK338	3194197	19	0908849 0997849 1039740 1068696 1070930 1153554 1161763 3068167 3070830 3077943 
004356	10 / 77 / 10	PK338	0847593	18	0909462 1013149 1050201 3080774 3120137 3125322 3126772 3154498 3155695 3193776 
005738	9 / 60 / 9	PK25	0031543	19	0909462 1017991 1088535 1156628 3067387 3078934 3084716 3190134 3217372 
005742	10 / 60 / 10	PK25	0031543	20	0909462 0996066 1048625 1056807 1057027 1057660 1069276 1088535 3070830 3081400 
001839	25 / 77 / 25	PK338	0898918	21	0910971 1003065 1009914 1014289 1017955 1021988 1022159 1030842 1047712 1057174 1057564 1058731 1060971 1076016 1076479 1091481 1143121 1150429 1154430 1155748 1161679 1162725 1163245 3065779 3081400 
001840	39 / 77 / 41	PK338	0168763	22	0910971 0994228 1012942 1013439 1026827 1032467 1056807 1057174 1058429 1059799 1059882 1065966 1068431 1076479 1081207 1085421 1092805 1119061 1129252 1143121 1155748 1162792 1163270 3061460 3073017 3073483 3079887 3082852 3085643 3086240 3087231 3088047 3088969 3096911 3098242 3099191 3099257 3145520 3152571 
006509	10 / 77 / 11	PK338	3194739	20	0910971 1048446 1052099 1080636 1161531 3083207 3083995 3092151 3093319 3103193 
004083	11 / 60 / 11	PK25	0031578	21	0912194 1011428 1016345 1032253 1057605 1057693 1060148 1069345 1074361 1074374 1136061 
004709	11 / 60 / 11	PK25	3310303	22	0912194 0912822 1050032 1056467 1071343 1071866 1080595 1163245 3069486 3084494 3089769 
011321	10 / 60 / 12	PK25	0028980	23	0912822 0994316 1005493 1048625 1049237 1049385 1071241 1097508 3073483 3077931 
006043	24 / 77 / 24	PK338	0554585	23	0940517 0950914 0998866 1018066 1028449 1028647 1047770 1050645 1057605 1058218 1060948 1069904 1073075 1088892 1096638 1135712 1138792 1143387 1151485 3062828 3065016 3066088 3078822 3089763 
006045	3 / 60 / 3	PK25	0031526	24	0940517 1016705 3085596 
006060	13 / 60 / 13	PK25	0031384	25	0940517 0998866 1005619 1012942 1016705 1018066 1042351 1050645 1057202 1057605 1059756 1069411 1069583 
