84.09864
Zero Conflict:37125
Nonzero Conflict:3023
More students interested than room limit: 2
Course	Room	Teacher	Time	Students
007878	5 / 9 / 5	RCSEM	0031386	1	0171491 3421700 3426169 3432782 3458641 
012330	26 / 42 / 27	PK243	3420576	1	0700408 3102995 3158316 3170761 3218454 3273028 3323851 3341634 3347767 3352660 3362442 3378849 3390102 3395937 3405144 3415407 3416750 3419470 3426666 3429733 3431260 3432447 3433929 3435628 3439387 3439475 
008764	47 / 65 / 52	TH110	0899465	2	0750570 3091931 3196460 3217421 3263080 3322886 3330300 3331071 3337463 3339315 3343387 3343615 3351809 3352269 3359026 3374479 3374569 3375544 3396377 3401311 3404976 3415144 3417002 3418145 3424318 3426213 3430401 3430944 3431155 3431445 3431448 3431740 3431750 3432040 3432238 3432344 3433760 3435161 3435771 3437778 3438441 3438472 3438473 3439283 3439820 3440024 3458122 
003270	7 / 40 / 13	TAYG	3453358	3	3094516 3133434 3196457 3250683 3266668 3418907 3437756 
008501	15 / 42 / 15	PK243	0125630	2	0900525 1086489 3075829 3102974 3170761 3180674 3199454 3212408 3216292 3223822 3224484 3225012 3225017 3225612 3323851 
001837	47 / 65 / 63	TH110	3452118	3	0959337 1077482 1165573 3205483 3223467 3224924 3249725 3250131 3324271 3324844 3340292 3364991 3366138 3375389 3379786 3380697 3388921 3389676 3395581 3396312 3396460 3397265 3397709 3404148 3404828 3405153 3411059 3411159 3411258 3411531 3412670 3413014 3414843 3415849 3416203 3420437 3421044 3425219 3425437 3429810 3429834 3432027 3432384 3432595 3435070 3436119 3439558 
002153	64 / 67 / 64	PK338	0168378	4	0959337 3161291 3212266 3224924 3274299 3319602 3322886 3330906 3331180 3340879 3341079 3359596 3360165 3365824 3375120 3397565 3404693 3405145 3405151 3405422 3405744 3411646 3412670 3412825 3413451 3413521 3413728 3415619 3415849 3416232 3416536 3417172 3418120 3420437 3421700 3425578 3429810 3430196 3430383 3430401 3430786 3431294 3431629 3431672 3432238 3432344 3432384 3432595 3433760 3433961 3434130 3435039 3435313 3435384 3435692 3436930 3437365 3437379 3438033 3438374 3438669 3439437 3439670 3440175 
006847	33 / 67 / 33	PK338	3427120	5	0959337 1077482 1165573 3090430 3095526 3103486 3123570 3132705 3185451 3192954 3218584 3240228 3240400 3250227 3253100 3258482 3267842 3289325 3311586 3315095 3316273 3316768 3316863 3318430 3339051 3381050 3382205 3388921 3396292 3411154 3413582 3415852 3438669 
003278	5 / 42 / 5	PK243	0675005	4	1065796 3086698 3089636 3202451 3218971 
003279	5 / 60 / 5	PK229	0675005	5	1065796 3086698 3089636 3202451 3218971 
002161	33 / 67 / 52	PK338	0301910	6	3166052 3212408 3227217 3253100 3254633 3270468 3322523 3323859 3331686 3337246 3337851 3339156 3339567 3359188 3363924 3378849 3381050 3382662 3396292 3411154 3412864 3413582 3414273 3415044 3415615 3415852 3416398 3417370 3431449 3433663 3435248 3439328 3440036 
001842	36 / 65 / 36	TH110	0031557	7	1080789 3099669 3100359 3108046 3128366 3134508 3153098 3160150 3202006 3211857 3212089 3212222 3212902 3217527 3223467 3224187 3227217 3244115 3253100 3258485 3269332 3274299 3278685 3295955 3319023 3322523 3323539 3324844 3330241 3338208 3339156 3339196 3339989 3381480 3415489 3417000 
003019	13 / 65 / 14	TH110	0375562	6	1080789 3105170 3125668 3212089 3217578 3225363 3228721 3342984 3413193 3413923 3415627 3432243 3437295 
004290	1 / 65 / 2	TH110	3447501	8	1080789 
012821	9 / 65 / 9	TH110	3448653	9	1080789 3162076 3198788 3201574 3202006 3217605 3225612 3309945 3323345 
002992	37 / 67 / 37	PK338	1083868	7	1082708 3198788 3213028 3227211 3275705 3319863 3330264 3342762 3350298 3375685 3377851 3381824 3404279 3412520 3413728 3415125 3415801 3418907 3419570 3420434 3421753 3424520 3426020 3426719 3428820 3429894 3431155 3431449 3431672 3432796 3433961 3436311 3437141 3437365 3438442 3438472 3440024 
010845	4 / 67 / 10	PK338	3092941	8	1102723 3108728 3227767 3249725 
001166	19 / 67 / 19	PK338	0135660	9	1131918 3091931 3100359 3123570 3180861 3217410 3217451 3217652 3223347 3311586 3323354 3323535 3330767 3338762 3341874 3358960 3393147 3396422 3415217 
012996	19 / 67 / 19	PK338	0408816	10	1131918 3113981 3132900 3196371 3201250 3216872 3217451 3223179 3323859 3329727 3337414 3351574 3351809 3358339 3393147 3413255 3417002 3430944 3440606 
011818	15 / 65 / 15	TH110	3453004	10	1146215 3105895 3168968 3212266 3212902 3225121 3326954 3337246 3340838 3396313 3412523 3412874 3417073 3417088 3438442 
012304	13 / 65 / 13	TH110	0031572	11	1146215 3198776 3200866 3211826 3212197 3212716 3219871 3224993 3339989 3382410 3416998 3423723 3459730 
001847	14 / 67 / 14	PK338	3422398	11	1163326 3093818 3113981 3224924 3250131 3254633 3289325 3316768 3319023 3330767 3331277 3338208 3340879 3397565 
001893	3 / 65 / 4	TH110	0898918	12	1163326 3097120 3270468 
006509	12 / 65 / 12	TH110	3451414	13	1163326 3099420 3160884 3168511 3234753 3311583 3313406 3331277 3337542 3340533 3340585 3426717 
011075	4 / 65 / 5	TH110	0529283	14	3191520 3218659 3364991 3429532 
012665	4 / 67 / 4	PK338	3332662	12	1163897 3211369 3212471 3221716 
012896	17 / 67 / 17	PK338	3195964	13	1163897 3111488 3170761 3219927 3224492 3283549 3350670 3375685 3395624 3396208 3412866 3413441 3418216 3431133 3434079 3437589 3439480 
005173	36 / 67 / 36	PK338	3451425	14	1170001 3088757 3103190 3112960 3119160 3119618 3119907 3125605 3205483 3227361 3227669 3254734 3269332 3311775 3339814 3339827 3352054 3353145 3355412 3358768 3375410 3397586 3404386 3412100 3412381 3415801 3416640 3417073 3417314 3425356 3426735 3428844 3429706 3431449 3435248 3440036 
005195	34 / 67 / 38	PK338	0493855	17	3076022 3093424 3125756 3134180 3163273 3201574 3217598 3225012 3230579 3236006 3329814 3340672 3340959 3342762 3354500 3354609 3358960 3362442 3395937 3411005 3415870 3416424 3420025 3425219 3429810 3430152 3431828 3432759 3433849 3434210 3435384 3435771 3438471 3440024 
005263	12 / 65 / 12	TH110	0493855	15	1170001 3076022 3116065 3199454 3217598 3224991 3225371 3261773 3323851 3329814 3338504 3340672 
005310	12 / 65 / 16	TH110	0029475	16	3089636 3102969 3134217 3134350 3134622 3161051 3163273 3179084 3218971 3221418 3223591 3230579 
