97.92313
Course	Room	Teacher	Time	Students
011834	TAYF	0470839	1	0033322 3337463 3404196 3414238 3421700 3429832 3431155 3431158 3431449 3437589 3439511 3450490 3453218 3454476 3456016 3459980 3460371 3480401 3482018 3483327 3486617 3486740 3524066 3530220 3551641 3559591 3559963 3560373 3560649 3576463 3576535 3576586 3581081 3668917 3668975 
001249	EHII	0031388	1	0310347 3322886 3331180 3339315 3340287 3340324 3359596 3405619 3413283 3415849 3422289 3424520 3425356 3430944 3431158 3431535 3431740 3434428 3434468 3435161 3438472 3439820 
011208	DAL6	3577231	1	0310347 
002562	TH110	1168490	1	1057610 3431740 3433849 3433961 3439917 3441004 3441838 3443421 3460586 3461962 3462298 3463011 3471190 3471447 3476418 3479838 3479945 3480867 3481391 3482194 3483278 3485028 3485931 3486382 3486501 3486777 3486838 3508682 3518231 3540124 3540190 3540705 3552259 3559815 3560373 3570123 3574967 3575309 3575916 3576231 3576375 3576391 3576530 3576534 3576620 3577795 3578075 3581077 3650277 
003406	PK180	1167851	1	1057610 3441900 3461498 3475933 3475950 3476864 3478356 3479311 3480734 3485548 3503382 3510665 3514095 3516634 3537536 3538202 3558739 3558800 3559534 3559537 3559657 3560487 3560770 3574543 3575916 3575969 3576126 3576763 3577109 3577187 3577590 3577806 3578707 3578804 3579414 3580217 
006024	DAL300	3470402	1	1057610 3375323 3439475 3443421 3451557 3459032 3459613 3460235 3462565 3466014 3468070 3469520 3471450 3474620 3475573 3475950 3477425 3478356 3480217 3480714 3480732 3480999 3481532 3481894 3482264 3482288 3483511 3483560 3485290 3486569 3486852 3503382 3503587 3505157 3514095 3514964 3516634 3521265 3538400 3538688 3555932 3556970 3557478 3558739 3559534 3560199 3561074 3574639 3575898 3575916 3575928 3576555 3578804 3578910 3579181 3579723 3579949 3580251 3581038 3581081 3581135 3581192 3581232 3581455 3581605 3581996 3650578 3650596 
008770	PK338	0428728	1	1086489 3196460 3337463 3438471 3439387 3441004 3448314 3455625 3458136 3458957 3460338 3460737 3462416 3464638 3465036 3465050 3466014 3466962 3469615 3471450 3476899 3478964 3479054 3479085 3479350 3479718 3479885 3480069 3480810 3481557 3481943 3481967 3482101 3483546 3484243 3485228 3485537 3486311 3486389 3486777 3487640 3505157 3514964 3524963 3537536 3538688 3558739 3558838 3559645 3559804 3560199 3560308 3574866 3575971 3578910 3579414 3580248 3581149 3581171 3581952 3581962 3650578 3668835 3668874 
014124	ROSTUD	3555100	1	1086489 3461197 3482739 3576357 
002368	PK25	0697660	1	1088365 3416286 3433962 3460359 3463524 3468281 3468749 3476908 3477580 3479534 3480166 3483925 3484750 3484763 3485170 3486141 3486182 3486844 3487087 3487093 3487623 3505185 3510971 3512896 3540190 3546417 3555932 3560193 3568636 3576352 3576429 3576494 3576528 3576558 3576763 3576792 3577741 3579949 3580584 3580796 
002470	DAL315	0697660	1	1088365 3420940 3424594 3433539 3438084 3454497 3462882 3463729 3475298 3479085 3482445 3576325 3576429 
011313	CARP21	3647219	1	1088365 3415870 3418441 3420037 3421753 3425401 3429566 3429834 3436227 3437589 3438232 3440687 3444811 3454497 3459584 3461556 3462298 3463851 3464848 3465036 3467040 3479945 3481221 3486623 3487040 3510971 3513947 3540662 3561704 3576011 3578036 3580139 3581469 
014228	EHIII	3648007	1	1088365 3470393 3540428 3558543 3564528 3574563 3577806 3580139 3581247 3669016 
001165	PEMSTD	3646621	1	1160238 3359596 3405451 3411059 3416232 3431448 3431672 3451331 3454182 3455058 3463071 3483557 3557478 3561098 3574563 
001176	PK227	0031388	1	1160238 3374194 3455419 3462417 3463560 3466011 3468504 3484898 3485028 3485361 3486632 3557478 
012293	TH251	3098022	1	1160238 3466014 3485028 3487090 3581981 
006026	BYC127	3470402	1	3196460 3217247 3432357 3435070 3435384 3436227 3437365 3454476 3475941 3479350 3480868 3481532 3483306 3483996 3485774 3520100 3525604 3530220 3538928 3560858 3560860 3561772 3574137 3574873 3575908 3576334 3576358 3576368 3576435 3668854 3668870 3668874 3668938 3668941 
014206	EHI	1079401	1	3196460 3420884 3430131 3432238 3441894 3442335 3443731 3446645 3452874 3453467 3454210 3454476 3454494 3460569 3463879 
003278	DAL212E	1061861	1	3198263 3437252 
011844	TAYC	0031471	1	3213028 3359596 3418907 3426213 3432223 3457917 3484763 3487310 3576306 3576387 
007888	PK328	0470839	1	3217247 3452445 3480401 3576463 3576471 
007040	TAYB	0162976	1	3219927 3432243 3433945 3439917 3440024 3463708 3464638 3471745 3478691 3481607 3482194 3482263 3482264 3483085 3487261 3576335 3576515 3581995 
013146	PK10	3332662	1	3219927 3430706 3432796 3432798 3433961 3435722 3437089 3460134 
001157	PK337	0697660	1	3226303 3439437 3486838 3578963 3692917 
002397	GOB	0493725	1	3226303 3433829 3452529 3464398 3465588 3469119 3475298 3476908 3477580 3478050 3479355 3480166 3482445 3483925 3484750 3485054 3485816 3486182 3487093 3487276 3487640 3559804 3576336 3576494 3650956 
004010	PK100	3442425	1	3226303 3374194 3412549 3426858 3432357 3440687 3456660 3457777 3460718 3465591 3473086 3479534 3480217 3480728 3480868 3481102 3482194 3485812 3503865 3506324 3508682 3521265 3529298 3531305 3549272 3559857 3559872 3561402 3575769 3575898 3575908 3576126 3576763 3577167 3577590 3578963 3579028 3579592 3579687 3579723 
014384	TH121	0492451	1	3226303 3416424 3431260 3576631 
004888	PK259	0031473	1	3227297 3417166 3425219 3426666 3426735 3429566 3433251 3436227 3436514 3437589 3439701 3440508 
011187	RCCON	3194193	1	3227297 3431750 3435397 3436514 3437589 3437591 3438119 3456016 3457393 3457777 3459508 3464263 3475445 
014207	PK127	3554810	1	3227297 3426666 3429706 3458441 
013193	CARP25	0898918	1	3250131 3375120 3375544 3414273 3417108 3419470 3431294 3433760 3434130 3435384 3436119 3438374 3445081 3448679 3455631 3456228 3456677 3458295 3458451 3460867 3463526 3463675 
