86.93364
Zero Conflict:50977
Nonzero Conflict:3914
Course	Room	Teacher	Time	Students
013176	14 / 29 / 15	PK336	0995587	1	3425114 3788919 3813457 3634695 3823438 3844962 3612203 3768458 3521265 3559900 3818675 3829442 3668817 3797643 
006026	41 / 73 / 42	PK180	0213446	1	3544262 3551641 3580389 3591211 3651365 3652276 3692761 3693185 3675467 3561229 3768034 3796974 3819309 3668420 3764422 3699593 3789529 3861195 3581605 3513947 3521461 3540124 3579723 3611048 3651486 3655428 3676165 3716057 3790792 3790825 3816970 3820395 3858715 3668916 3668978 3797594 3797623 3797660 3797748 3797750 3910744 
005723	27 / 174 / 27	PK20	3648007	2	3788919 3915044 3839910 3930614 3711406 3819380 3911124 3668378 3914166 3820745 3929864 3931889 3693921 3915332 3869959 3901484 3902440 3597302 3717144 3827187 3829442 3834370 3901669 3903909 3914676 3903986 3576002 
001213	19 / 73 / 20	PK180	3577228	2	3820397 3574483 3574563 3580586 3518231 3797164 3695539 3581830 3651293 3580714 3483511 3574866 3516442 3558796 3559843 3560256 3580991 3692756 3561772 
015513	20 / 73 / 22	PK349	3996563	3	3820397 3580259 3560487 3576231 3797576 3929165 3788983 3498772 3695539 3540190 3764422 3558796 3559537 3611048 3668365 3537536 3579181 3910480 3910496 3910729 
002929	13 / 72 / 13	PK278	3995790	3	3914820 3818782 3929815 3821116 3903833 3901004 3820774 3820587 3716357 3820491 3820971 3576361 3910586 
004807	20 / 78 / 20	TH110	3326005	4	3699561 3797576 3901722 3913159 3929810 3789283 3913786 3692862 3824908 3861195 3848415 3432357 3816180 3816860 3823092 3823192 3579645 3674492 3995730 3914822 
004276	27 / 174 / 27	PK20	1165566	5	3821162 3580259 3903861 3914754 3488858 3668378 3823271 3902667 3910870 3653119 3930683 3579645 3823391 3694828 3716057 3768197 3914676 3668831 3684090 3695271 3910497 3910595 3929572 4086249 4086301 4086311 4086333 
006045	55 / 174 / 55	PK20	0207327	4	3492423 3503382 3559534 3575916 3577485 3578252 3578804 3581135 3631215 3651243 3667273 3691416 3692098 3692771 3820030 3821393 3477425 3478356 3651499 3651605 3690361 3789055 3475959 3580584 3492361 3691981 3820032 3650596 3694417 3821439 3789493 3581077 3715155 3691575 3695554 3462565 3574519 3693789 3629518 3581282 3695543 3487429 3555932 3574873 3576879 3581375 3694236 3695368 3797331 3578842 3581952 3576002 3820257 3580114 3669022 
005846	19 / 78 / 19	TH110	3176705	5	3930841 3581315 3692164 3759092 3929954 3758075 3844962 3905871 3913807 3464954 3690445 3824908 3798513 3768458 3818746 3905460 3650225 3816992 3790306 
