Course	Room	Teacher	Time	Students
001838	10 / 39 / 10	PK10	0168763	1	0032177 0847304 0861504 0871255 0906618 0912695 0916595 0918775 0920237 0963528 
006023	8 / 123 / 8	PK328	0213446	2	0032765 0827772 0850690 0851545 0859231 0861504 0869670 0917040 
008479	10 / 11 / 37	TAYF	0031619	1	0534728 0746213 0751788 0896487 0906085 0907596 0913989 0945635 0972633 1077003 
008500	10 / 10 / 37	TAYF	0031619	2	0534728 0803579 0858864 0859719 0860532 0861648 0862152 0871788 0903222 1003539 
003464	18 / 18 / 18	EHI	0599596	3	0603589 0848355 0853988 0879882 0882728 0889384 0897911 0901539 0903064 0912333 0914509 0967042 0988100 1004997 1006899 1010175 1066778 1170470 
004833	16 / 17 / 21	CARP25	0348369	3	0672478 0755872 0897091 0899292 0901481 0913946 0914599 0966125 0967532 0989401 1003476 1018271 1020727 1041981 1077257 3078465 
009304	11 / 11 / 37	TAYF	0056990	4	0672478 0819263 0823997 0827772 0861504 0865618 0869670 0883015 0890945 0896487 0918277 
007007	31 / 34 / 31	GIL210	0028980	4	0710449 0883488 0902118 0919283 0960068 0988245 0992186 1001394 1013071 1017339 1018301 1020695 1021751 1024315 1025623 1027597 1030693 1044561 1057520 1057610 1058242 1066431 1081006 1081250 1082799 1084185 1105086 1145146 1146370 1171461 3070440 
006518	10 / 10 / 31	GIL210	0777265	5	0731629 0858181 0904719 0920261 0998799 1004968 1064270 1066335 1076299 3080937 
007372	14 / 21 / 14	DAL318	0162977	6	0731629 0807767 0849245 0859564 0900541 0901946 0908375 0914076 0952594 0958897 0988245 0989395 1001039 1015275 
007375	14 / 22 / 14	DAL318	0031631	7	0731629 0780450 0822518 0828394 0861180 0861730 0887586 0896036 0901946 0902217 0914076 0952594 0960497 0986367 
004014	20 / 20 / 29	TAYC	1167978	5	0746210 0773014 0952783 1005412 1017492 1023923 1041981 1056963 1058421 1059677 1066924 1077417 1078896 1079564 1088972 1095717 1143639 1169109 1169402 3078408 
004274	31 / 31 / 31	PK243	3092832	6	0747519 0858527 0859719 0871681 0894845 0995269 1007952 1017412 1030683 1039943 1044561 1044791 1047339 1056012 1064790 1065196 1067241 1067748 1076299 1078413 1078508 1079384 1081006 1083812 1086329 1086867 1087782 1105086 1141220 1157506 3073138 
005869	3 / 3 / 15	CARP13	0031416	7	0747519 0861648 0888222 
001213	25 / 25 / 39	PK229	0031471	8	0748765 0789284 0819118 0848492 0858752 0871255 0881793 0900409 0903917 0904540 0909675 0911706 0914260 0915652 0917702 0966077 0966299 0986807 0991763 0992189 0992616 0993551 1007554 1007842 1016462 
001248	17 / 17 / 39	PK229	0031471	11	0748765 0773014 0789284 0819118 0828596 0830197 0858752 0871255 0881793 0900409 0904540 0909675 0911706 0914260 0915652 0917702 1016462 
001897	6 / 6 / 10	PK10	0826942	9	0748765 0819816 0848150 0901539 0909837 1016462 
009232	7 / 7 / 29	TAYC	1168236	10	0748765 0848150 0852945 0858034 0906206 0945584 0950942 
005724	21 / 21 / 21	CARP25	0031392	8	0751788 0917040 0988657 1001394 1003644 1028249 1029737 1034578 1044791 1049050 1053370 1056203 1058242 1064148 1064385 1064605 1065945 1076854 1078680 1088192 1096113 
008485	7 / 7 / 37	TAYF	0031553	9	0751788 0860532 0862152 0900409 0902226 0913989 0972633 
008488	7 / 7 / 37	TAYF	0031553	10	0751788 0860532 0862152 0900409 0902226 0913989 0972633 
006865	11 / 11 / 12	PK337	3092559	11	0754161 0897310 0899316 0911598 0957333 0958186 0989432 0991769 1005059 1008387 1055590 
006867	12 / 12 / 12	PK337	0824244	12	0754161 0822717 0830862 0860659 0886011 0889210 0909585 0957333 0958186 0989432 0991769 1005059 
004888	10 / 10 / 21	CARP25	0032827	12	0755872 0856959 0859310 0871309 0899135 0899292 0901481 0911347 0914599 1003476 
005154	10 / 10 / 37	TAYF	1020104	13	0757188 0779081 0830862 0887308 0901262 0915648 0999833 1056722 1066308 1143228 
006026	8 / 39 / 8	PK328	0213446	14	0757188 0865276 0865894 0875055 0897911 0899135 0904680 0908002 
001841	10 / 16 / 10	PK10	0814748	13	0757321 0830280 0849809 0862176 0865894 0868541 0892458 0901688 0904516 0905540 
001843	10 / 24 / 10	PK10	0056992	15	0757321 0820055 0830197 0845664 0861391 0865894 0881793 0903633 0904516 0908164 
002160	31 / 41 / 31	PK243	0004950	16	0757321 0828017 0904516 0904680 0906963 0911936 0915885 0988263 0989590 0992796 1003644 1004225 1006444 1006744 1009559 1009729 1017444 1020150 1025460 1025533 1025629 1029566 1029787 1032929 1035148 1036442 1038420 1038671 1040874 1049299 1055441 
002992	31 / 72 / 31	GIL210	0375562	14	0757321 0903222 0913946 0948095 0984724 0987243 1002248 1002606 1005102 1005112 1008967 1013071 1017444 1018271 1019025 1019940 1020727 1021017 1026650 1029787 1038303 1056963 1057610 1058223 1059677 1065142 1065781 1067862 1068383 1076923 1076989 
001766	10 / 11 / 18	EHI	1165592	15	0769851 0855859 0873190 0953178 0967411 0980544 0988355 1007348 1037541 1077380 
009295	3 / 3 / 20	TAYE	0057974	16	0769851 0832608 1056012 
010728	17 / 17 / 26	TAYSEM	0320266	17	0769851 0832608 0833188 0847304 0867494 0871309 0897911 0903229 0903436 0903633 0905351 0907665 0908002 0913115 0914509 1005068 1056203 
003026	16 / 16 / 31	GIL210	3093799	17	0770854 0818674 0848719 0853970 0868309 0870907 0872721 0890945 0896929 0907155 0910436 0913466 0967988 0986262 1000895 1002729 
004072	10 / 10 / 29	TAYC	0031578	18	0770854 0833188 0864043 0865645 0867494 0874063 0899440 0899481 0965927 1065183 
006042	8 / 30 / 8	PK328	0554585	19	0770854 0812824 0823997 0828036 0850327 0851310 0853970 0861690 
001183	12 / 12 / 39	PK229	0406445	18	0773014 0819118 0858034 0904540 0907462 0911856 0917702 0918064 0985440 0988620 1019006 1025569 
005847	5 / 9 / 15	CARP13	0467475	19	0773276 1057779 1078646 1100129 3080937 
007034	12 / 12 / 31	GIL210	0031573	20	0773276 0913946 0960068 0980544 0993790 1008282 1021751 1056203 1076299 1077257 1077294 1077416 
001164	38 / 38 / 39	PK229	0309967	20	0773385 0807767 0848680 0858114 0858527 0861815 0871681 0885444 0885910 0890199 0902371 0915652 0915885 0918064 0951991 0952211 0954830 0958897 0958984 0966299 0986807 0987937 0988271 0989520 0991763 0999733 1007554 1010643 1020083 1025569 1036225 1037745 1056096 1056600 1057520 1064045 1078680 1088180 
001839	10 / 26 / 10	PK10	0898918	21	0773385 0828017 0892236 0902371 0907897 0911936 0912781 0915885 0920095 0946010 
001862	10 / 13 / 10	PK10	0031557	22	0773385 0858872 0899636 0902371 0903278 0908998 0954240 0958984 0960068 0993506 
003277	4 / 4 / 26	TAYSEM	3094764	21	0774062 0908375 0912333 0915226 
003514	14 / 15 / 18	EHI	0031477	22	0774062 0786916 0859564 0867801 0869575 0889839 0896979 0906035 0910725 0912699 0915006 0990668 1017760 1085631 
002866	17 / 17 / 37	CARP21	0467475	23	0774831 0780450 0879882 0896929 0918153 0985440 0988544 0998799 1002241 1007196 1017412 1044157 1078646 1088180 1111901 1169341 3070406 
007070	14 / 14 / 31	GIL210	1168163	24	0774831 0779276 0868309 0870907 0887130 0896287 0898741 0918519 0967793 1005068 1007134 1056203 1068052 1079614 
007127	22 / 22 / 31	GIL210	0028980	25	0774831 0779276 0808392 0824978 0833188 0850607 0850690 0859231 0860204 0867165 0867494 0887130 0887647 0898741 0903229 0905351 0905954 0906738 0907493 0907665 0914509 0914916 
001180	10 / 10 / 39	PK229	0031388	23	0779081 0871681 0887467 0904540 0950504 0954830 0993551 1007842 1011104 1079993 
001433	7 / 7 / 21	CARP25	0031632	24	0779081 0869484 0901732 1077815 1082919 1083627 1172355 
001455	6 / 6 / 21	CARP25	0020093	25	0779081 0851684 0858527 1007196 1017840 1082919 
001576	8 / 8 / 11	ARNST	3093377	26	0781472 0849809 0850607 0860265 0888735 0906738 0907172 0988631 
002394	6 / 7 / 37	TAYF	0020988	27	0781472 0851310 0899767 0909560 0993169 1023494 
001864	10 / 12 / 10	PK10	0031557	26	0786916 0830280 0848492 0862049 0862152 0892206 0900429 0901688 0905540 0909692 
006846	12 / 26 / 12	PK337	1167884	27	0786916 0899481 0901688 0903917 0917334 0959200 0966077 0966094 0966299 0972660 0972861 0988271 
001566	9 / 9 / 11	ARNST	3093377	28	0789284 0851403 0873557 0899767 0903449 0909662 0966125 3071151 3082398 
001568	8 / 8 / 11	ARNST	3093377	29	0789284 0851403 0873557 0899767 0903449 0909662 0966125 3071151 
004301	3 / 3 / 31	PK243	1165566	30	0789284 0819816 0909837 
001892	8 / 8 / 10	PK10	0409956	28	0799016 0848492 0858872 0861391 0887308 0903278 0908164 0918118 
005157	13 / 16 / 37	TAYF	1062910	29	0807750 0871309 0915648 0988990 0993532 1010741 1017832 1032432 1057592 1067460 1084017 1096822 1128560 
009299	7 / 11 / 21	CARP25	3092667	30	0807750 0850327 0856959 0859310 0911347 0950811 1085324 
007377	12 / 14 / 14	DAL318	0031522	31	0807767 0848719 0958897 0967793 0992577 0993517 1003100 1007779 1025533 1067377 1079268 3072910 
007087	2 / 3 / 31	GIL210	0031573	31	0808392 0913115 
008765	37 / 64 / 37	TAYF	0431786	32	0906085 0918549 0987347 0987861 1001613 1001894 1002047 1003128 1011104 1018271 1020478 1020695 1020727 1027597 1030369 1032769 1037541 1053105 1055590 1056217 1056970 1057610 1058058 1067377 1067483 1068371 1077161 1079085 1079384 1082150 1082907 1084363 1085631 1087960 1088636 1088882 1090933 
002175	13 / 13 / 31	PK243	0168378	32	0812300 0847932 0851403 0861690 0865276 0868382 0884876 0886763 0890199 0897310 0901946 0911941 1015706 
006044	8 / 31 / 8	PK328	0031526	33	0812300 0812824 0822717 0822753 0851310 0862049 0865750 0868382 
004021	5 / 8 / 29	TAYC	0031486	33	0818674 0899440 0945809 1019006 1081939 
005730	3 / 4 / 21	CARP25	0031392	34	0903064 1169968 3068353 
001763	10 / 10 / 18	EHI	0027799	34	0818892 0851545 0896979 0903035 0952008 0954240 0987613 1003100 1039943 1102723 
005210	13 / 13 / 20	TAYE	0493856	35	0819263 0859186 0892333 0909216 0918277 0957333 1003389 1005412 1010750 1019212 1055640 1149565 3073004 
002413	21 / 23 / 37	TAYF	0169579	35	0819450 0825616 0897931 0904719 0958897 0993169 0998351 0998885 1001351 1001806 1005102 1005315 1019025 1019827 1023494 1038420 1056270 1058058 1076234 1083430 1088384 
002472	17 / 17 / 37	TAYF	0493725	36	0819450 0825616 0845664 0852945 0855859 0858034 0859066 0859186 0882728 0887467 0894845 0897091 0903191 0906206 0908002 0918153 0919825 
003006	9 / 12 / 31	GIL210	0492580	37	0819450 0847790 0903229 0904506 0905453 0910421 1002241 1058242 1067724 
001856	3 / 3 / 10	PK10	0826942	36	0819816 0887308 0989520 
001845	10 / 15 / 10	PK10	0123161	37	0820055 0908998 0958984 0988263 0989520 1010643 1013071 1016793 1056281 1056980 
007364	14 / 89 / 14	DAL318	0031611	38	0820055 0829808 0856128 0860257 0860663 0866299 0867153 0868541 0907155 0909216 0909942 0915622 0917040 0920400 
003463	12 / 12 / 18	EHI	0599596	38	0822518 0859719 0887308 0888735 0906035 0993506 1000939 1001039 1015275 1056012 1170860 3068369 
007395	12 / 12 / 14	DAL318	1167859	39	0822518 0848680 0849245 0865750 0896476 0900371 0900541 0901409 0903338 0906362 0906635 1086329 
005248	11 / 12 / 37	TAYF	3090017	39	0822753 0827772 0861504 0865618 0883015 0887398 0899636 0953178 0963528 0971073 1172030 
