Course	Room	Teacher	Time	Students
010957	TAYE	1167978	1	0145661 0982172 1170479 
006023	PK338	0213446	1	0254082 0480377 0787159 0945809 0954240 0971073 0988826 1005548 1006105 1008967 1017492 1029210 1044791 1056815 1063875 1065646 1065732 1067251 1067297 1067382 1077413 1080272 1081250 1086867 1088636 1088785 1090564 1092187 1094929 1100383 1100625 1102030 1104151 1122905 1139478 1146782 1149344 1150758 1169331 
006848	PK336	0031347	1	1025460 1084909 3072594 
008763	GIL101	0899465	1	0917334 0988625 0999689 1083594 1086710 3068353 3070374 3074167 3080198 3106074 3112067 3195980 
003007	CARP17	0222805	1	0856128 0948568 1001894 1021751 1078819 1081249 1081917 1131602 1139392 3072477 3073066 3076896 3077064 3085513 3089651 
003009	TAYC	0375562	2	0480377 0906447 0945264 0966414 0998972 1026650 1056963 1078836 1131602 1160658 3073004 3073169 3077472 3085403 
008782	GOB	0576472	2	1088690 1161132 3073702 3074891 3078408 
006500	PK229	3198623	1	0672478 0821922 0918549 0992186 1008925 1025623 1028249 1029787 1055078 1055590 1059677 1088690 1093044 1096113 1096152 1136830 1170860 3064977 
009263	CARP25	3196642	1	0773276 0909942 0917165 0992189 1058893 3099957 
002568	PK232	1168490	1	0700408 1017339 1171297 
007397	DAL204	0603646	1	0731629 0852608 0914076 0986367 0989395 1003100 1055441 
009322	GIL210	0127086	2	0731629 0757321 0896929 0915648 0915885 0919283 0945959 0958879 0959200 0960037 0960497 0964596 0971315 0972660 0988990 1002248 1005068 1007348 1007554 1013197 1016434 1025460 1036225 1049299 1055078 1055590 1067933 1068371 1150699 3073666 
010961	TAYD	0492451	2	0852608 0914076 0999733 1015275 
008500	TH251	0031619	1	0746213 0751788 0827963 0906085 0907596 0913989 0945635 0967042 0972633 0976318 0988544 1009104 
006525	PK229	1075274	2	0751788 1067251 1076238 1096152 1169360 
001845	PK128	0123161	1	0756739 0849713 0907217 0920095 0991672 0993268 1067933 1079993 1083626 1128560 1158026 3071015 3076930 
001862	PK128	0031557	2	0945969 0966299 0989590 0992744 1003020 1006744 1021867 1029566 1029787 1036442 1055290 1078921 1083594 1084909 1172397 
