Course	Room	Teacher	Time	Students
003442	17 / 23 / 17	CARP15	3818982	1	3375410 3462293 3466014 3559476 3651033 3465181 3483036 3485774 3691983 3692761 3576230 3667385 3559612 3486050 3690346 3560487 3650228 
002367	30 / 35 / 30	CARP21	0493725	2	3397840 3575259 3639772 3693280 3694481 3574519 3575071 3595071 3498974 3606293 3598090 3533093 3692380 3589576 3674492 3768025 3793612 3818675 3819628 3821006 3821048 3816203 3821116 3483977 3821180 3666161 3668849 3668895 3797692 3797744 
002394	13 / 13 / 30	CARP21	0020988	1	3397840 3577741 3512896 3668623 3533093 3576792 3560193 3691514 3458087 3581913 3576566 3668827 3668895 
002412	16 / 16 / 30	CARP21	0031373	3	3397840 3484887 3540190 3639772 3693280 3576753 3476908 3595071 3464327 3505185 3476864 3486838 3631042 3691514 3483003 3668911 
001767	12 / 12 / 15	EHIII	3474008	2	3414205 3478964 3568950 3483036 3576230 3689402 3474789 3486571 3560199 3576550 3576565 3797696 
003572	17 / 34 / 17	CARP15	0897399	3	3414205 3443522 3443731 3446645 3447306 3464666 3465591 3467427 3476860 3478964 3481102 3481354 3481520 3483278 3484619 3484845 3487040 
001839	36 / 36 / 37	PK25	0898918	4	3426943 3462817 3463768 3470393 3474620 3481813 3487266 3505157 3521461 3561074 3576260 3580261 3581605 3650578 3480999 3481203 3485550 3486782 3581920 3516634 3470846 3482739 3543742 3581232 3581081 3650277 3457988 3480732 3483467 3457873 3477425 3485169 3557244 3472549 3576475 3576522 
001845	20 / 22 / 37	PK25	0123161	5	3426943 3496673 3501476 3560256 3577167 3580261 3638301 3487090 3559963 3477014 3466364 3478419 3689375 3768458 3823130 3591211 3472549 3481862 3576510 3668782 
002153	8 / 16 / 54	PK243	3897776	6	3426943 3638301 3694428 3574519 3666801 3690204 3712888 3820774 
008769	24 / 46 / 24	TAYSEM	3554385	7	3426943 3516442 3540714 3602816 3689893 3631215 3690800 3691983 3575071 3692514 3620017 3690020 3692915 3694813 3651816 3666207 3693276 3695542 3559464 3663306 3692756 3694289 3581851 3689919 
006587	9 / 9 / 17	CARP15	0031399	4	3430697 3476899 3482198 3650636 3461517 3486844 3480810 3483996 3485053 
008774	16 / 17 / 24	TAYSEM	0576472	5	3430697 3575259 3559319 3581962 3618222 3537536 3665300 3674492 3709927 3715174 3768972 3790244 3820397 3820961 3797745 3797862 
002472	29 / 29 / 30	CARP21	1051497	6	3433962 3469119 3475298 3479355 3481875 3485054 3483925 3476908 3479085 3486141 3464398 3484750 3486844 3559804 3650956 3478050 3477580 3487093 3465588 3480166 3486838 3487276 3485816 3576325 3576364 3576370 3576390 3576429 3576558 
005310	13 / 13 / 17	CARP15	1020104	7	3437011 3447322 3465050 3482989 3486782 3478309 3465244 3486623 3457873 3486609 3576303 3576324 3576357 
004036	7 / 7 / 24	TAYSEM	3646540	8	3438294 3692440 3485290 3485549 3651750 3669030 3797880 
004065	6 / 6 / 24	TAYSEM	3646540	9	3438294 3485290 3476908 3474598 3561098 3576503 
003520	17 / 18 / 17	CARP15	3393009	8	3443731 3447306 3480382 3481354 3551641 3561001 3440687 3544254 3477014 3484324 3576230 3578488 3581846 3480150 3486050 3485028 3580341 
005847	13 / 13 / 13	TH121	0031582	9	3446645 3606418 3557742 3656490 3693092 3667385 3694039 3692294 3667311 3612427 3694712 3775417 3797532 
012729	6 / 6 / 30	CARP21	3194193	10	3446645 3484816 3533264 3465181 3477580 3576569 
014119	17 / 24 / 17	CARP15	3555100	10	3447306 3557478 3561001 3608602 3667608 3486632 3486623 3655393 3467781 3693789 3560511 3581389 3692536 3601391 3578191 3667311 3692519 
004355	9 / 16 / 24	TAYSEM	0847593	11	3479382 3580261 3608602 3691748 3615055 3816860 3821006 3781152 3816203 
005263	16 / 17 / 17	CARP15	0493855	12	3447322 3482989 3544254 3581870 3485537 3433686 3457873 3464306 3484361 3462019 3576417 3576423 3576529 3668825 3668912 3668971 
004304	10 / 14 / 17	CARP15	0316015	11	3451168 3469119 3481798 3485054 3461937 3486141 3487093 3576485 3576494 3576558 
