Course	Room	Teacher	Time	Students
005728	5 / 5 / 14	CARP15	0031543	1	0145661 0917040 1028249 1065238 1096152 
009283	6 / 7 / 21	TAYG	1084297	2	0145661 0849713 0951991 1037745 1039831 1079564 
008501	8 / 10 / 26	TAYE	0031553	1	0534728 0746213 0858864 0859719 0861648 0871788 0903222 1003539 
004804	12 / 15 / 14	CARP17	0348369	2	0672478 0850327 0904719 0906963 0910421 0947693 1018271 1085324 1088558 3072063 3080198 3080592 
005310	8 / 11 / 21	TAYG	1020104	3	0672478 0819263 0823997 0827772 0865618 0890945 0896487 0918277 
002569	5 / 5 / 5	PK232	0564741	3	0700408 0781976 0830862 0958879 0987613 
001837	16 / 60 / 16	PK227	0409956	6	0710449 0860257 0884876 0918549 0992796 1004225 1006744 1008967 1009559 1017444 1020150 1021867 1025533 1029566 1034405 1035148 
002992	21 / 38 / 21	TAYG	3093799	5	0710449 0819816 0849245 0849379 0852945 0860532 0899316 0902217 0909240 0918549 0989590 0991672 0999195 1034578 1065271 1065732 1066431 1067502 1094134 1096152 1101031 
007405	5 / 5 / 29	TH224	0031611	4	0710449 0892206 0900371 1002047 1067377 
004016	15 / 16 / 21	TAYG	0215359	4	0746210 0852148 0889210 0989432 0992796 1007952 1059677 1081952 1085106 1141220 1143639 1169402 3067556 3072208 3076896 
002402	9 / 13 / 9	ROSTUD	3090482	5	0746213 0807750 0859186 0869484 0882728 0887467 0906085 0915622 0918064 
004275	3 / 34 / 3	PK259	0031577	6	0747519 0904680 0909216 
005161	11 / 11 / 21	TAYG	0031582	7	0747519 0901262 0909693 0950504 1017492 1018183 1029787 1046086 1049050 1056857 1122784 
001249	16 / 16 / 16	DAL112	0031471	7	0748765 0773014 0789284 0819118 0830197 0858752 0871255 0881793 0900409 0904540 0909675 0911706 0914260 0915652 0917702 1016462 
001887	11 / 11 / 16	PK227	0898918	8	0751788 0820055 0862176 0873557 0885444 0899636 0907897 0954240 0960068 0993506 1172397 
008434	16 / 16 / 26	TAYE	0031553	9	0751788 0785336 0858034 0886011 0903222 0906085 0906618 0967042 0991672 1002706 1050781 1073544 1077003 1086489 1145578 3076576 
008496	7 / 9 / 26	TAYE	0031619	10	0860298 0867153 0957333 0963413 0988544 1053105 1073544 
