Course	Room	Teacher	Time	Students
013176	9 / 15 / 30	TAYF	0995587	1	3425114 3634695 3823438 3612203 3521265 3559900 3818675 3668817 3797643 
006026	33 / 42 / 73	PK349	0213446	1	3544262 3551641 3580389 3591211 3651365 3692761 3693185 3768034 3796974 3816181 3819309 3764422 3699593 3789529 3861195 3581605 3540124 3579723 3651486 3655428 3676165 3716057 3790792 3790825 3820395 3668916 3668978 3797594 3797623 3797660 3797748 3797750 3910744 
005723	22 / 27 / 38	TH116	3648007	1	3788919 3915044 3930614 3711406 3819380 3911124 3914166 3929864 3931889 3693921 3869959 3901484 3597302 3717144 3827187 3829442 3834370 3901669 3903909 3914676 3903986 3576002 
001213	10 / 20 / 20	DAL10	3577228	1	3574483 3574563 3581830 3651293 3580714 3483511 3574866 3516442 3580991 3561772 
015513	16 / 22 / 78	TH110	3996563	1	3820397 3576231 3797576 3788983 3498772 3695539 3540190 3558796 3559537 3668365 3692756 3537536 3579181 3910480 3910496 3910729 
002929	10 / 13 / 28	BYC127	3995790	1	3818782 3821116 3903833 3901004 3820774 3820587 3716357 3820491 3576361 3910586 
004807	12 / 20 / 12	CARP13	3326005	1	3699561 3901722 3929810 3913786 3848415 3432357 3816180 3816860 3823092 3823192 3674492 3995730 
004276	19 / 27 / 27	PK25	1165566	1	3821162 3580259 3488858 3823271 3902667 3653119 3930683 3579645 3694828 3768197 3668831 3695271 3910497 3910595 3929572 4086249 4086301 4086311 4086333 
006045	29 / 55 / 29	PK336	0207327	1	3492423 3503382 3559534 3575916 3577485 3578252 3578804 3581135 3651243 3667273 3691416 3692098 3692771 3820030 3821393 3478356 3651499 3690361 3789055 3475959 3580584 3492361 3691981 3820032 3650596 3694417 3821439 3789493 3581077 
005846	10 / 19 / 19	TH102	3176705	1	3692164 3929954 3844962 3913807 3464954 3798513 3768458 3818746 3650225 3790306 
014570	73 / 174 / 73	PK180	0409956	1	3631215 3930841 3789175 3907037 3929704 3839910 3930674 3910185 3795919 3813457 3851345 3699567 3816108 3820858 3821440 3823307 3846717 3901790 3903861 3914344 3915040 3915043 3929235 3930042 3930544 3930831 3693084 3790857 3799474 3801768 3818064 3833378 3845742 3902905 3910848 3913671 3914502 3929586 3773692 3834985 3902439 3858042 3931962 3722764 3799593 3913164 3915088 3652353 3816483 3930025 3648550 3695145 3863747 3930070 3930608 3823094 3911054 3915054 3771823 3819393 3823391 3902404 3721962 3788616 3854723 3513947 3561660 3606418 3715444 3768515 3820588 3821097 3843290 
015666	4 / 11 / 5	TH251	3900232	1	3430527 3901254 3910343 3792443 
