Course	Room	Teacher	Time	Students
001837	2 / 4 / 24	PK126	3452118	1	3539996 3576379 
002161	44 / 89 / 44	PK179	3926209	2	3539996 3576379 3799593 3822778 3823307 3854723 3858042 3869959 3890005 3902911 3906818 3929235 3964186 3989696 4093315 4095083 4170299 3789493 3845742 3911054 3913863 4000366 4041708 3931666 4015108 4278502 3902905 3928589 4002094 4280706 3915040 4086277 4174206 3816108 3823391 3899772 3902196 3930817 3907037 3913671 4003188 4014851 4095071 3910848 
006847	44 / 44 / 59	PK243	0031347	3	3539996 3576379 3560236 3695145 3712888 3817487 3852791 3854723 3861195 3883991 3914344 3921208 3929222 3929812 3930302 3964186 4095301 3819393 3910738 3911054 3796247 3910617 3833378 3902905 3774808 3817969 4002075 4086222 3789529 3885128 4174206 3816104 3821632 4086241 3844962 4086415 3823094 3995730 4086377 4096177 3914552 3910702 3910704 4086364 
007007	26 / 29 / 29	DAL300	0028980	1	4096749 3951018 4031284 4096251 4176818 4280500 4280591 4282099 3818746 4088956 4152983 4175407 3904251 3820858 3905623 4276714 4181991 4278734 4372390 4007305 4038907 4180395 4277162 4278454 4279260 3768339 
010725	9 / 23 / 9	DAL212E	3092941	2	4096749 3561430 3759552 3790792 3796148 3957394 3676165 3816860 3817969 
003007	9 / 22 / 9	DAL212E	3473854	3	3464954 3908117 4043543 4280658 4282099 4175389 4280913 3796906 3851913 
010944	9 / 11 / 9	DAL212E	3083296	4	3464954 3630501 3730202 3759552 3771823 3908117 3913138 3616206 3975519 
007396	31 / 31 / 40	TAYF	0162977	4	3483059 3592680 3692316 3693185 3722992 3767997 3796148 3796723 3930547 4092928 3816992 3863747 4087169 4096261 3816970 3902905 3910343 4037708 3691616 3931959 4280157 3409210 3816104 3846234 3821088 3910720 3728679 3821766 3789136 4372030 3903986 
007398	16 / 16 / 40	TAYF	0851717	5	3483059 3610681 3717137 3722992 3759127 3904965 4094813 3818746 3630474 3797168 3816970 3931323 3914814 3930469 3929704 4086371 
004889	18 / 18 / 28	TH104	0321808	5	3486653 3710476 3717144 3790825 3816180 3819585 3820900 3609410 3816860 3820380 3821886 3910713 3821180 3910609 3579361 3910630 3820958 3910686 
001899	11 / 11 / 24	PK126	3899727	6	3521001 3611135 3712888 3764208 3768625 3816722 3820732 3796247 3819332 3788897 3930864 
013193	20 / 20 / 24	PK126	0898918	7	3521001 3710991 3712888 3764208 3858042 3861195 3914344 3708949 3818762 3819393 3863747 3918056 3796247 3821069 3833378 3715444 3914502 3821166 3913671 3843290 
003275	16 / 16 / 40	TAYF	0695890	6	3561430 3796964 3819628 3851838 3814296 4091163 3855583 3910515 3910650 4002204 3820970 3901254 3930891 4175287 4073784 4175463 
001249	5 / 23 / 5	DAL315	0254151	7	3581265 3611048 3630526 3651465 3704166 
004306	8 / 8 / 19	PK100	3646542	8	3583596 3675467 3816993 3579645 3684090 3821269 3910595 3910605 
007407	34 / 35 / 40	TAYF	0031631	8	3592680 3651750 3667385 3693185 3724014 3767997 3796007 3796723 3819645 3931688 3789573 3816992 3817260 3818746 3818762 3820479 3630474 3816970 3774943 3768356 3774116 3931323 3689328 3691616 3817682 3931959 3722764 3712913 3711406 3797192 3816336 3910712 3467384 3789136 
016952	34 / 34 / 40	TAYF	4177943	9	3611048 3816463 3820587 3823262 3829442 4000195 4001881 4003131 3823473 4093282 4170444 4275968 3823151 4175344 4175360 3668130 3797206 3973360 4262071 4129521 3687862 3773692 4170423 3818675 3816708 3928966 3988502 4280526 3678357 3910648 3708638 4175546 3610382 3910493 
001766	11 / 11 / 12	TH102	4360396	9	3615055 3781152 3991180 3901484 4002075 4096266 4175338 3997576 4175395 4278720 3652959 
002653	7 / 9 / 9	DAL212E	1167978	10	3615055 3969214 4138433 3920306 4372390 4040430 4148348 
015113	25 / 31 / 40	TAYF	0820103	10	3630501 3652353 3693501 3796148 3814239 3832060 3834985 3915267 3929235 4096251 3817260 3819367 3668130 3821088 3722926 3759872 3821571 3910673 3915088 3910661 3910670 3910588 4277915 3910604 4086351 
005295	8 / 9 / 45	TH224	4392595	11	3630526 3651486 3902759 3847931 3910321 3910526 3790492 3843290 
017117	10 / 10 / 45	TH224	0826176	12	3651486 3667654 3690799 3903909 3976786 3823755 3902404 3576990 3830308 3815902 
007375	37 / 45 / 40	TAYF	0820103	11	3611135 3652353 3819645 3834985 3929222 4001881 4090844 4091895 4095133 4175373 4280591 3818807 3929894 3630474 3788919 3818480 3930763 4165491 3901790 3904411 4280913 4075429 3610287 3789529 3785953 4095472 3910680 4092144 4181151 4096186 4164263 4175355 4277782 3910712 3929704 3817379 3821034 
013627	24 / 24 / 24	PK126	3459335	12	3652353 3693712 3695145 3725997 3790244 3799593 3818024 3820732 3823307 3906818 3929849 3930302 3808480 3818807 3845742 3930544 3694712 4096913 3785953 3915040 3680751 3930817 3907037 3995730 
016878	2 / 3 / 45	TH224	3443571	13	4095053 3913185 
016984	9 / 24 / 9	DAL212E	1024995	14	3667654 3762625 3903909 4005905 4026411 4092767 3585962 3820038 4127014 
016609	39 / 40 / 40	TAYF	4273392	13	3677885 3705083 3717137 3796007 3852791 3987067 4279708 3818746 3930831 3797168 3910570 4095224 3910594 3689328 3789529 3910555 3910592 3910642 3910672 4095472 3651348 3819613 3910492 3910507 3910576 4086309 3797192 3816336 3910470 3984532 3910674 3910722 3905868 4175546 4086398 4086496 3923473 4175465 3910506 
006043	19 / 36 / 19	PK336	0207327	14	3690799 3817507 3820963 3833424 3861339 3887957 3903994 3909951 3914754 3929679 4092290 4095001 4095047 3788990 3930296 4093607 4093989 3816486 3910487 
006026	19 / 81 / 19	PK336	0972342	16	3652353 3691794 3695145 3725997 3790792 3823307 3852207 3906818 3930162 3930302 4000367 4000795 4003131 4034558 4095243 4140278 4150774 4175373 4176818 
007368	40 / 53 / 40	TAYF	4354081	15	3691794 3905822 3910185 3941346 3950836 4000812 4059195 4093409 4132153 4180325 4193293 4236548 4278485 4280365 4280465 4280500 4280648 4281029 3819393 3821044 3910427 3942061 4093370 4093748 3821069 3875914 4134616 4278502 4140702 4162177 4277527 4279995 3884178 4138433 4003045 4169561 4055257 4133513 4175888 3931449 
011295	22 / 23 / 24	PK126	4170297	17	3691794 3910185 3915099 4095301 3808480 4086279 4175480 3788897 3930544 3817969 3913164 3822218 4086216 4086249 4093475 3699567 4086477 3823402 3910647 4002909 3910481 3910584 
003460	9 / 18 / 9	DAL212E	3393009	15	3464954 3692164 4095807 4174840 4229863 4278350 3941070 4174392 3902404 
003485	9 / 10 / 9	DAL212E	0024092	16	3692164 4096175 3227350 3931158 3871577 4040430 4093471 3934960 4175381 
010965	9 / 17 / 9	DAL212E	0897706	17	3692164 3759552 3820992 3913159 3929222 3788919 3805981 3819309 3930303 
013286	9 / 12 / 9	DAL212E	3318436	18	3692164 3797324 3818770 3824908 3960504 4000367 4003485 4174840 3902404 
001164	5 / 21 / 5	DAL315	4092864	18	3651465 3851827 3932089 4012510 4086279 
017116	12 / 12 / 40	TAYF	0851717	19	3692316 3915155 3987067 4091895 4094813 4096261 4037708 4095224 4092251 4043326 4043549 3851846 
004016	18 / 18 / 28	TH104	3460456	19	3692536 3921659 4092675 4095807 4095897 4125799 4174768 4097018 4001662 3969108 4001717 4256760 4094498 3458065 4280706 3965315 4143065 4175962 
006049	10 / 10 / 19	PK336	0972342	20	3692862 3817507 3820032 3821077 3928890 3929679 3903896 3930296 3910530 4281910 
006060	16 / 16 / 19	PK336	0409737	21	3692862 3820032 3820963 3820038 3821393 3653200 3816486 3910487 3796906 3821643 3769368 3715155 3817637 3910695 3820971 3667464 
005734	4 / 4 / 28	TH104	4362771	20	3693501 3797532 4093066 4181036 
007128	17 / 17 / 29	DAL300	3198619	21	3693501 4096251 3585962 3650225 3768620 3820395 3687862 3665300 3589576 3609553 3816708 3910753 3655428 3821571 4090714 3821034 3099420 
011321	9 / 10 / 29	DAL300	0028980	22	3693712 3929472 3930614 4091163 3816181 3821552 3974661 4000420 4086350 
016862	1 / 3 / 28	TH104	4168993	22	4092670 
001765	11 / 11 / 12	TH102	3927849	24	3699561 4159999 4279708 3819367 3852806 4243051 4086399 4176082 3822731 3971828 3910614 
008801	7 / 9 / 12	TH102	3996107	23	3699561 4175509 3969012 4014851 4164263 3996082 3913815 
001474	4 / 6 / 28	TH104	0020093	23	3704166 3796732 3819367 3768972 
015114	40 / 55 / 40	TAYF	0820103	24	3611135 3704166 3790244 3820587 3834985 3839352 3914515 3929235 3929739 3930865 3953825 4090975 4091784 4091895 4094813 4095133 4280078 3817260 3929894 3930831 4096983 4093255 4277251 3821059 3904411 3910347 3910644 4096913 3905189 3969305 4175500 3819613 4000336 4175509 4181151 3883637 3910502 4023528 4043326 4043549 
002571	31 / 31 / 65	PK338	0564741	25	3710476 3792350 3881597 3904645 3797331 3820038 3820729 3973885 3848415 3820378 3929468 4091996 4093611 3847728 4002113 4086430 3910514 3994843 4086378 3678357 3790857 3819143 3821554 3848104 3910715 4086345 4095234 4175523 3708638 4086322 4086346 
004885	7 / 7 / 58	TH110	0672202	26	3486653 3710476 3790825 3929575 3693840 3820970 3930767 
017118	28 / 29 / 45	TH224	4170165	25	3717137 3829442 3931836 4000812 4278573 4280500 3941070 3902404 4088956 3576990 4262071 4044087 3798513 4010147 4090730 3910725 4086443 3789283 3931970 3932941 3984532 4003534 3910766 3811941 3871572 4244933 4086280 3910848 
005741	9 / 9 / 28	TH104	4362771	26	3717144 3932089 3910617 3910650 3914676 4086443 3690789 3839910 3819542 
004010	28 / 29 / 28	TH104	4089710	27	3722992 3818770 3834985 3860357 3904324 3935260 3951018 4093015 4170471 4282115 4096983 4280849 4152983 3610287 4170423 4086277 4096266 4254672 3819269 3901731 3931881 4277523 4193252 4280941 4372021 3910609 3929704 3915042 
006542	3 / 5 / 9	DAL212E	0138190	27	4281163 4093324 4086253 
001152	5 / 69 / 5	DAL315	4354559	29	4096749 3851827 3902911 3921659 3932089 
015869	8 / 8 / 40	TAYF	0701976	28	3759127 3953825 4092928 4095133 4093255 3901790 3914814 4095472 
006539	9 / 25 / 9	DAL212E	3083296	30	3759127 3759552 3839352 3846717 3876667 3953825 4127521 4280622 3819353 
003441	9 / 19 / 9	DAL212E	0897706	28	3762625 3817981 3929635 4043840 4280465 4280907 4095302 3914745 3904251 
003541	4 / 5 / 9	DAL212E	0599596	29	3930721 3797192 3915038 3930220 
004023	12 / 12 / 28	TH104	0854975	30	3762625 4090845 4002846 4096899 3878563 4175365 4279260 3908683 4095985 4175524 4176721 4086492 
004036	12 / 13 / 40	TAYF	3646540	31	3762625 3817507 3913210 3769494 3914354 4175446 3871577 4279260 4176465 3931001 4175362 4175329 
004066	16 / 17 / 28	TH104	1167978	31	3768625 3797324 3818025 3908300 3768034 3818029 3823311 3905715 3699613 3796254 3879197 3910517 3584557 3694668 3910527 3910531 
005263	14 / 14 / 45	TH224	0493855	32	3690799 3771823 3781152 3930197 3816832 3823387 4086417 3931453 3798513 3928941 3969305 3768972 4175312 3915042 
003465	8 / 8 / 9	DAL212E	0599596	32	3788743 4270406 3929651 3930731 4175535 3816483 4467145 3819380 
006504	9 / 41 / 9	DAL212E	3083296	33	3724014 3788743 3937160 4003168 4090749 4129668 4233573 4236548 4277951 
014099	24 / 30 / 24	PK126	0409956	34	3692316 3725997 3771823 3788743 3822778 3846717 3921208 3929849 3818807 3911054 3833378 3694712 3913768 4075429 3929586 3910583 3930817 3968696 3904320 3907037 3913671 4014851 4086447 3913807 
005228	8 / 8 / 45	TH224	3448653	33	3790244 3915099 3930197 3758045 4037591 3703427 4014851 3823271 
001185	5 / 11 / 5	DAL315	3646542	35	3583596 3790306 4044003 4086413 4278351 
016886	9 / 12 / 9	DAL212E	0058557	34	3790306 4090841 4093315 4150362 3929237 4091767 4175440 3769368 3844962 
015416	16 / 16 / 28	TH104	3194197	35	3790792 3903833 3913138 3676165 3819546 3714653 3846234 4086323 3715174 3910626 4040430 4086409 4086436 4086437 4174897 3914906 
015243	14 / 14 / 40	TAYF	0031631	36	3483059 3667385 3796964 3913396 3914515 3915155 3929894 3797168 3821008 3910343 4095224 3661465 3822995 3905868 
003454	9 / 32 / 9	DAL212E	3092941	36	3797324 3816997 3817981 3818770 3883991 3929289 3957394 3960504 4000195 
016852	22 / 23 / 45	TH224	3479968	37	3797532 3913437 3976786 4174840 3880322 3668130 3789315 3910713 4090814 3830308 3910649 3612203 4086501 3703938 4143476 3906250 3910745 4086294 3910567 3775417 3903520 3796974 
015135	17 / 22 / 24	PK126	3899727	38	3560236 3915711 3930547 3989696 4001588 4095897 4001999 4115871 4091996 4002075 4094796 4096262 3821097 4174617 3816108 4093806 4092159 
004874	5 / 6 / 28	TH104	3436165	37	3814239 3827187 4092823 3888468 3910684 
017106	27 / 28 / 28	TH104	3436165	38	3651750 3814239 3816174 3818805 3823338 4090975 4091895 4095243 4233573 3768356 3817682 3910937 3973119 3887480 4175478 4092144 4277607 3903861 3910609 3910464 3579361 3823228 3857764 3901722 4278491 3930864 3913815 
002564	14 / 16 / 65	PK338	0564741	39	3816174 3932943 4001588 4089004 4093970 4180325 4277909 4093282 4371955 4091782 3974846 3994733 3995802 4086215 
005154	22 / 23 / 45	TH224	1020104	39	3816180 3902911 3910179 3929800 4174957 3902759 3930614 3889653 3904411 3768025 4002094 4091785 3851913 3930070 3928941 4074784 4093119 4175368 4086083 3818782 3817261 3930220 
009299	4 / 4 / 28	TH104	0321808	40	3816180 3712286 4268891 3821180 
011962	18 / 19 / 40	TAYF	0492451	40	3816463 3824908 4094613 4175284 3903092 4175281 3914745 3931453 3774021 3910548 4086473 3894333 4086317 4086244 4093186 3788983 3904334 4086379 
015860	7 / 8 / 40	TAYF	0125630	41	3817487 4092004 3903092 3820858 3915044 4090730 4467145 
004290	12 / 13 / 19	PK100	3646542	41	3816993 3910870 3684090 3768197 3579867 3823391 3910498 3789439 3914251 3929864 3759092 3823094 
003421	9 / 10 / 9	DAL212E	0024092	43	3816997 4003839 4193260 4280653 4037591 3910564 4174660 4143065 4175286 
008423	25 / 26 / 40	TAYF	4177943	42	3816997 3901669 3932943 3953825 4090844 4127367 4155489 4180325 4193293 4278485 4280653 3915243 4174957 3888468 3699613 3997010 4130250 4358230 3902614 3929810 4174660 4278734 3817419 3820768 3818771 
001771	9 / 9 / 12	TH102	1061058	42	3817981 4282008 3856450 3847931 3910564 3769494 3819304 3995227 4086314 
004304	6 / 7 / 17	TAYSEM	3448653	43	3790244 3816722 3818024 3716057 3768025 3589576 
012818	9 / 10 / 45	TH224	3448653	44	3818024 3910870 4175295 4175408 4003130 3913164 3822218 4175371 4278990 
001845	24 / 25 / 24	PK126	3646542	47	3818025 3822778 3931946 3970633 3994652 4095301 4095424 3818762 4001999 4115871 3928589 3822201 4003434 4174617 3901731 3968696 4093066 4134408 4007305 4175330 3914552 4091072 4093853 4086287 
002412	14 / 17 / 40	TAYF	0031373	44	3818805 3931946 4277616 3821008 3914498 3969108 4093959 3929651 4091936 4175377 4095206 4371973 3816203 4001654 
