Course	Room	Teacher	Time	Students
005119	TAYSEM	0031560	1	0032258 1020370 
002469	ROSTUD	0697660	1	0032765 0852945 
001444	TH110	0031403	1	0780528 0834343 0876307 0896036 0909091 0917702 0950504 0999195 1005149 1007196 
005724	CARP25	0031392	1	0145931 0752553 0825990 0867801 0904918 0913115 0914076 0950811 0967411 0986262 0987276 0989520 0991668 0991672 1002248 1016996 1057004 1065238 
001248	PK229	0031388	1	0419327 0768235 0769943 0770471 0780619 0788562 0809224 0809463 0813277 0818599 0827928 0828596 0829796 0833695 0915579 
003001	TH251	0375562	1	0825616 0899419 0915543 1002729 
003003	TAYF	0031406	2	0419327 0828705 0853174 0854724 0881793 0890945 0903229 0904301 0913466 0918074 0918277 0959092 0967988 0971315 0976318 0976421 0986262 0993268 1002729 
005727	TAYC	0984701	2	0920261 1077003 
001749	GOCOM	1064203	1	0959337 1013197 1050781 1064605 1170860 
007375	DAL105	0031631	1	0556027 0742886 0772032 0787159 0813147 0826670 0828394 0848680 0849245 0858114 0870197 0887586 0896476 0900371 0900541 0901409 0903338 0906362 0906635 0912695 0915226 1086329 
008500	CARP15	0031619	1	0559777 0776956 0786698 0825478 0836904 
003556	EHI	0599596	1	0603589 0670870 0671451 0746084 0772504 0810196 0831413 0833941 0850382 0852994 0873190 0899440 
002951	GIL101	0088906	1	0769020 0801247 0854032 0855155 
004065	TH102	0854975	1	0790880 0805926 0809839 0813159 0831703 0852409 0867494 
