Course	Room	Teacher	Time	Students
007125	17 / 18 / 19	TAYC	0162976	1	0362014 1012362 1019072 1070812 1074737 1081112 1093453 1123611 1141987 1163270 3065426 3065806 3067313 3068612 3073034 3077926 3094479 
007127	19 / 36 / 19	TAYC	0028980	2	0362014 1012362 1019072 1049392 1052099 1057570 1058853 1059804 1068660 1070812 1071318 1073179 1073428 1074737 1081112 1093453 1094952 1097508 1104323 
011321	11 / 11 / 23	BYC127	0028980	3	0362014 1104323 1137568 1163883 3068911 3071694 3078066 3081073 3095290 3096229 3097933 
011838	16 / 16 / 19	TAYC	0031619	4	0362014 1012362 1049392 1162892 3061460 3066114 3067056 3077931 3081988 3086192 3208714 3211727 3216244 3218034 3223468 3329656 
002571	2 / 6 / 7	PK337	0564741	1	0692830 1163719 
006863	4 / 5 / 7	PK337	0402773	2	0889130 1092551 3074091 3095021 
008427	17 / 18 / 19	TAYC	0125630	3	0892947 3078602 3081698 3091176 3150738 3178019 3190134 3204830 3213402 3219719 3264020 3308669 3316819 3330334 3330820 3332425 3332580 
010954	4 / 4 / 17	TH104	3401548	4	0892947 3101907 3211393 3257376 
001248	17 / 23 / 17	TH104	0031388	5	0898104 0903788 1058203 1070296 1070620 1072725 1073523 1079503 1080204 1084538 1085421 1087579 1093772 1095813 1107899 1122236 1126437 
005263	11 / 11 / 19	TH224	0493855	6	0898104 1032290 1089244 1118914 1133642 1136656 1162792 3069040 3079829 3081431 3121199 
006044	25 / 25 / 64	PK25	0207327	5	0901284 0950914 1080806 1086556 1096920 1131814 1143387 1153554 1155813 1162725 1163719 3062828 3064630 3078822 3079774 3087527 3088264 3088390 3088433 3089763 3091221 3092532 3094802 3204306 3204893 
001213	17 / 19 / 17	TH104	0031471	6	0903788 1058203 1079503 1081304 1084538 1087579 1092958 1098264 1136139 1153036 1163179 3064485 3082033 3083207 3093246 3094738 3099745 
001845	2 / 11 / 26	PK229	0123161	7	0908849 3084494 
002712	5 / 6 / 49	EHII	0468281	8	0908849 1058068 1071068 1107899 3064156 
001166	9 / 21 / 17	TH104	0135660	7	0910971 1057174 1060971 1071507 1122236 1163245 3069758 3083207 3123316 
001862	10 / 13 / 26	PK229	0031557	8	0910971 1057174 1073230 1160418 1162493 3065779 3075104 3084494 3087533 3097588 
006559	0 / 3 / 19	TAYC	0031478	9	
001183	4 / 13 / 17	TH104	0406445	9	0940115 3088010 3093100 3212787 
001473	7 / 7 / 19	TH224	0031632	10	0940115 1003163 1079349 1090632 1133031 1162390 1164777 
004869	6 / 6 / 17	TH104	0053518	11	0940115 1056297 1068953 1163424 3065289 3209936 
004888	17 / 20 / 17	TH104	3092667	12	0940115 1000374 1056297 1059105 1068953 1086904 1093047 1096573 1108799 1131900 1161791 1163424 3060775 3061759 3062413 3063437 3065289 
006059	16 / 22 / 64	PK25	0619470	10	1047770 1051891 1058218 1073075 1075264 1088892 1096638 1109564 1135712 1138792 1149469 3064899 3065016 3065591 3066088 3069893 
007396	23 / 23 / 23	BYC127	0825571	11	0979769 1058154 1070105 1071785 1096920 1115206 1136145 1139204 1141766 1161804 3057399 3065488 3065560 3066589 3069352 3078150 3080943 3081234 3082073 3087231 3090325 3093411 3097192 
003572	20 / 43 / 20	CARP15	0024092	13	0981248 1010605 1029713 1032290 1049279 1052076 1059663 1068656 1073179 1073672 1076785 1079224 1081394 1083355 1084609 1085466 1085971 1087771 1088535 1092760 
011833	2 / 4 / 17	TH104	1084371	14	3080118 3081179 
011943	9 / 9 / 20	CARP15	3393009	12	0981248 1029713 1076785 1079224 1084609 1161753 1161763 3070887 3084075 
008765	19 / 69 / 19	TAYC	0428728	13	0994458 1093772 1095145 1098264 3068181 3068444 3069585 3079915 3081720 3089555 3090752 3092091 3092411 3094527 3095908 3097009 3100468 3104489 3105292 
002695	4 / 4 / 49	EHII	0138190	14	0997873 1079912 3094422 3213968 
010965	14 / 14 / 20	CARP15	0897706	15	0997873 1045484 1052076 1073179 1114293 1122130 1134634 3060791 3064906 3069455 3082688 3090316 3092012 3100385 
004876	6 / 8 / 17	TH104	0032827	15	1000374 1071986 1161791 3060775 3072620 3100388 
004011	19 / 43 / 19	TAYC	3335907	16	1000704 1045484 1135712 3086995 3090312 3121966 3214617 3239030 3248326 3249531 3254195 3254237 3260308 3261697 3262890 3282664 3284809 3303921 3305222 
003037	5 / 6 / 20	CARP15	0222805	16	1001389 1163125 3067352 3071798 3077931 
006042	32 / 42 / 64	PK25	0031454	17	1051891 1075264 1092958 1109564 1150429 1153554 1155813 1162725 1163719 3061686 3067610 3069894 3079774 3079866 3079871 3081951 3085421 3085643 3087527 3089384 3089555 3090752 3091221 3092408 3092532 3092830 3094802 3095021 3096963 3097592 3100728 3203791 
009266	3 / 5 / 20	CARP15	1083868	18	1097091 1150630 3069758 
010942	7 / 24 / 7	PK337	0619470	20	1001389 1058218 1073075 1075264 1086556 1092958 1143387 
004013	19 / 36 / 19	TAYC	0031578	17	1003163 1158585 3095391 3095417 3105219 3109227 3113753 3114139 3150160 3151640 3155060 3165225 3177388 3179110 3190778 3204511 3208714 3210074 3211007 
011957	2 / 4 / 19	TH224	1168460	18	1133031 3089763 
011992	6 / 8 / 19	TH224	0694784	19	3082941 3093100 3093298 3095599 3096355 3153713 
001851	6 / 6 / 26	PK229	0409956	19	1009914 1074737 1076479 1151485 3095337 3097588 
006029	64 / 83 / 64	PK25	0031454	20	1009914 1090070 3081951 3088071 3089580 3092411 3092781 3093246 3094263 3094744 3095908 3097709 3099184 3099423 3099745 3105866 3108691 3108886 3109227 3110627 3114251 3114853 3114872 3115257 3119909 3122857 3125856 3125873 3126433 3126731 3149019 3150160 3151640 3152572 3152667 3155346 3155695 3158474 3169335 3177165 3177873 3183942 3185122 3185620 3188399 3189051 3190685 3191834 3192657 3193288 3193776 3203991 3204279 3204495 3204644 3205324 3210876 3211360 3213412 3213727 3214138 3215784 3216633 3216898 
003560	8 / 17 / 20	CARP15	0031359	21	1010605 1017457 1049279 1073672 1085466 1119061 3061460 3073216 
003500	13 / 13 / 20	CARP15	3194193	22	1012792 1017457 1073316 1109564 3084658 3085407 3087948 3215635 3218335 3254053 3255502 3312113 3322949 
001768	8 / 12 / 8	RCSEM	0027799	23	1017457 1073316 1079912 1150110 1157995 1162493 3067585 3076209 
