Course	Room	Teacher	Time	Students
001839	BYC127	3426758	1	1156282 3087533 3090325 3119909 3213727 
002151	PK243	1167863	1	0252627 3088571 3191285 3209873 3214617 3218908 3219639 3223468 3223593 3232822 3242147 3243225 3245522 3250904 3252673 3261847 3262890 3293645 3309285 3315613 3315934 3323189 3323454 3323644 3323699 3324108 3329668 3330273 3330597 3330630 3331483 3331578 3331618 3331989 3332580 3332714 3340189 3344476 3351610 3373119 3373472 3374627 3375084 3381343 3382098 3385569 3387721 3388734 3388735 3388882 3389687 3390131 3396570 3397575 3397815 3403581 3403680 3403953 3405286 3405436 3407233 3407265 3407466 3407911 3408274 3408625 3409420 3409792 3410241 
006846	PK337	1167884	1	1073230 1155110 3068181 3081400 3089555 3092781 3093208 3095460 3098317 3189051 3194683 3261685 3330439 3407079 
005732	CARP15	0031543	1	0460748 3091169 3097080 3098490 3114872 3153306 
004666	RCCON	0775640	1	0525775 1155839 3094527 3193288 3211384 3329812 
008427	TAYC	0125630	1	0692830 1163242 3067133 3077926 3079120 3081073 3087472 3089542 3112040 3113753 3191210 3209872 3213921 3233697 3248326 3305222 3319378 3322740 3333219 3333459 3336573 3409781 
001836	PK25	0056992	1	0820816 3063119 3114251 3121582 3154498 3204517 3204688 3211006 3216609 3222944 3232650 3243105 3248182 3250907 3257376 3266721 3268127 3281747 3283446 3304008 3306835 3308695 3310852 3311410 3312024 3314945 3316281 3322141 3322720 3330203 3332978 3333301 3333501 3347834 3350650 3352587 3358560 3373902 3389987 3397566 3397567 3397573 3398026 3398166 3405873 3405943 3406150 3408041 3409419 
002160	PK354	0004950	1	3082852 3095908 3098380 3114853 3115992 3142378 3173096 3177873 3188399 3210074 3211081 3214147 3215249 3219786 3221922 3227208 3238039 3238414 3239494 3242649 3249841 3260264 3276024 3288377 3303949 3304005 3306703 3307517 3309190 3311445 3315632 3315961 3316653 3322149 3322942 3323692 3330372 3331473 3347031 
006867	PK243	3426911	2	0889130 3072284 3074091 3094263 3095021 3099423 3190685 3204495 
007377	CARP21	0701976	1	0892947 1155700 3078071 3080512 3087117 3087231 3096808 3100468 3120610 3205329 3218679 3226387 3246661 3296121 3329671 3364522 
008479	TH224	0031619	2	0892947 1078911 3081988 3093349 3095254 3095396 3098243 3173096 3179026 3208714 3213402 3216906 3217434 3217439 3218034 3316273 
002712	CARP13	0138190	1	1079912 3080774 3091889 
009320	PK349	0031478	1	0997873 3094422 3096963 3099375 3304941 3332980 
003572	EH103	0024092	1	1017457 1037213 1045484 1059404 1070105 1072178 1073076 1093772 1154382 1154715 1156612 1157995 1158383 3062439 3063303 3065947 3066711 3067358 3067585 3069455 3073216 3080539 3080843 3081410 3081503 3081720 3081927 3082246 3082688 3082959 3084658 3086455 3087809 3088052 3089884 3091781 3092012 
004013	CAN314	0163316	1	3153576 3210020 3212787 3231837 3292462 3297051 3299552 3304324 3314971 3330334 3331184 3332409 3333094 
001765	EHIII	0033637	1	3119630 3125873 3126883 3211542 3216871 3220932 3265154 
007375	TH110	0031631	2	1037213 3065779 3078602 3097075 3114853 3119048 3211384 3211593 3214299 3216420 3217195 3218679 3226387 3232225 3233697 3260308 3299552 3312114 3317266 3331473 3331618 3332518 3373846 3373902 3382642 3410355 3410901 
011396	EH103	3310251	2	1095145 3063558 3065947 3067585 3073216 3080539 3081720 3082246 3087948 3088052 3095417 
003277	GOB	0675005	1	1155813 3072284 3088969 3090375 3095290 
007372	BYC127	0603646	3	1045484 3081410 3081698 3088969 3097709 3114139 3114269 3179026 3191191 3194873 3205329 3209872 3209873 3211006 3211155 3211593 3215889 3219786 3232225 3232322 3232625 3252312 3307002 3310852 3314945 3314971 3317234 3317266 3323644 3330926 3331496 3381343 
006562	PK349	0031573	2	1048446 3083995 
012487	CARP17	3426095	1	1048446 1095145 3061917 3080142 3094575 3096229 3103910 3108487 3260308 
001200	BYC100	0254151	1	1049332 1081304 3085021 3088010 3093246 3126602 3211360 3217778 3221143 3315776 
002472	BYC239	0493725	1	1133589 3063558 3066736 3089769 3095867 
009233	TH104	0029475	2	1049332 3080142 3100415 3217408 
012317	BYC100	0899465	2	1056457 3111037 3223001 3249841 3256154 3256812 3303949 3306968 3315059 3316653 3329757 3351178 3358560 
003475	EHII	3425459	3	1059404 1093772 1155700 1158383 3082688 3084658 3089884 3092577 3120610 3125450 3153306 3194888 3205208 3211478 3213840 3216840 3220189 3227145 3228428 3242936 3260419 3284809 3330627 3336686 3340395 3347031 3388458 
004830	CARP15	0348369	3	3081720 3085407 3095417 3169644 3204511 3216609 3217408 3218335 3268686 3316281 3344691 
006518	PK349	0777265	3	1080636 3090752 3092196 3094527 3097933 3099375 3099745 3119048 3126433 3158474 3210027 3238039 3306992 3316273 3322663 3333675 
004874	TH110	0032827	3	1068953 3093184 3099191 3311452 
011044	TH251	3213249	2	1068953 3091870 3155348 3210876 3212008 3215879 3216633 3221785 3224239 
001764	EHIII	1165592	2	1070105 3062439 3081410 3089884 3097192 3153576 3155201 3194888 3211478 3329964 
003488	EH103	3426910	3	1070105 1163242 3063558 3075104 3088047 3097080 3097192 3145695 3149019 3308669 3311808 
