Course	Room	Teacher	Time	Students
007878	5 / 5 / 6	RCCON	0031386	1	0171491 3421700 3426169 3432782 3458641 
012330	15 / 27 / 15	DAL212A	3420576	1	0700408 3102995 3158316 3170761 3218454 3273028 3323851 3341634 3347767 3352660 3362442 3378849 3390102 3395937 3405144 
008764	39 / 52 / 39	TAYF	0899465	2	0750570 3091931 3196460 3217421 3263080 3322886 3330300 3331071 3337463 3339315 3343387 3343615 3351809 3352269 3359026 3374479 3374569 3375544 3396377 3401311 3404976 3415144 3417002 3418145 3420434 3422289 3422964 3424318 3426213 3430401 3430944 3431155 3431445 3431448 3431740 3431750 3432040 3432238 3432344 
003270	8 / 13 / 40	TAYG	3453358	3	3094516 3133434 3196457 3250683 3266668 3418907 3431260 3437756 
008501	15 / 15 / 15	DAL212A	0125630	2	0900525 1086489 3075829 3102974 3170761 3180674 3199454 3212408 3216292 3223822 3224484 3225012 3225017 3225612 3323851 
001837	7 / 63 / 7	PK227	3452118	3	0959337 1077482 1165573 3205483 3223467 3224924 3249725 
002153	23 / 64 / 23	PK278	0168378	4	0959337 3161291 3212266 3224924 3274299 3319602 3322886 3330906 3331180 3340879 3341079 3359596 3360165 3365824 3375120 3397565 3404693 3405145 3405151 3405422 3405744 3411646 3412670 
006847	17 / 33 / 17	PK337	3427120	5	0959337 1077482 1165573 3090430 3095526 3103486 3123570 3132705 3185451 3192954 3218584 3240228 3240400 3250227 3253100 3258482 3267842 
003278	5 / 5 / 40	TAYG	0675005	4	1065796 3086698 3089636 3202451 3218971 
003279	5 / 5 / 40	TAYG	0675005	5	1065796 3086698 3089636 3202451 3218971 
002161	23 / 52 / 23	PK278	0301910	6	3166052 3212408 3227217 3253100 3254633 3322523 3323859 3324271 3331686 3337246 3337851 3339156 3339567 3359188 3363924 3381050 3382662 3389676 3395581 3396292 3396312 3397709 3404828 
001842	7 / 36 / 7	PK227	0031557	7	1080789 3099669 3100359 3108046 3128366 3134508 3153098 
003019	12 / 14 / 33	DAL119	0375562	6	1080789 3105170 3125668 3212089 3217578 3225363 3228721 3342984 3413193 3415627 3432243 3437295 
004290	1 / 2 / 6	PK259	3447501	8	1080789 
012821	9 / 9 / 39	TAYF	3448653	9	1080789 3162076 3198788 3201574 3202006 3217605 3225612 3309945 3323345 
002992	33 / 37 / 33	DAL119	1083868	7	1082708 3198788 3213028 3227211 3275705 3319863 3330264 3342762 3350298 3375685 3377851 3381824 3404279 3412520 3413728 3415125 3415801 3418907 3419570 3420434 3421753 3424520 3426020 3426719 3428820 3429894 3431155 3431449 3431672 3432796 3433961 3436311 3437141 
010845	5 / 10 / 15	EHII	3092941	8	1102723 3108728 3227767 3249725 3416374 
001166	15 / 19 / 15	DAL212A	0135660	9	1131918 3091931 3100359 3123570 3180861 3217410 3217451 3217652 3223347 3311586 3323354 3323535 3330767 3338762 3341874 
012996	19 / 19 / 39	TAYF	0408816	10	1131918 3113981 3132900 3196371 3201250 3216872 3217451 3223179 3323859 3329727 3337414 3351574 3351809 3358339 3393147 3413255 3417002 3430944 3440606 
011818	15 / 15 / 15	DAL212A	3453004	10	1146215 3105895 3168968 3212266 3212902 3225121 3326954 3337246 3340838 3396313 3412523 3412874 3417073 3417088 3438442 
012304	13 / 13 / 39	TAYF	0031572	11	1146215 3198776 3200866 3211826 3212197 3212716 3219871 3224993 3339989 3382410 3416998 3423723 3459730 
001847	7 / 14 / 7	PK227	3422398	11	1163326 3093818 3113981 3224924 3250131 3254633 3289325 
001893	3 / 4 / 7	PK227	0898918	12	1163326 3097120 3270468 
