Course	Room	Teacher	Time	Students
006043	PK349	0554585	1	3482198 3560770 3576879 3580397 3581077 3581127 3465103 3467781 3485228 3483651 3561280 3484887 
006060	PK338	0031526	1	1057610 3425437 3429761 3455148 3460867 3462356 3451553 3429199 3461826 3462639 3463587 3445343 3460701 3460359 
007128	DAL212A	0028980	1	3239415 3436588 3441413 3443453 3446653 3453472 3454439 3455297 3456066 3456645 3458469 3461469 3462290 3462872 3463143 3581031 3453856 3463708 3438342 3425679 3479945 3458949 3459613 3485305 3462956 3439917 
013997	DAL6	3575049	1	3437962 3464638 3467199 3482263 3457979 3474598 3581249 3465327 3452988 3483954 3427633 3580341 3458061 3576368 3576371 
014628	DAL212A	3575049	2	3239415 3454439 3464855 3467199 3475950 3462116 3463708 3474598 3437341 3581038 3487266 3484334 3482194 3483950 3576352 3582017 3668788 3668862 3797880 
001837	PK227	3452118	1	
002161	PK264	0301910	1	3460338 3470846 3471450 3483638 3516634 3521265 3521461 3529298 3559302 3575483 3581605 3457873 3464379 3650578 3581085 3581456 3477425 3487266 3581375 3485550 3457988 3483587 3559857 3694797 3471447 3668758 
006847	PK154	3102267	1	3255755 3330330 3433686 3448679 3448687 3455631 3455719 3462270 3462817 3465036 3476797 3481203 3481813 3487055 3514095 3561074 3561084 3579723 3580248 3580251 3580269 3581609 3581996 3479311 3481690 3486782 3505157 3559149 3581967 3692269 3486379 3513947 3581038 3462292 3303699 3463071 3464327 3574558 3481532 3481702 3579143 3461063 3474620 3577187 3485169 3581920 3485912 3481862 3576411 3576517 3576570 3668904 3668966 
004293	PK25	0802802	1	3375323 3469520 3480714 3576013 3463022 3451724 
004306	PK259	3092832	2	3375323 3438254 3450490 3455690 3459523 3458176 3459972 3463022 
011865	PK25	3646542	2	
001243	TH111	3646621	1	1160238 
002450	CARP17	3448653	1	3405451 3476908 3484763 3481875 3463525 3458452 3483950 
009386	DAL1	0031388	2	3405451 3454182 3456820 3576126 3580991 3540124 3485361 3446353 3568636 3479085 3448314 3462964 1160238 3463560 3462115 3689348 3487310 
001765	EHI	3473979	1	3412725 3447681 3479838 3481354 3465591 3457808 3492361 3440687 3576499 3576565 
010965	TAYC	0897706	1	3412881 3443522 3454210 3457393 3462293 3467427 3477014 3486571 3414205 3483278 3438999 3450546 3576579 3668958 
001249	DAL212A	0254151	3	3418606 3432223 3439912 3443283 3451663 3459645 3459980 3462417 3462849 3463776 3452964 3461933 3475198 3463126 
002872	CARP15	1084458	2	3423839 3461020 3480937 3655393 3467932 3797607 3797722 
001235	TH110	0031471	3	3425347 3435187 3455291 3474207 3475745 3480935 3575735 3465591 3484898 3478747 3455058 3462647 3466011 3462416 3461962 3574866 3574563 3462297 3478343 3479350 3461937 3485912 3576306 3576525 3576556 3576577 
008764	TAYSEM	3554385	2	3426943 3540714 3631215 3689329 3691834 3692514 3694813 3694828 3695345 3576002 3651816 3692269 3691983 3596713 3651365 3663306 3694289 3695542 3416640 3580211 3691514 3581851 3442237 3542887 3226303 
001857	PK227	0123161	2	3428608 3462514 3470846 3477576 3485548 3486379 3463993 
011219	PK337	0564741	2	3429761 3484894 3559624 3581227 3560373 3451331 3463439 3452445 3576574 3668947 
003270	TAYG	0695890	3	3446670 3480217 3486141 3487316 3580586 3476899 3438102 3458932 3597215 3438652 3576333 3668894 3668902 
010845	CARP17	3092941	2	3430131 3439147 3442335 3443731 3474789 3483546 3443092 3486571 3465442 3481102 3486083 3440687 3477004 3576629 
006565	TH121	0031399	1	3430697 3463524 3486844 3457692 3425239 3445738 3480810 3483996 3482588 3576379 3576400 3576524 3576540 3576542 3669048 3669051 
008770	DAL6	0428728	3	3430697 3455227 3483511 3493748 3544254 3555254 3558528 3559476 3559903 3561229 3570123 3574483 3575259 3581999 3631101 3632881 3668386 3693813 3694754 3457459 3467781 3559319 3601391 3667381 3561660 3690204 3575969 3578747 3581846 3652273 3618222 3462639 3606293 3606350 3483954 3485774 3580407 3581980 3649880 
011294	DAL1	0135660	3	3479054 3485028 3537536 3580256 3576403 3576553 
014786	PK227	3788276	3	3456677 3487041 3455915 3445081 3428042 3474620 
003459	CARP17	1079401	3	3433275 3581171 3650874 3692285 3430527 3485169 3669030 
003548	TH224	0024092	4	3433275 3462817 3464666 3481354 3484845 3581596 3457935 3474789 3442991 3484361 3539996 3560687 3460586 3479804 
013616	DAL212E	0375562	2	3433686 3456653 3486998 3463389 3460134 
007370	BYC239	0826964	1	3433881 3510665 3525604 3533264 3557742 3559843 3608097 3651573 3694798 3441273 3483567 3560511 3651816 3427674 3463589 3579592 3467452 3453262 3454115 3559657 3652569 3576230 3691514 3484243 3558838 3581228 3692536 3482382 3668749 3668789 3668790 3668798 3668830 
014218	DAL10	0031471	1	3459111 3668852 
002397	TAYD	0493725	2	3433962 3461556 3479534 3486844 3540190 3546417 3559970 3576231 3576792 3580389 3481391 3505185 3580095 3476864 3561098 3576370 3576521 3668970 3668972 
002414	DAL20	3452082	3	3455341 3462720 3463453 3465245 3475298 3559302 3533093 3486838 3469119 3480166 3540705 3465588 3416891 3576494 3576558 3668826 3668827 3668831 3668839 3668918 3668923 
001861	PK349	0056992	4	3428042 
004840	CARP17	3452082	4	3438113 3453472 3454494 3462246 3462514 3481944 3581469 3479961 3482101 3576451 
014787	CARP13	3554810	2	3438119 3482989 3551641 3462019 
007926	RCSEM	0470839	1	3438206 3438455 3462246 3441406 3426169 
004282	PK25	1165566	3	3469520 3480714 3480791 3544262 3576365 3576425 3576555 
006035	PK328	0409737	1	3438254 3457231 3458250 3463593 3475933 3485416 3486852 3486998 3559534 3577109 3578804 3578811 3581952 3564528 3441900 3479718 3479961 3650596 3469615 3455046 3476927 3476082 3478412 
004015	DAL10	3460456	2	3438294 3579028 3581469 3582182 3457777 3652569 3598090 3652373 3666570 3692536 3668920 
007923	RCSEM	0031386	2	3438455 3574542 3576463 3576471 3668752 
004885	CARP13	0672202	3	3438842 3456103 3579099 3578488 3457327 3454100 3478713 
003543	EHI	3393009	4	3439147 3478102 3459584 3444537 3455220 3457808 3460073 3551641 3427633 3454476 3457932 3477004 3581080 3576466 
006868	PK154	0402773	2	3441226 3458087 3483929 3576212 3463011 3487732 3454059 3458136 3467040 3576423 3576437 3576459 
006588	TH121	3554648	2	3439409 3463524 3457692 3463745 3425239 3445738 
004360	TAYSEM	0847593	4	3439636 3484746 3549052 3581282 3476860 3556617 3561772 3574047 3464279 3560193 3416640 3451331 3486632 
010977	TAYG	0695890	4	3439912 3442641 3449400 3462516 3462872 3459032 3464379 3455043 3461057 3460820 3462115 3456290 
011187	TH224	3194193	5	3440958 3478309 3578488 3462019 3463882 3446645 3576579 
005263	TH223	0493855	1	3441016 3458957 3463859 3578707 3579579 3476899 3452561 3559218 3459508 3462416 3463939 3442237 3576417 3576485 3576494 
006031	PK328	0213446	2	3441016 3443421 3457231 3462565 3471450 3478356 3482144 3482288 3487035 3493704 3496439 3503382 3516634 3555932 3559534 3574519 3574873 3575898 3575916 3578804 3579949 3581282 3619255 3619323 3639772 3649568 3651243 3667503 3668420 3689845 3692771 3692796 3692807 3693276 3693789 3694432 3695024 3459032 3470797 3505157 3579094 3581135 3650578 3460343 3513947 3569865 3591844 3691416 3694428 3694903 3695368 3445680 3628726 3695543 3477425 3485848 3497993 3581375 3694417 3578252 3581192 3492361 3645471 3650596 3481643 3457988 3694006 3694431 3503587 3581962 3629518 3689500 3694797 3556970 3580584 3667273 3693612 3695554 3476927 3431750 3691748 3668782 3797740 
006045	PK328	0431634	3	3441166 3462356 3485288 3455043 3485228 3479718 3463587 
010851	PK328	3764518	4	3441166 3455148 3483929 3485416 3486998 3577022 3465103 3485548 3581952 3438102 3479718 3483651 3694426 3455046 3462228 3576323 3576416 3668878 3668940 
002562	PK337	3792642	3	3484845 3503865 3576013 3576879 3651487 3668623 3581201 3692098 3694236 3576020 3692187 3485054 3693084 3455294 3667311 3690719 3693902 3648550 3576436 3576571 3603544 3668783 3668917 3669016 3797798 3797825 3797835 
014570	PK227	3483424	4	3441306 3480375 3480868 3483638 3493748 3496673 3558796 3559963 3560256 3561511 3579181 3579723 3580326 3581609 3591591 3621523 3629467 3651487 3652276 3661465 3668420 3689375 3689845 3692796 3692915 3693224 3693253 3693789 3693813 3694432 3694754 3695285 3558739 3576002 3651017 3668196 3481664 3498974 3591844 3651605 3671851 3691983 3692628 3694428 3695368 3481202 3579592 3591211 3695543 3497993 3596713 3695542 3579864 3483640 3695373 3480867 3559464 3559857 3580211 3690361 3560487 3597365 3616918 3666570 3693230 3581920 3655749 3620520 3667676 3692761 3482323 3576475 3576523 3576565 3599497 3668921 3668966 
