Students	1000
1	500 315 443 100
2	396 69 14 122
3	376 468 444 484
4	446 250 387 462
5	499 494 306 109
6	395 296 1 489
7	472 145 268 158
8	80 145 377 114
9	139 257 66 387
10	395 296 211 67
11	408 455 162 380
12	92 21 271 350
13	269 297 30 132
14	331 157 446 454
15	411 208 193 37
16	38 422 328 494
17	416 472 193 447
18	104 121 12 244
19	353 268 286 169
20	103 438 53 87
21	471 496 320 200
22	261 237 88 8
23	21 213 426 41
24	94 390 201 233
25	315 112 414 73
26	198 275 404 10
27	354 174 219 203
28	92 439 357 278
29	75 334 432 423
30	233 76 181 134
31	122 156 280 436
32	402 360 338 55
33	443 306 39 198
34	32 339 186 264
35	24 283 110 37
36	274 57 392 478
37	128 169 463 490
38	143 227 380 453
39	50 411 367 67
40	456 285 470 414
41	145 429 175 432
42	478 356 307 383
43	150 159 42 347
44	223 180 24 384
45	260 451 237 262
46	214 297 442 223
47	316 61 211 87
48	185 315 380 261
49	39 349 271 12
50	239 395 380 122
51	361 145 123 153
52	293 125 366 271
53	67 117 141 409
54	348 300 359 196
55	267 388 29 147
56	72 186 11 214
57	51 40 61 179
58	60 254 236 496
59	108 98 280 29
60	256 418 231 461
61	104 480 471 101
62	18 279 152 74
63	193 425 339 204
64	116 456 72 390
65	188 307 131 249
66	95 62 273 371
67	189 307 491 75
68	392 28 186 75
69	254 351 42 16
70	416 442 82 305
71	97 299 140 210
72	376 302 351 138
73	310 367 378 120
74	164 19 350 30
75	99 334 228 390
76	303 310 457 320
77	212 149 303 415
78	138 71 33 485
79	413 127 418 430
80	355 162 27 441
81	144 44 97 476
82	174 27 459 466
83	413 19 330 293
84	180 400 442 56
85	345 241 215 28
86	148 441 300 92
87	395 208 213 133
88	475 454 193 216
89	294 331 462 423
90	430 466 451 134
91	1 425 91 47
92	295 314 72 400
93	163 281 140 7
94	252 15 54 331
95	444 262 26 411
96	385 116 373 279
97	492 53 129 315
98	100 367 46 431
99	279 440 282 338
100	442 6 280 113
101	161 270 481 192
102	364 150 215 309
103	114 479 280 378
104	359 240 252 215
105	344 399 240 26
106	83 217 387 149
107	275 319 376 253
108	103 126 324 14
109	285 115 345 443
110	288 75 496 317
111	46 99 114 493
112	33 23 400 406
113	325 62 45 402
114	20 166 384 139
115	257 384 220 12
116	66 239 206 184
117	265 418 454 284
118	276 382 360 457
119	95 306 248 257
120	227 309 213 470
121	260 243 420 163
122	214 373 97 457
123	156 162 402 197
124	267 242 458 203
125	61 252 76 113
126	117 289 146 357
127	372 167 169 47
128	110 454 335 354
129	57 261 17 481
130	196 245 413 222
131	57 186 69 244
132	86 245 14 165
133	187 174 204 227
134	492 420 107 239
135	484 361 386 316
136	446 273 315 340
137	425 31 296 16
138	190 318 266 452
139	484 226 439 420
140	363 146 454 233
141	148 225 257 412
142	365 349 119 78
143	196 471 16 424
144	183 319 233 206
145	348 150 196 118
146	231 27 140 113
147	257 194 263 70
148	366 174 337 468
149	252 164 32 342
150	142 166 299 115
151	276 64 429 348
152	129 237 63 295
153	45 343 188 494
154	185 132 120 142
155	143 468 479 354
156	487 125 396 205
157	32 192 168 52
158	356 305 298 451
159	272 325 233 20
160	463 456 6 244
161	170 23 461 41
162	412 17 236 198
163	68 392 319 241
164	389 58 330 194
165	49 411 374 215
166	132 398 3 476
167	487 313 34 341
168	453 60 118 22
169	210 1 136 341
170	147 335 368 141
171	205 115 500 370
172	202 458 294 303
173	264 162 494 174
174	390 407 44 308
175	313 203 487 328
176	353 64 211 481
177	64 291 106 183
178	412 264 109 220
179	135 40 452 190
180	307 469 433 21
181	222 338 197 23
182	170 395 93 396
183	373 31 198 431
184	106 469 241 450
185	277 412 139 53
186	113 73 153 305
187	423 63 214 110
188	207 26 114 57
189	445 9 8 353
190	479 199 402 72
191	376 278 48 461
192	493 92 216 37
193	76 265 388 239
194	341 28 131 467
195	21 339 200 398
196	338 480 194 171
197	190 348 23 27
198	322 264 286 67
199	291 118 201 487
200	218 94 202 230
201	92 184 9 374
202	500 149 177 102
203	207 300 126 39
204	457 432 206 419
205	201 362 358 194
206	164 282 50 121
207	26 77 452 124
208	322 442 247 321
209	334 184 394 251
210	219 49 239 228
211	384 194 262 416
212	323 395 454 410
213	333 433 62 144
214	125 144 264 286
215	402 259 450 415
216	183 92 225 318
217	27 94 340 51
218	415 313 374 92
219	294 324 188 204
220	74 323 150 195
221	164 351 108 205
222	459 57 127 155
223	178 407 49 46
224	343 158 319 104
225	62 321 407 207
226	236 164 256 342
227	410 224 303 219
228	67 227 332 11
229	348 126 184 405
230	42 72 183 276
231	368 20 35 148
232	418 307 432 92
233	308 3 218 183
234	157 170 156 493
235	254 46 337 486
236	420 154 309 152
237	446 296 60 163
238	129 288 133 495
239	116 308 485 443
240	335 125 243 123
241	32 294 447 389
242	464 249 143 459
243	381 386 108 273
244	8 273 397 205
245	498 499 261 255
246	126 465 487 482
247	365 207 493 472
248	151 229 174 352
249	186 37 246 7
250	381 208 259 385
251	297 306 292 330
252	163 300 186 412
253	85 56 310 306
254	140 300 315 189
255	75 224 33 162
256	200 336 20 390
257	297 65 364 463
258	92 75 407 45
259	41 310 435 95
260	339 45 87 390
261	117 311 285 56
262	31 131 349 488
263	240 349 193 485
264	323 79 483 432
265	226 398 201 301
266	402 472 218 32
267	201 10 473 112
268	463 297 417 482
269	119 488 434 150
270	244 293 169 240
271	455 295 38 448
272	427 290 364 127
273	35 62 54 206
274	290 278 135 21
275	91 244 499 415
276	263 323 264 470
277	245 295 117 210
278	153 399 245 53
279	282 305 349 177
280	123 18 165 450
281	218 302 306 426
282	113 340 465 326
283	367 392 39 121
284	284 211 385 405
285	281 49 297 424
286	176 287 68 459
287	159 283 493 336
288	193 20 346 316
289	35 428 297 349
290	189 461 159 22
291	304 133 74 486
292	368 329 390 319
293	387 57 358 415
294	401 374 135 284
295	120 499 160 135
296	142 483 497 178
297	221 40 140 476
298	35 444 52 365
299	2 407 65 176
300	335 125 457 35
301	319 5 484 138
302	489 192 17 444
303	51 113 240 172
304	75 231 161 387
305	292 397 224 47
306	491 417 337 279
307	269 320 230 1
308	123 36 328 370
309	394 109 345 43
310	83 320 289 424
311	250 275 66 372
312	157 144 68 32
313	224 162 160 67
314	488 204 498 144
315	421 245 327 359
316	130 255 347 436
317	439 276 363 275
318	500 1 36 187
319	42 44 292 253
320	401 77 27 26
321	236 290 407 480
322	208 484 469 137
323	261 374 183 146
324	9 92 268 328
325	474 23 274 139
326	424 163 225 269
327	179 383 142 287
328	37 489 229 195
329	438 291 354 246
330	388 492 264 387
331	479 467 227 378
332	178 196 109 413
333	383 406 269 100
334	378 110 158 300
335	306 469 288 97
336	214 61 203 101
337	88 138 74 68
338	18 14 326 182
339	228 41 278 273
340	268 375 278 7
341	323 210 443 50
342	207 129 277 211
343	205 84 106 241
344	275 36 183 363
345	210 54 26 20
346	174 418 349 486
347	125 271 331 53
348	295 279 244 156
349	117 150 309 106
350	337 261 64 369
351	112 326 60 335
352	369 48 134 225
353	329 432 448 323
354	252 478 317 6
355	416 320 97 200
356	274 172 481 295
357	384 327 129 180
358	40 492 285 401
359	311 386 458 264
360	142 164 185 112
361	60 149 187 22
362	346 243 17 77
363	82 382 43 431
364	43 70 448 22
365	157 197 302 76
366	476 109 334 436
367	289 154 339 230
368	252 420 221 435
369	311 499 217 316
370	4 190 271 91
371	104 164 187 134
372	41 478 356 242
373	232 303 79 363
374	246 464 415 45
375	190 398 239 387
376	474 75 382 390
377	350 28 95 287
378	146 420 140 240
379	157 66 393 18
380	292 479 465 432
381	13 8 331 273
382	221 419 329 98
383	309 257 78 319
384	124 346 219 500
385	478 493 117 275
386	361 153 347 318
387	478 310 418 223
388	343 430 164 273
389	81 498 137 370
390	378 193 98 316
391	396 316 425 97
392	73 376 264 145
393	70 209 399 165
394	352 250 174 320
395	162 267 461 145
396	408 7 85 400
397	260 286 434 254
398	414 384 192 242
399	500 398 183 87
400	176 252 353 220
401	28 156 307 271
402	39 73 106 120
403	227 464 226 466
404	358 500 26 414
405	481 486 31 365
406	400 98 401 117
407	32 431 416 245
408	294 252 62 254
409	209 421 355 200
410	175 257 372 477
411	372 415 453 66
412	107 252 181 232
413	65 409 313 8
414	67 482 392 383
415	230 171 337 187
416	467 460 149 350
417	418 448 241 22
418	290 4 168 127
419	193 405 318 83
420	462 469 318 248
421	432 21 494 270
422	135 205 161 71
423	361 254 106 449
424	1 399 435 20
425	110 58 61 433
426	189 434 238 227
427	104 183 3 188
428	176 306 47 347
429	432 248 45 404
430	471 423 197 132
431	325 210 251 121
432	127 272 446 205
433	56 177 103 353
434	336 9 400 353
435	2 465 10 258
436	114 485 229 12
437	178 348 96 190
438	154 49 427 36
439	407 234 6 87
440	84 231 163 232
441	242 309 279 472
442	376 1 244 88
443	29 246 18 7
444	171 345 191 50
445	364 200 32 397
446	236 289 25 163
447	357 101 491 94
448	188 297 13 377
449	412 196 210 191
450	454 180 385 278
451	281 361 197 64
452	292 201 318 59
453	341 403 370 266
454	431 46 415 493
455	37 439 477 404
456	121 196 366 294
457	494 428 204 211
458	71 480 20 217
459	203 54 238 255
460	350 215 250 381
461	201 449 163 259
462	452 402 200 342
