Class Times	10
Rooms	5
1	543
2	108
3	854
4	133
5	613
Classes	20
Teachers	10
1	1
2	1
3	7
4	5
5	5
6	10
7	9
8	9
9	7
10	3
11	4
12	10
13	8
14	3
15	8
16	2
17	2
18	4
19	6
20	6
Class Times	10
Rooms	5
1	868
2	887
3	65
4	184
5	274
Classes	20
Teachers	10
1	6
2	10
3	2
4	6
5	8
6	4
7	5
8	9
9	8
10	1
11	1
12	9
13	10
14	5
15	3
16	4
17	3
18	7
19	2
20	7
Class Times	10
Rooms	5
1	626
2	891
3	763
4	829
5	495
Classes	20
Teachers	10
1	3
2	6
3	3
4	9
5	1
6	6
7	8
8	2
9	2
10	5
11	5
12	9
13	1
14	7
15	10
16	8
17	10
18	4
19	4
20	7
Class Times	10
Rooms	5
1	837
2	418
3	193
4	458
5	350
Classes	20
Teachers	10
1	2
2	10
3	10
4	1
5	3
6	7
7	1
8	6
9	6
10	3
11	9
12	5
13	2
14	4
15	9
16	7
17	8
18	8
19	5
20	4
Class Times	10
Rooms	5
1	642
2	56
3	682
4	844
5	995
Classes	20
Teachers	10
1	8
2	3
3	10
4	5
5	6
6	1
7	1
8	9
9	3
10	7
11	8
12	2
13	4
14	6
15	4
16	9
17	7
18	5
19	10
20	2
Class Times	10
Rooms	5
1	848
2	77
3	667
4	174
5	754
Classes	20
Teachers	10
1	9
2	10
3	4
4	1
5	3
6	4
7	10
8	6
9	3
10	9
11	6
12	8
13	8
14	7
15	1
16	5
17	7
18	5
19	2
20	2
Class Times	10
Rooms	5
1	740
2	912
3	433
4	490
5	866
Classes	20
Teachers	10
1	2
2	4
3	10
4	2
5	5
6	6
7	8
8	7
9	3
10	4
11	3
12	8
13	5
14	6
15	10
16	7
17	1
18	9
19	9
20	1
Class Times	10
Rooms	5
1	926
2	419
3	694
4	843
5	219
Classes	20
Teachers	10
1	7
2	9
3	9
4	4
5	10
6	8
7	6
8	6
9	10
10	5
11	4
12	1
13	1
14	7
15	8
16	5
17	3
18	2
19	2
20	3
Class Times	10
Rooms	5
1	530
2	321
3	976
4	802
5	728
Classes	20
Teachers	10
1	3
2	1
3	5
4	5
5	9
6	10
7	10
8	3
9	4
10	4
11	9
12	1
13	8
14	7
15	7
16	6
17	8
18	2
19	2
20	6
Class Times	10
Rooms	5
1	495
2	17
3	265
4	690
5	708
Classes	20
Teachers	10
1	10
2	3
3	2
4	6
5	10
6	1
7	9
8	1
9	3
10	9
11	8
12	4
13	6
14	7
15	7
16	8
17	5
18	4
19	5
20	2
Class Times	10
Rooms	5
1	344
2	92
3	177
4	634
5	714
Classes	20
Teachers	10
1	7
2	1
3	7
4	1
5	2
6	4
7	4
8	3
9	10
10	3
11	10
12	5
13	9
14	6
15	5
16	8
17	2
18	9
19	8
20	6
Class Times	10
Rooms	5
1	256
2	258
3	440
4	15
5	695
Classes	20
Teachers	10
1	2
2	6
3	1
4	6
5	7
6	8
7	10
8	10
9	4
10	4
11	9
12	1
13	7
14	8
15	3
16	5
17	3
18	2
19	5
20	9
Class Times	10
Rooms	5
1	793
2	958
3	614
4	514
5	317
Classes	20
Teachers	10
1	4
2	9
3	6
4	5
5	5
6	6
7	10
8	1
9	4
10	9
11	8
12	10
13	2
14	1
15	7
16	3
17	2
18	8
19	3
20	7
Class Times	10
Rooms	5
1	94
2	303
3	613
4	901
5	119
Classes	20
Teachers	10
1	1
2	5
3	9
4	1
5	3
6	5
7	10
8	9
9	2
10	4
11	4
12	3
13	10
14	8
15	8
16	2
17	6
18	7
19	7
20	6
