Class Times	10
Rooms	5
1	663
2	27
3	751
4	474
5	801
Classes	20
Teachers	10
1	3
2	4
3	4
4	5
5	6
6	8
7	1
8	3
9	9
10	5
11	10
12	9
13	2
14	10
15	1
16	7
17	2
18	6
19	8
20	7
Class Times	10
Rooms	5
1	185
2	652
3	679
4	476
5	680
Classes	20
Teachers	10
1	5
2	5
3	1
4	9
5	6
6	6
7	7
8	3
9	4
10	2
11	8
12	7
13	8
14	1
15	2
16	3
17	4
18	10
19	9
20	10
Class Times	10
Rooms	5
1	575
2	120
3	654
4	484
5	266
Classes	20
Teachers	10
1	9
2	8
3	2
4	5
5	5
6	1
7	2
8	8
9	10
10	6
11	4
12	1
13	4
14	6
15	10
16	3
17	7
18	9
19	3
20	7
Class Times	10
Rooms	5
1	218
2	333
3	111
4	468
5	614
Classes	20
Teachers	10
1	1
2	6
3	9
4	9
5	4
6	4
7	6
8	1
9	7
10	3
11	5
12	2
13	2
14	5
15	10
16	8
17	10
18	7
19	3
20	8
Class Times	10
Rooms	5
1	288
2	715
3	64
4	558
5	704
Classes	20
Teachers	10
1	10
2	8
3	3
4	3
5	2
6	5
7	6
8	6
9	1
10	2
11	9
12	4
13	7
14	8
15	5
16	1
17	7
18	9
19	4
20	10
Class Times	10
Rooms	5
1	242
2	177
3	405
4	171
5	535
Classes	20
Teachers	10
1	7
2	1
3	10
4	4
5	8
6	3
7	8
8	4
9	9
10	1
11	6
12	9
13	7
14	10
15	6
16	2
17	5
18	5
19	3
20	2
Class Times	10
Rooms	5
1	537
2	381
3	253
4	284
5	517
Classes	20
Teachers	10
1	4
2	8
3	4
4	8
5	5
6	3
7	2
8	5
9	1
10	10
11	1
12	10
13	2
14	9
15	7
16	9
17	6
18	7
19	3
20	6
Class Times	10
Rooms	5
1	41
2	838
3	586
4	328
5	120
Classes	20
Teachers	10
1	7
2	5
3	8
4	5
5	2
6	9
7	9
8	10
9	3
10	10
11	2
12	7
13	6
14	4
15	4
16	3
17	8
18	1
19	1
20	6
Class Times	10
Rooms	5
1	358
2	189
3	757
4	591
5	224
Classes	20
Teachers	10
1	4
2	1
3	9
4	2
5	7
6	1
7	3
8	10
9	7
10	10
11	5
12	9
13	6
14	4
15	5
16	3
17	6
18	2
19	8
20	8
Class Times	10
Rooms	5
1	752
2	351
3	39
4	269
5	269
Classes	20
Teachers	10
1	8
2	3
3	10
4	3
5	2
6	10
7	6
8	6
9	9
10	2
11	7
12	4
13	4
14	9
15	1
16	5
17	5
18	1
19	7
20	8
Class Times	10
Rooms	5
1	106
2	640
3	498
4	649
5	857
Classes	20
Teachers	10
1	6
2	6
3	9
4	5
5	9
6	8
7	8
8	2
9	2
10	4
11	1
12	4
13	10
14	10
15	3
16	1
17	7
18	5
19	7
20	3
Class Times	10
Rooms	5
1	135
2	308
3	274
4	198
5	224
Classes	20
Teachers	10
1	8
2	9
3	4
4	6
5	9
6	7
7	6
8	7
9	10
10	8
11	1
12	3
13	3
14	4
15	1
16	10
17	5
18	2
19	2
20	5
Class Times	10
Rooms	5
1	510
2	398
3	994
4	399
5	798
Classes	20
Teachers	10
1	1
2	5
3	9
4	6
5	5
6	4
7	6
8	10
9	1
10	2
11	8
12	10
13	9
14	7
15	4
16	7
17	8
18	2
19	3
20	3
Class Times	10
Rooms	5
1	811
2	114
3	342
4	750
5	281
Classes	20
Teachers	10
1	5
2	5
3	9
4	9
5	7
6	10
7	4
8	8
9	1
10	1
11	8
12	4
13	6
14	2
15	10
16	6
17	2
18	3
19	3
20	7
