Students	2500
1	17 3 2 14
2	12 6 14 16
3	3 17 4 15
4	11 8 2 6
5	8 14 1 4
6	2 9 11 13
7	3 2 9 1
8	14 13 2 7
9	9 19 16 10
10	8 3 11 1
11	10 2 7 6
12	5 3 4 15
13	10 4 14 8
14	5 2 17 3
15	9 8 13 11
16	1 14 9 17
17	14 1 9 19
18	20 12 4 3
19	5 20 1 9
20	15 5 16 3
21	14 5 17 9
22	3 14 19 2
23	18 17 11 3
24	11 12 2 10
25	16 11 17 8
26	11 5 1 7
27	20 3 19 9
28	15 12 20 18
29	8 20 10 1
30	12 9 6 8
31	15 16 4 17
32	15 9 14 10
33	11 3 20 10
34	18 7 11 1
35	3 17 15 5
36	20 12 16 8
37	6 17 20 14
38	14 1 20 7
39	9 1 18 10
40	11 18 15 6
41	19 16 11 20
42	12 5 7 10
43	5 17 16 1
44	5 16 10 11
45	19 10 11 12
46	16 5 7 4
47	18 16 3 19
48	12 9 17 4
49	18 2 9 1
50	12 14 4 3
51	17 11 9 4
52	14 18 3 11
53	4 10 9 16
54	12 17 14 9
55	18 2 9 20
56	15 9 17 11
57	9 4 20 13
58	11 9 2 20
59	11 17 2 15
60	8 19 18 14
61	3 16 19 2
62	19 2 9 14
63	4 13 18 14
64	6 3 2 16
65	18 1 20 9
66	15 19 11 6
67	17 10 3 12
68	15 1 13 16
69	14 9 2 18
70	18 5 3 20
71	16 11 8 7
72	19 5 13 11
73	17 18 6 12
74	5 12 8 14
75	17 4 11 2
76	5 3 1 2
77	7 8 13 2
78	7 15 16 3
79	15 1 17 11
80	4 18 20 3
81	12 7 6 20
82	10 1 4 5
83	16 15 17 4
84	8 3 10 17
85	20 19 9 3
86	14 13 11 3
87	18 13 5 7
88	12 11 18 4
89	18 17 1 20
90	9 8 7 10
91	13 8 20 12
92	4 11 17 6
93	12 16 17 20
94	4 12 18 13
95	8 18 13 7
96	10 4 15 13
97	15 10 14 13
98	20 17 13 11
99	4 7 18 12
100	3 7 18 1
101	17 3 12 14
102	20 4 6 19
103	17 8 11 14
104	3 17 6 2
105	14 6 2 12
106	17 8 13 16
107	5 11 10 4
108	13 6 7 2
109	3 15 13 7
110	19 17 20 4
111	15 18 11 10
112	9 6 3 16
113	17 1 18 12
114	7 13 8 17
115	20 5 15 18
116	19 3 11 7
117	11 9 19 8
118	11 5 14 1
119	7 5 12 10
120	13 19 17 7
121	20 17 3 13
122	3 15 10 20
123	9 11 6 20
124	4 10 8 7
125	7 2 18 16
126	12 1 6 3
127	4 3 8 15
128	6 2 15 18
129	9 3 19 14
130	14 2 6 10
131	2 20 6 1
132	2 14 15 9
133	13 10 9 17
134	2 15 13 5
135	19 18 11 7
136	10 2 8 16
137	7 10 12 13
138	5 7 14 3
139	12 4 2 18
140	11 17 3 19
141	17 6 1 7
142	6 12 18 7
143	14 17 7 6
144	2 17 8 7
145	4 9 8 1
146	8 3 16 11
147	4 19 11 2
148	4 19 8 7
149	12 11 13 15
150	9 15 6 2
151	15 5 16 11
152	9 20 8 13
153	6 18 2 4
154	16 1 2 18
155	18 20 2 17
156	18 6 8 12
157	3 1 18 11
158	11 15 5 17
159	5 15 6 12
160	15 20 16 10
161	2 20 13 8
162	10 19 9 13
163	15 2 9 8
164	7 10 2 17
165	17 1 7 12
