Students	50000
1	2485 917 2838 1565
2	854 1253 1062 1784
3	562 1537 2741 2845
4	1870 2266 625 2621
5	289 2746 2950 282
6	1256 2901 987 176
7	108 1533 1430 2044
8	1925 644 2341 369
9	1337 366 636 819
10	1720 610 158 1616
11	812 2580 986 1444
12	854 1018 1069 176
13	1588 1395 2190 1382
14	2515 2197 1314 766
15	2541 1227 2993 415
16	845 1977 1684 1994
17	2313 233 1980 2907
18	2199 309 999 1191
19	1641 535 2948 2820
20	1925 2711 2577 737
21	2897 2285 91 594
22	1824 2562 954 1956
23	2490 2658 1859 2795
24	2963 2464 1234 1078
25	1706 36 2730 265
26	2602 1777 922 707
27	1599 2002 2430 255
28	2715 2015 1904 1598
29	1670 2362 254 2799
30	2867 2154 2405 2401
31	1261 1234 72 251
32	1093 1928 1259 2347
33	2943 247 2420 2637
34	906 1955 2653 2643
35	2514 1177 729 2063
36	1637 2021 730 609
37	1798 1789 1205 2106
38	1978 2059 943 2283
39	2936 350 2232 2625
40	1852 1267 1931 457
41	634 174 2323 2051
42	1598 2461 940 2738
43	1524 1709 2678 679
44	896 1107 2329 2378
45	1733 2985 268 2032
46	1915 566 2664 1201
47	1676 833 1052 764
48	787 870 97 49
49	157 37 514 2071
50	1746 2863 2388 2678
51	1035 2614 1079 1906
52	2101 1785 2804 61
53	914 2604 1205 1705
54	608 2318 1477 536
55	2703 201 40 1655
56	1849 783 2363 149
57	2288 2720 455 1831
58	801 580 1987 1001
59	2097 747 2019 1808
60	1984 1059 2408 245
61	1972 1939 112 598
62	1389 1835 550 2774
63	446 224 2826 2962
64	1736 1121 2014 1405
65	2372 1710 1582 2338
66	2631 1902 1846 2720
67	699 2334 2572 2762
68	1729 2767 2430 2418
69	1245 1271 2082 2284
70	1205 2907 1701 296
71	2354 299 619 1460
72	576 1226 2248 1665
73	2538 1718 413 563
74	2286 629 1616 1157
75	471 57 397 1162
76	1400 2423 1161 526
77	2072 640 1126 728
78	309 355 240 133
79	877 2130 1308 880
80	1479 2070 246 2396
